,WELL,IF_647_Intensity,RFP_561_Intensity,GFP_488_Intensity,DAPI_Intensity,NucleusArea,CELL,DRUG,DRUG_TIME_MINUTES,SIRNA,PRIMARY,SECONDARY,TotalNumberCells,EXPERIMENT
156,J19,1282.9618289328039,238.99028827040596,283.0102157253936,503.13605731544357,1439.6242088607594,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,120,Scrambled,Total Pol II (F12),Goat anti-mouse Alexa647,1264,250825_mACmChPOLR2A_ARMC5
157,J20,1245.0758626353097,234.91976255303715,309.35078673848074,509.9791169414248,1425.8821989528797,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,60,Scrambled,Total Pol II (F12),Goat anti-mouse Alexa647,1146,250825_mACmChPOLR2A_ARMC5
158,J21,1257.9141506447208,233.36034826846384,382.1278216945728,487.62671559296007,1467.0711805555557,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,30,Scrambled,Total Pol II (F12),Goat anti-mouse Alexa647,1152,250825_mACmChPOLR2A_ARMC5
159,J22,1047.376291166147,148.52007523978727,244.12536490251676,367.7174529752512,1574.9082426127527,HCT116,No addition,No addition,No transfection,Total Pol II (F12),Goat anti-mouse Alexa647,3858,250825_mACmChPOLR2A_ARMC5
160,K03,1017.9995888291736,150.27961155019497,260.6444896592979,366.41555256793765,1590.0389978213507,HCT116,No addition,No addition,No transfection,Total Pol II (F12),Goat anti-mouse Alexa647,4590,250825_mACmChPOLR2A_ARMC5
161,K04,1654.1644529425125,296.8953220270649,303.04693623137547,429.7229192592344,1659.5075376884422,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,1440,ARMC5 pool,Total Pol II (F12),Goat anti-mouse Alexa647,1393,250825_mACmChPOLR2A_ARMC5
162,K05,1917.8556484088103,299.1879777624216,321.7015101525635,468.2400190881455,1466.1335200746964,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,480,ARMC5 pool,Total Pol II (F12),Goat anti-mouse Alexa647,1071,250825_mACmChPOLR2A_ARMC5
163,K06,1542.9472917252072,281.13481040301576,318.65210614690426,439.5063828763624,1518.2483617300131,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,240,ARMC5 pool,Total Pol II (F12),Goat anti-mouse Alexa647,1526,250825_mACmChPOLR2A_ARMC5
164,K07,1604.3546404950828,271.52464030719,335.3707198833456,444.83720009845376,1522.8517897091722,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,120,ARMC5 pool,Total Pol II (F12),Goat anti-mouse Alexa647,1788,250825_mACmChPOLR2A_ARMC5
165,K08,1585.6886825784504,274.635118479757,402.74238308917523,454.05918499616104,1515.5549493374904,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,60,ARMC5 pool,Total Pol II (F12),Goat anti-mouse Alexa647,1283,250825_mACmChPOLR2A_ARMC5
166,K09,1665.431107990806,265.0133902584355,551.0879599517855,443.99850021899044,1579.4086395233367,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,30,ARMC5 pool,Total Pol II (F12),Goat anti-mouse Alexa647,2014,250825_mACmChPOLR2A_ARMC5
167,K10,1772.9384566896622,290.28285581308336,296.63398486626585,437.258866412052,1645.9056364787841,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,1440,ARMC5 pool,Total Pol II (F12),Goat anti-mouse Alexa647,1579,250825_mACmChPOLR2A_ARMC5
168,K11,1664.4122383091144,282.3944013557959,310.13728707966783,428.72738520255297,1545.3987138263665,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,480,ARMC5 pool,Total Pol II (F12),Goat anti-mouse Alexa647,1866,250825_mACmChPOLR2A_ARMC5
169,K12,1639.8308663159373,277.3883024060647,317.94532820494175,439.0170977020574,1519.5622665006226,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,240,ARMC5 pool,Total Pol II (F12),Goat anti-mouse Alexa647,1606,250825_mACmChPOLR2A_ARMC5
170,K13,1667.4835589046295,272.07905189888106,332.6450366439427,456.03123936666356,1557.7024657534246,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,120,ARMC5 pool,Total Pol II (F12),Goat anti-mouse Alexa647,1825,250825_mACmChPOLR2A_ARMC5
171,K14,1695.697604192961,269.8005365403946,392.66069063250137,447.3190223968421,1606.4176749079431,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,60,ARMC5 pool,Total Pol II (F12),Goat anti-mouse Alexa647,1901,250825_mACmChPOLR2A_ARMC5
172,K15,1877.1147367730493,277.85912238530284,582.6899727959645,462.7194518274069,1565.96644295302,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,30,ARMC5 pool,Total Pol II (F12),Goat anti-mouse Alexa647,1639,250825_mACmChPOLR2A_ARMC5
173,K16,1782.118208933108,288.2175010791445,294.106430016779,438.83517037251505,1646.931669637552,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,1440,ARMC5 pool,Total Pol II (F12),Goat anti-mouse Alexa647,1683,250825_mACmChPOLR2A_ARMC5
174,K17,1649.7356716604443,284.92830477648727,308.8773400539382,445.68100460496623,1524.693710993759,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,480,ARMC5 pool,Total Pol II (F12),Goat anti-mouse Alexa647,2083,250825_mACmChPOLR2A_ARMC5
