,WELL,GFP_Intensity,DAPI_Intensity,NucleusArea,CELL,DRUG,DRUG_CONCENTRATION,TIME_MINUTES,EU,PRIMARY,SECONDARY,CLICK,TotalNumberCells,EU_647_Intensity,IF_568_Intensity,DAPI_Intensity_2,NucleusArea_2,EXPERIMENT
37,D20,347.53785349706914,4118.774407598633,2096.2809179770506,HCT116 OsTIRF74G mAC-POLR2A Clone 5,Vehicle,0,240,No addition,Total Pol II (D84LY),Goat anti-rabbit Alexa568,No click,3872,159.75901718745683,1722.6583231751695,1772.2030927359044,2106.7274240532665,260515_mACPOLR2A_CRC_EU
38,D21,355.95459390314693,4643.4360636668425,2031.5790358744396,HCT116 OsTIRF74G mAC-POLR2A Clone 5,Vehicle,0,240,No addition,Total Pol II (D84LY),Goat anti-rabbit Alexa568,No click,3817,159.61797317160094,1719.6967414885228,1746.0525860136204,2058.4182825484763,260515_mACPOLR2A_CRC_EU
39,D22,155.58706603106643,3557.8250630860916,1668.6109345200255,HCT116 OsTIRF74G,No addition,0,240,No addition,Total Pol II (D84LY),Goat anti-rabbit Alexa568,No click,3292,158.62138174898737,1792.9620825283469,1657.042208221101,1667.3505089058524,260515_mACPOLR2A_CRC_EU
40,E03,156.54991614701277,2776.183702122401,1711.2237136465324,HCT116 OsTIRF74G,Vehicle,0,240,"EU 1 mM, 30 mins",Total Pol II (F12),Goat anti-mouse Alexa568,AF647 azide click,3487,366.1151685520178,868.7246613384524,1655.4312313244066,1669.6525984251969,260515_mACPOLR2A_CRC_EU
41,E04,157.3257910772582,3041.8268888139723,1717.5248673740052,HCT116 OsTIRF74G,Vehicle,0,240,"EU 1 mM, 30 mins",Total Pol II (F12),Goat anti-mouse Alexa568,AF647 azide click,3554,363.8272696732059,863.6145025851943,1766.750733505716,1705.1215112321306,260515_mACPOLR2A_CRC_EU
42,E05,250.02098961686187,3297.0259562274914,2253.017724649629,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,10,240,"EU 1 mM, 30 mins",Total Pol II (F12),Goat anti-mouse Alexa568,AF647 azide click,3518,264.2721192681305,621.3503740150339,1711.532895165036,2252.593572009764,260515_mACPOLR2A_CRC_EU
43,E06,293.45551191763974,3151.5929681448856,2249.262347888332,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,3,240,"EU 1 mM, 30 mins",Total Pol II (F12),Goat anti-mouse Alexa568,AF647 azide click,3561,270.1614604072949,749.7578909263474,1657.111911827435,2264.2118826055835,260515_mACPOLR2A_CRC_EU
44,E07,342.26959269156544,3126.490220360843,2297.472897196262,HCT116 OsTIRF74G mAC-POLR2A Clone 5,Vehicle,0,240,"EU 1 mM, 30 mins",Total Pol II (F12),Goat anti-mouse Alexa568,AF647 azide click,4152,267.4399541921391,851.8145138122438,1628.8133784826023,2329.451930355791,260515_mACPOLR2A_CRC_EU
45,E08,341.3595529254411,3311.6626554231652,2128.69406779661,HCT116 OsTIRF74G mAC-POLR2A Clone 5,Vehicle,0,240,"EU 1 mM, 30 mins",Total Pol II (F12),Goat anti-mouse Alexa568,AF647 azide click,3813,264.07390295541563,833.4249073978092,1620.4311745664818,2174.527280299875,260515_mACPOLR2A_CRC_EU
46,E09,350.0336084316186,3329.0783188529813,2190.5823823109845,HCT116 OsTIRF74G mAC-POLR2A Clone 5,Vehicle,0,240,"EU 1 mM, 30 mins",Total Pol II (F12),Goat anti-mouse Alexa568,AF647 azide click,3750,264.84681764301615,821.7974238022094,1604.586223306329,2206.533473536628,260515_mACPOLR2A_CRC_EU
47,E10,254.50027682261359,3736.052417963024,2193.517786561265,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,10,240,"EU 1 mM, 30 mins",Total Pol II (F12),Goat anti-mouse Alexa568,AF647 azide click,4022,262.0619589355694,607.4480639622171,1742.1443697099114,2207.1313725490195,260515_mACPOLR2A_CRC_EU
48,E11,293.90963995811444,3618.903339926765,2222.032786885246,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,3,240,"EU 1 mM, 30 mins",Total Pol II (F12),Goat anti-mouse Alexa568,AF647 azide click,4083,263.59382063159313,707.1685502192029,1672.478582602236,2218.4697709350357,260515_mACPOLR2A_CRC_EU
49,E12,347.998763186987,3519.8666443645097,2243.6224719101124,HCT116 OsTIRF74G mAC-POLR2A Clone 5,Vehicle,0,240,"EU 1 mM, 30 mins",Total Pol II (F12),Goat anti-mouse Alexa568,AF647 azide click,3968,265.17150230328014,856.1469123411769,1655.3685178583248,2261.6395786305493,260515_mACPOLR2A_CRC_EU
