,WELL,IF_647_Intensity,RFP_561_Intensity,GFP_488_Intensity,DAPI_Intensity,NucleusArea,CELL,DRUG,DRUG TIME MINUTES,PRIMARY,SECONDARY,TotalNumberCells,EXPERIMENT
54,F12,263.66078746882545,130.67750959869213,232.85469907376233,317.36001862956954,1868.980714957667,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,90,Total Pol II F12,Goat anti-mouse Alexa647,2126,250510_mACmChPOLR2A_90min_IF
55,F13,227.77492536657803,132.82443299591614,198.24483066511317,349.5928742326946,1782.017578125,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,90,Total Pol II F12,Goat anti-mouse Alexa647,2048,250510_mACmChPOLR2A_90min_IF
56,F14,260.64409558092933,131.42302985369344,234.0561264281608,327.20348914122656,1854.403474903475,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,90,Total Pol II F12,Goat anti-mouse Alexa647,2072,250510_mACmChPOLR2A_90min_IF
57,F15,226.71453318364897,132.63465755464185,198.39992502628232,344.5572240806509,1833.738621586476,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,90,Total Pol II F12,Goat anti-mouse Alexa647,2307,250510_mACmChPOLR2A_90min_IF
58,F16,255.5262534393939,131.65935150548987,235.04611720538924,333.92209089076084,1910.203984063745,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,No addition,No addition,Total Pol II F12,Goat anti-mouse Alexa647,2510,250510_mACmChPOLR2A_90min_IF
59,F17,125.33723302595796,130.89693395412155,231.3549380766753,325.9010680766605,1869.7936580882354,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,No addition,No addition,No primary,Goat anti-mouse Alexa647,2176,250510_mACmChPOLR2A_90min_IF
60,G03,247.76973911138649,129.71250833047728,230.51819742233437,313.4692266509666,1866.1438434982738,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,No addition,No addition,CDK7,Goat anti-mouse Alexa647,1738,250510_mACmChPOLR2A_90min_IF
61,G04,242.16457862028997,130.62236864323393,235.96940134539298,321.8981041477345,1811.3044758539459,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,90,CDK7,Goat anti-mouse Alexa647,1698,250510_mACmChPOLR2A_90min_IF
62,G05,243.81624642493802,132.31622375492404,195.80975409026496,335.8818542114383,1796.944502074689,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,90,CDK7,Goat anti-mouse Alexa647,1928,250510_mACmChPOLR2A_90min_IF
63,G06,234.9306250815978,132.25487145823953,236.77844369700722,337.50990980705836,1878.9192130598576,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,90,CDK7,Goat anti-mouse Alexa647,2389,250510_mACmChPOLR2A_90min_IF
