,WELL,IF_647_Intensity,RFP_561_Intensity,GFP_488_Intensity,DAPI_Intensity,NucleusArea,CELL,DRUG,DRUG_TIME_MINUTES,SIRNA,PRIMARY,SECONDARY,TotalNumberCells,EXPERIMENT
206,M09,2813.6556266665384,335.77536733359716,346.34621189163533,1017.1649523466992,1176.4643584521384,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,30,HEXIM1 + HEXIM2 pool,pSer2 Pol II (3E10,Goat anti-mouse Alexa647,491,251103_mACmChPOLR2A_7SK
207,M10,2886.493390659395,329.24622838327633,561.2798607817031,1010.1318275125628,1417.0961538461538,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,30,LARP7 pool,pSer2 Pol II (3E10,Goat anti-mouse Alexa647,1508,251103_mACmChPOLR2A_7SK
208,M11,2508.1642819975723,319.47739276864485,531.4154999162156,954.2726126455317,1464.3779370768618,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,30,Scrambled,pSer2 Pol II (3E10,Goat anti-mouse Alexa647,2511,251103_mACmChPOLR2A_7SK
209,M12,2875.077474599807,330.5936484434531,549.0332787469359,992.5731964728404,1165.8155555555556,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,30,HEXIM1 + HEXIM2 pool,pSer2 Pol II (3E10,Goat anti-mouse Alexa647,450,251103_mACmChPOLR2A_7SK
210,M13,3044.3747426010764,340.1530178649237,411.9367465471587,1104.2957409196376,1359.1506622516556,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,30,LARP7 pool,pSer2 Pol II (3E10,Goat anti-mouse Alexa647,1208,251103_mACmChPOLR2A_7SK
211,M14,2496.5114980586764,320.508077015935,392.32135158010186,916.7483381668534,1415.85367825384,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,30,Scrambled,pSer2 Pol II (3E10,Goat anti-mouse Alexa647,2474,251103_mACmChPOLR2A_7SK
212,M15,2748.740088223282,337.58360439620657,341.18142398586974,902.0690153161119,1115.4416666666666,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,30,HEXIM1 + HEXIM2 pool,pSer2 Pol II (3E10,Goat anti-mouse Alexa647,120,251103_mACmChPOLR2A_7SK
213,M16,2945.8126766974933,333.518951977121,569.8597734499597,1050.6587241305067,1333.2179570592064,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,30,LARP7 pool,pSer2 Pol II (3E10,Goat anti-mouse Alexa647,1537,251103_mACmChPOLR2A_7SK
214,M17,2664.7406774628625,319.6463331506713,543.7867036103515,938.0329370465764,1368.5015787099685,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,30,Scrambled,pSer2 Pol II (3E10,Goat anti-mouse Alexa647,2217,251103_mACmChPOLR2A_7SK
215,M18,2869.4814167558966,334.4379673109475,561.0288921782033,991.0399093799323,1181.5250659630608,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,30,HEXIM1 + HEXIM2 pool,pSer2 Pol II (3E10,Goat anti-mouse Alexa647,379,251103_mACmChPOLR2A_7SK
216,M19,2860.8728045570033,328.78706389121794,404.66912884632507,1013.299184690062,1377.1392326732673,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,30,LARP7 pool,pSer2 Pol II (3E10,Goat anti-mouse Alexa647,1616,251103_mACmChPOLR2A_7SK
217,M20,2633.2422275893537,320.14826765503875,389.92400215283476,930.5338495603914,1429.6356842596917,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,30,Scrambled,pSer2 Pol II (3E10,Goat anti-mouse Alexa647,2141,251103_mACmChPOLR2A_7SK
218,M21,2786.338043173201,335.07942303901433,336.9801390846198,963.9128461183553,1224.0721649484535,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,30,HEXIM1 + HEXIM2 pool,pSer2 Pol II (3E10,Goat anti-mouse Alexa647,291,251103_mACmChPOLR2A_7SK
219,M22,2198.005851955903,283.57064030948004,510.28333630501845,765.6402552019204,1614.3925848925849,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Media only,480,No transfection,pSer2 Pol II (3E10,Goat anti-mouse Alexa647,2886,251103_mACmChPOLR2A_7SK
220,N03,2209.1706092360505,276.72564352417317,484.56946152738914,730.5805386423016,1755.9432806961006,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Media only,480,No transfection,pSer2 Pol II (3E10,Goat anti-mouse Alexa647,3103,251103_mACmChPOLR2A_7SK
221,N04,2088.8601314513094,281.27859996656144,512.9069383434531,729.7359210167003,1669.0263324873097,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Media only,480,No transfection,pSer2 Pol II (3E10,Goat anti-mouse Alexa647,3152,251103_mACmChPOLR2A_7SK
222,N05,1968.3509351158782,283.2931619052111,503.94767307393784,710.024827943016,1662.7369894982496,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Media only,480,No transfection,pSer2 Pol II (3E10,Goat anti-mouse Alexa647,4285,251103_mACmChPOLR2A_7SK
223,N06,2134.169925022152,286.7427817389003,512.2116368617425,763.3307791073006,1643.127230667548,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Media only,480,No transfection,pSer2 Pol II (3E10,Goat anti-mouse Alexa647,3026,251103_mACmChPOLR2A_7SK
224,N07,2028.8408471334058,284.27266304069747,518.9016968873616,753.9097886662233,1679.574064171123,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Media only,480,No transfection,pSer2 Pol II (3E10,Goat anti-mouse Alexa647,3740,251103_mACmChPOLR2A_7SK
225,N08,2132.6468150089986,286.03983534786556,518.288329411904,796.6519027610498,1645.364640883978,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Media only,480,No transfection,pSer2 Pol II (3E10,Goat anti-mouse Alexa647,3077,251103_mACmChPOLR2A_7SK
226,N09,2093.7533060007986,288.6074446058477,530.1134229099441,770.1117315167613,1603.1081081081081,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Media only,480,No transfection,pSer2 Pol II (3E10,Goat anti-mouse Alexa647,3700,251103_mACmChPOLR2A_7SK
227,N10,2145.4094029593034,289.0409696875529,523.3879301287066,789.8232934410598,1675.4918184624885,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Media only,480,No transfection,pSer2 Pol II (3E10,Goat anti-mouse Alexa647,3239,251103_mACmChPOLR2A_7SK
228,N11,2105.478088106008,285.64560326596376,515.5919518913129,748.9070605380296,1665.101578790587,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Media only,480,No transfection,pSer2 Pol II (3E10,Goat anti-mouse Alexa647,3357,251103_mACmChPOLR2A_7SK
