,WELL,IF_647_Intensity,RFP_561_Intensity,GFP_488_Intensity,DAPI_Intensity,NucleusArea,CELL,DRUG,TIME_MINUTES,PRIMARY,SECONDARY,TotalNumberCells,EXPERIMENT,DRUG_AND_TIME,IF_647_Intensity_BGS,IF_647_Intensity_FC,DRUG_AND_TIME_LABEL
182,L09,1585.0934728795964,216.42227945882004,448.3718116318608,622.3635290613765,1647.8455284552845,HCT116 OsTIRF74G mAC/mChPOLR2A Clone 1,Vehicle,1440,CDK7,Goat anti-mouse Alexa647,1353,250915_mACmChPOLR2A_PTEFB,Vehicle_1440,1423.741121891452,0.9604229974801571,Vehicle
185,L12,1506.7646664322099,222.85565038769533,257.3888073579697,584.1029308434939,1718.2246949030869,HCT116 OsTIRF74G mAC/mChPOLR2A Clone 1,5PhIAA,240,CDK7,Goat anti-mouse Alexa647,1393,250915_mACmChPOLR2A_PTEFB,5PhIAA_240,1345.4123154440654,0.9075841871651892,4 hrs
188,L15,1479.872872065843,224.5684698778527,252.93830629918114,617.7739640349939,1714.3373925501432,HCT116 OsTIRF74G mAC/mChPOLR2A Clone 1,5PhIAA,240,CDK7,Goat anti-mouse Alexa647,1396,250915_mACmChPOLR2A_PTEFB,5PhIAA_240,1318.5205210776985,0.889443601523711,4 hrs
191,L18,1471.0508863170703,236.30660440907678,246.76932219622014,624.1049558425176,1654.1009490940467,HCT116 OsTIRF74G mAC/mChPOLR2A Clone 1,5PhIAA,1440,CDK7,Goat anti-mouse Alexa647,1159,250915_mACmChPOLR2A_PTEFB,5PhIAA_1440,1309.6985353289258,0.8834924929504704,24 hrs
194,L21,1733.2697426105626,236.0101838269322,248.1454012312653,617.1818149375631,1608.1256830601094,HCT116 OsTIRF74G mAC/mChPOLR2A Clone 1,5PhIAA,1440,CDK7,Goat anti-mouse Alexa647,1098,250915_mACmChPOLR2A_PTEFB,5PhIAA_1440,1571.917391622418,1.060379299185751,24 hrs
80,G06,4775.452252384767,220.86844408992513,441.7429165422979,630.8103857281633,1691.683860232945,HCT116 OsTIRF74G mAC/mChPOLR2A Clone 1,Vehicle,1440,pSer5,Goat anti-rat Alexa647,1202,250915_mACmChPOLR2A_PTEFB,Vehicle_1440,4614.099901396623,0.9616526964988893,Vehicle
83,G09,5185.902031685913,222.9235497810612,445.07582673921456,651.5116791488699,1530.439408866995,HCT116 OsTIRF74G mAC/mChPOLR2A Clone 1,Vehicle,1440,pSer5,Goat anti-rat Alexa647,1015,250915_mACmChPOLR2A_PTEFB,Vehicle_1440,5024.549680697769,1.047197037860646,Vehicle
86,G12,4459.903864727242,229.6222408323435,248.21480024468212,649.4576465289443,1709.548309178744,HCT116 OsTIRF74G mAC/mChPOLR2A Clone 1,5PhIAA,240,pSer5,Goat anti-rat Alexa647,1242,250915_mACmChPOLR2A_PTEFB,5PhIAA_240,4298.551513739098,0.8958873328632023,4 hrs
89,G15,4568.452709871552,231.04831957421726,248.05282187531924,647.39909574484,1755.2951219512195,HCT116 OsTIRF74G mAC/mChPOLR2A Clone 1,5PhIAA,240,pSer5,Goat anti-rat Alexa647,1230,250915_mACmChPOLR2A_PTEFB,5PhIAA_240,4407.100358883407,0.9185106595933561,4 hrs
92,G18,4693.222180503073,240.45844976734082,243.77163884955016,655.5800794609999,1672.36,HCT116 OsTIRF74G mAC/mChPOLR2A Clone 1,5PhIAA,1440,pSer5,Goat anti-rat Alexa647,1000,250915_mACmChPOLR2A_PTEFB,5PhIAA_1440,4531.869829514929,0.9445146257920992,24 hrs
