,EXPERIMENT,WELL,CELL,DRUG,TIME_MINUTES,PRIMARY,SECONDARY,TotalNumberCells,GFP_488_Intensity,RFP_561_Intensity,IF_647_Intensity,IF_647_Intensity_BGS,IF_647_Intensity_FC
224,250915_mACmChPOLR2A_PTEFB,N11,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,240,pSer2,Goat anti-rat Alexa647,1595,359.72846327188483,158.29638342384885,1234.4202863018625,1073.067935313718,0.8022784254290114
227,250915_mACmChPOLR2A_PTEFB,N14,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,240,pSer2,Goat anti-rat Alexa647,1697,349.5152601598119,156.68791443368954,1183.0540282202567,1021.7016772321122,0.7638744816546194
230,250915_mACmChPOLR2A_PTEFB,N17,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,1440,pSer2,Goat anti-rat Alexa647,764,346.6316755675476,164.29018758571007,1308.2202387496627,1146.8678877615182,0.8574549037283534
233,250915_mACmChPOLR2A_PTEFB,N20,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,1440,pSer2,Goat anti-rat Alexa647,580,342.48333585000296,158.0621853966008,1296.1750751706943,1134.8227241825498,0.8484493463427025
2,251007_mACmChPOLR2A_PTEFB,C16,HCT116 OsTIRF74G mAC-POLR2A Clone 5,Vehicle,1440,CDK7,Goat anti-mouse Alexa647,2130,882.6183390636413,200.4878966380049,1313.322289776304,1108.9413307911377,1.2255500808860125
5,251007_mACmChPOLR2A_PTEFB,C19,HCT116 OsTIRF74G mAC-POLR2A Clone 5,Vehicle,1440,CDK7,Goat anti-mouse Alexa647,1702,927.1571294970222,210.02736821363584,1198.7652107865924,994.3842518014262,1.0989469563350087
110,251007_mACmChPOLR2A_PTEFB,I04,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,1440,CDK7,Goat anti-mouse Alexa647,1080,419.62104834494403,205.3805691943346,1109.9941331799837,905.6131741948175,1.000841314205589
113,251007_mACmChPOLR2A_PTEFB,I07,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,1440,CDK7,Goat anti-mouse Alexa647,1297,399.95089478485426,200.75954506788284,990.647818954047,786.2668599688808,0.8689453509189684
116,251007_mACmChPOLR2A_PTEFB,I10,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,240,CDK7,Goat anti-mouse Alexa647,3114,416.35284859128694,199.6595243964867,1046.1431417519523,841.762182766786,0.930276185522497
119,251007_mACmChPOLR2A_PTEFB,I13,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,240,CDK7,Goat anti-mouse Alexa647,3009,404.0376217985567,195.96510118519876,1068.3452247994105,863.9642658142443,0.9548128890604908
122,251007_mACmChPOLR2A_PTEFB,I16,HCT116 OsTIRF74G mAC-POLR2A Clone 5,Vehicle,1440,CDK7,Goat anti-mouse Alexa647,3036,856.3603458492231,195.46781460792374,911.4314001556654,707.0504411704992,0.7813990707234276
