,WELL,IF_647_Intensity,RFP_561_Intensity,GFP_488_Intensity,DAPI_Intensity,NucleusArea,CELL,DRUG,TIME_MINUTES,PRIMARY,SECONDARY,TotalNumberCells,EXPERIMENT,DRUG_AND_TIME,IF_647_Intensity_BGS,IF_647_Intensity_FC,DRUG_AND_TIME_LABEL
210,M17,2518.585473276155,164.82360141666638,342.7452930564506,620.1304543910358,1763.493023255814,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,1440,pSer5,Goat anti-rat Alexa647,645,250915_mACmChPOLR2A_PTEFB,5PhIAA_1440,2357.2331222880102,0.5367425126140313,24 hrs
213,M20,2397.5941444440637,162.6392154584099,340.0410337995889,611.3820240001247,1759.3316195372752,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,1440,pSer5,Goat anti-rat Alexa647,778,250915_mACmChPOLR2A_PTEFB,5PhIAA_1440,2236.241793455919,0.509192759800948,24 hrs
99,H05,1529.1314907508167,160.47831682991762,706.4670007519006,564.6050477445272,1936.1375255623723,HCT116 OsTIRF74G mAC-POLR2A Clone 5,Vehicle,1440,pSer2,Goat anti-rat Alexa647,1956,250915_mACmChPOLR2A_PTEFB,Vehicle_1440,1367.7791397626722,1.022619033213988,Vehicle
102,H08,1465.0567288736704,158.52919571340706,706.0476599936151,583.2482511595011,2007.7492063492064,HCT116 OsTIRF74G mAC-POLR2A Clone 5,Vehicle,1440,pSer2,Goat anti-rat Alexa647,2205,250915_mACmChPOLR2A_PTEFB,Vehicle_1440,1303.704377885526,0.9747135862457054,Vehicle
105,H11,1125.9652879273885,156.29782550958623,332.8970307747307,569.0154175224894,1965.0390848427073,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,240,pSer2,Goat anti-rat Alexa647,2098,250915_mACmChPOLR2A_PTEFB,5PhIAA_240,964.612936939244,0.7211921284087387,4 hrs
108,H14,1139.2189224967597,156.06515600325642,334.6370506654195,566.0363813999969,1966.8500881834216,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,240,pSer2,Goat anti-rat Alexa647,1134,250915_mACmChPOLR2A_PTEFB,5PhIAA_240,977.8665715086152,0.731101198210939,4 hrs
111,H17,1261.4054257222585,160.89850901203792,329.2219639199958,649.6810290451571,1816.7403381642512,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,1440,pSer2,Goat anti-rat Alexa647,828,250915_mACmChPOLR2A_PTEFB,5PhIAA_1440,1100.053074734114,0.8224538443859186,24 hrs
114,H20,1316.4363290733966,162.84312153275638,338.9096637808019,663.3464162355646,1814.875903614458,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,1440,pSer2,Goat anti-rat Alexa647,830,250915_mACmChPOLR2A_PTEFB,5PhIAA_1440,1155.083978085252,0.8635976574079521,24 hrs
218,N05,1534.0813813282641,158.9633343851527,713.693133643326,515.2988214435571,2074.2016607354685,HCT116 OsTIRF74G mAC-POLR2A Clone 5,Vehicle,1440,pSer2,Goat anti-rat Alexa647,1686,250915_mACmChPOLR2A_PTEFB,Vehicle_1440,1372.7290303401196,1.0263198151382558,Vehicle
221,N08,1467.2422178312079,158.50647759696332,707.7374678016827,513.6112291055364,2075.1475409836066,HCT116 OsTIRF74G mAC-POLR2A Clone 5,Vehicle,1440,pSer2,Goat anti-rat Alexa647,1952,250915_mACmChPOLR2A_PTEFB,Vehicle_1440,1305.8898668430634,0.9763475654020511,Vehicle
