,EXPERIMENT,WELL,CELL,DRUG,TIME_MINUTES,PRIMARY,SECONDARY,TotalNumberCells,GFP_488_Intensity,RFP_561_Intensity,IF_647_Intensity,IF_647_Intensity_BGS,IF_647_Intensity_FC
112,251007_mACmChPOLR2A_PTEFB,I06,HCT116 OsTIRF74G mAC/mChPOLR2A Clone 1,5PhIAA,1440,CDK7,Goat anti-mouse Alexa647,1238,296.54256001856794,318.4169363846798,1226.6942833175992,1022.313324332433,0.9294353805091908
115,251007_mACmChPOLR2A_PTEFB,I09,HCT116 OsTIRF74G mAC/mChPOLR2A Clone 1,5PhIAA,1440,CDK7,Goat anti-mouse Alexa647,1368,304.33158318209655,322.16722805428975,1161.9250214241765,957.5440624390103,0.870550455368924
118,251007_mACmChPOLR2A_PTEFB,I12,HCT116 OsTIRF74G mAC/mChPOLR2A Clone 1,5PhIAA,240,CDK7,Goat anti-mouse Alexa647,1373,303.6961858115179,303.3651816731913,1226.7264679468265,1022.3455089616602,0.92946464114035
121,251007_mACmChPOLR2A_PTEFB,I15,HCT116 OsTIRF74G mAC/mChPOLR2A Clone 1,5PhIAA,240,CDK7,Goat anti-mouse Alexa647,1490,302.8113307156581,305.69076298196137,1152.5616050329234,948.1806460477571,0.8620377124853729
124,251007_mACmChPOLR2A_PTEFB,I18,HCT116 OsTIRF74G mAC/mChPOLR2A Clone 1,Vehicle,1440,CDK7,Goat anti-mouse Alexa647,1132,573.7151056819051,297.50451342624916,1225.926641351944,1021.5456823667778,0.9287374794005366
127,251007_mACmChPOLR2A_PTEFB,I21,HCT116 OsTIRF74G mAC/mChPOLR2A Clone 1,Vehicle,1440,CDK7,Goat anti-mouse Alexa647,997,585.5922341206444,301.41039338181486,1181.5491673925858,977.1682084074196,0.8883917327358473
12,251007_mACmChPOLR2A_PTEFB,D06,HCT116 OsTIRF74G mAC/mChPOLR2A Clone 1,5PhIAA,1440,pSer5,Goat anti-rat Alexa647,880,304.6453977083407,334.4286105255682,3509.5741547952566,3305.1931958100904,0.7695193490956271
15,251007_mACmChPOLR2A_PTEFB,D09,HCT116 OsTIRF74G mAC/mChPOLR2A Clone 1,5PhIAA,1440,pSer5,Goat anti-rat Alexa647,868,293.77313636038724,325.4060112974604,3733.796782681758,3529.415823696592,0.8217231509437191
18,251007_mACmChPOLR2A_PTEFB,D12,HCT116 OsTIRF74G mAC/mChPOLR2A Clone 1,5PhIAA,240,pSer5,Goat anti-rat Alexa647,987,290.3573668872732,295.61944061718395,3345.365666353316,3140.98470736815,0.7312881167119939
21,251007_mACmChPOLR2A_PTEFB,D15,HCT116 OsTIRF74G mAC/mChPOLR2A Clone 1,5PhIAA,240,pSer5,Goat anti-rat Alexa647,1266,299.6103995423744,306.0202946044062,3146.89536167561,2942.5144026904436,0.685080004017097
24,251007_mACmChPOLR2A_PTEFB,D18,HCT116 OsTIRF74G mAC/mChPOLR2A Clone 1,Vehicle,1440,pSer5,Goat anti-rat Alexa647,987,568.908773443453,309.51676830488753,4484.747280858663,4280.366321873496,0.9965604159159092
27,251007_mACmChPOLR2A_PTEFB,D21,HCT116 OsTIRF74G mAC/mChPOLR2A Clone 1,Vehicle,1440,pSer5,Goat anti-rat Alexa647,910,572.3163906654728,317.43711341077983,4232.446861842281,4028.0659028571145,0.9378195064694782
132,251007_mACmChPOLR2A_PTEFB,J06,HCT116 OsTIRF74G mAC/mChPOLR2A Clone 1,5PhIAA,1440,pSer5,Goat anti-rat Alexa647,1218,295.78007775697165,314.8934798340712,3342.852637740686,3138.47167875552,0.7307030301443763
135,251007_mACmChPOLR2A_PTEFB,J09,HCT116 OsTIRF74G mAC/mChPOLR2A Clone 1,5PhIAA,1440,pSer5,Goat anti-rat Alexa647,1506,294.79113791316075,308.808137972074,3365.4457957561444,3161.064836770978,0.7359631983766327
