,WELL,IF_647_Intensity,IF_561_Intensity,GFP_488_Intensity,DAPI_Intensity,NucleusArea,CELL,DRUG,DRUG_CONCENTRATION,TIME_MINUTES,PRIMARY,SECONDARY,TotalNumberCells,EXPERIMENT,ROW,COLUMN
62,F05,868.8155276162502,860.4627157084374,395.47560899189915,393.57295167875327,2484.8585260892955,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,100,120,pSer2 Pol II (3E10),Goat anti-rat Alexa568,1859,260522_mACPOLR2A_Kinetic_pSer2,F,05
63,F06,797.3977005048571,802.1894056179507,358.33960046814286,387.11944138532334,2413.552303262956,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,100,240,pSer2 Pol II (3E10),Goat anti-rat Alexa568,2084,260522_mACPOLR2A_Kinetic_pSer2,F,06
64,F07,947.4885186663488,852.9636489804745,370.6672771227643,383.4061503562028,2241.637610186092,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,100,480,pSer2 Pol II (3E10),Goat anti-rat Alexa568,2042,260522_mACPOLR2A_Kinetic_pSer2,F,07
65,F08,1114.855864742989,871.6875415423738,451.1607033649218,384.05679652551476,2454.6020922123207,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,100,60,pSer2 Pol II (3E10),Goat anti-rat Alexa568,2581,260522_mACPOLR2A_Kinetic_pSer2,F,08
66,F09,885.0849675346363,795.2035822758038,389.9477511579319,372.55522649502996,2370.7750103777503,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,100,120,pSer2 Pol II (3E10),Goat anti-rat Alexa568,2409,260522_mACPOLR2A_Kinetic_pSer2,F,09
67,F10,782.1579388575052,753.6699752921538,338.0132721583493,367.1188258937082,2348.6546644844516,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,100,240,pSer2 Pol II (3E10),Goat anti-rat Alexa568,2444,260522_mACPOLR2A_Kinetic_pSer2,F,10
68,F11,912.2856526027327,790.2504602440599,348.61060343074115,368.89639681292005,2367.185510887772,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,100,480,pSer2 Pol II (3E10),Goat anti-rat Alexa568,2388,260522_mACPOLR2A_Kinetic_pSer2,F,11
69,F12,2233.7427971235006,1031.4978643899142,231.01528996204067,393.33664826201823,1740.3120872810796,HCT116 OsTIRF74G,Vehicle,0,480,pSer2 Pol II (3E10),Goat anti-rat Alexa568,3483,260522_mACPOLR2A_Kinetic_pSer2,F,12
70,F13,2573.588595432297,702.2562122513995,229.4996928059601,373.635260215878,1700.2673267326732,HCT116 OsTIRF74G,Vehicle,0,480,Total Pol II (F12),Goat anti-mouse Alexa568,3838,260522_mACPOLR2A_Kinetic_pSer2,F,13
71,F14,1311.1106005428098,479.8072879489492,437.2410396557234,374.8042963767509,2463.514435695538,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,100,60,Total Pol II (F12),Goat anti-mouse Alexa568,2286,260522_mACPOLR2A_Kinetic_pSer2,F,14
72,F15,1066.420659640211,433.28935785931947,388.9004868955036,385.53160755012163,2401.336458333333,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,100,120,Total Pol II (F12),Goat anti-mouse Alexa568,1920,260522_mACPOLR2A_Kinetic_pSer2,F,15
73,F16,887.1476994196312,386.19105407638347,333.3130275797861,370.4244076823777,2405.2183381088826,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,100,240,Total Pol II (F12),Goat anti-mouse Alexa568,1745,260522_mACPOLR2A_Kinetic_pSer2,F,16
74,F17,1098.1694030599567,439.1151854514057,361.9878612183619,362.3752371334121,2311.916286779942,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,100,480,Total Pol II (F12),Goat anti-mouse Alexa568,2413,260522_mACPOLR2A_Kinetic_pSer2,F,17
