,WELL,CELL_IF_647_Intensity,CELL_IF_561_Intensity,CellArea,NUCLEUS_IF_647_Intensity,NUCLEUS_IF_561_Intensity,Nucleus_DAPI_Intensity,NucleusArea,CYTOPLASM_IF_647_Intensity,CYTOPLASM_IF_561_Intensity,CytoplasmArea,CELL,CELL_STAIN,DRUG,DRUG_TIME_MINUTES,PRIMARY_1,SECONDARY_1,PRIMARY_2,SECONDARY_2,TotalNumberCells
37,F20,319.30186274460607,897.1632021073709,16682.503583696656,439.0616939692363,1258.0454529497706,538.2612895415411,6167.461504161713,243.28602607089869,670.2930228582946,9542.248183379574,HCT116 mChPOLR2A clone 2,Concanavalin A 488,Mg132 plus CB6644,Total Pol II (F12),Total Pol II (F12),Goat anti-mouse Alexa647,mCherry,Goat anti-rabbit Alexa568,60552
38,F21,332.5554704972428,793.6583482920087,13409.981295381467,458.9883348959994,1153.953015229557,478.76401010575654,6210.5109963171,210.9033249636595,435.679191807595,6478.89263178254,HCT116 mChPOLR2A clone 2,Concanavalin A 488,Media only,Total Pol II (F12),Total Pol II (F12),Goat anti-mouse Alexa647,mCherry,Goat anti-rabbit Alexa568,124087
39,G04,391.991545506586,150.34186015160404,12635.53214765036,586.9162479143135,161.09907643282423,616.9738104325722,5580.746912686229,214.589031972875,138.82433858229913,6482.836688584422,HCT116,Concanavalin A 488,Media only,Total Pol II (F12),Total Pol II (F12),Goat anti-mouse Alexa647,mCherry,Goat anti-rabbit Alexa568,103569
40,G05,364.97079531165934,142.02023693824057,15783.783233112226,501.2578405542636,155.3660702585108,608.64516349815,5716.480462050296,277.6747421745657,133.08968926784053,9417.741057590974,HCT116,Concanavalin A 488,Mg132 plus CB6644,Total Pol II (F12),Total Pol II (F12),Goat anti-mouse Alexa647,mCherry,Goat anti-rabbit Alexa568,48393
41,G06,420.75640176765023,146.9231362521098,10636.479088243968,611.279577354902,160.6990867706806,667.5574175545818,4733.062830676357,265.0212245927864,134.79950003338152,5527.898034589831,HCT116,Concanavalin A 488,Mg132 plus leptomycin B,Total Pol II (F12),Total Pol II (F12),Goat anti-mouse Alexa647,mCherry,Goat anti-rabbit Alexa568,57647
42,G07,382.4427195650184,148.62409967622193,11833.556722262962,555.256844497395,158.110214908274,578.6007258690001,5481.666749879082,211.14340968244042,138.76403945910192,5703.429337057089,HCT116,Concanavalin A 488,Vehicle,Total Pol II (F12),Total Pol II (F12),Goat anti-mouse Alexa647,mCherry,Goat anti-rabbit Alexa568,128186
43,G08,370.88103714535873,142.57097665453097,16086.727582162324,627.9111717258647,154.24484185258578,583.997919614101,6056.136875876819,198.53226537453543,133.866807353778,8873.149743566155,HCT116,Concanavalin A 488,Mg132,Total Pol II (F12),Total Pol II (F12),Goat anti-mouse Alexa647,mCherry,Goat anti-rabbit Alexa568,86962
44,G09,300.6797363374444,150.2022935706743,11650.033319601449,357.2186352312996,158.13383577132458,544.5664850492246,5625.995286938186,237.56459134798385,139.73233734070325,5381.895600444075,HCT116,Concanavalin A 488,CB6644,Total Pol II (F12),Total Pol II (F12),Goat anti-mouse Alexa647,mCherry,Goat anti-rabbit Alexa568,143219
45,G10,335.1485258011411,153.46885326819705,9108.281162532698,391.51335277106176,160.8067579871016,534.4431579302404,5413.694140517654,244.77707525480918,139.4506721243779,3249.859253340933,HCT116,Concanavalin A 488,Leptomycin B,Total Pol II (F12),Total Pol II (F12),Goat anti-mouse Alexa647,mCherry,Goat anti-rabbit Alexa568,196502
46,G11,358.11257890684965,149.09591462078617,10895.705973645177,497.26327680782333,157.54006534958717,572.5062453551534,5323.863959408305,202.81150412079225,138.1291082197685,4960.990189958595,HCT116,Concanavalin A 488,Media only,Total Pol II (F12),Total Pol II (F12),Goat anti-mouse Alexa647,mCherry,Goat anti-rabbit Alexa568,174617
47,G12,353.4294204673453,152.07976926010429,11193.455956815707,491.4419551341618,162.66242420766088,564.0578887240607,5418.70568466678,200.67890774141594,139.29375977965267,5148.770376214683,HCT116,Concanavalin A 488,No addition,Total Pol II (F12),Total Pol II (F12),Goat anti-mouse Alexa647,mCherry,Goat anti-rabbit Alexa568,200258
48,G13,336.43485082240164,841.2713350565647,13300.358614405415,457.59286838131135,1204.1523544170466,531.7437693856979,6191.130653128618,214.63268832615393,464.8185007163842,6304.803979199638,HCT116 mChPOLR2A clone 2,Concanavalin A 488,No addition,Total Pol II (F12),Total Pol II (F12),Goat anti-mouse Alexa647,mCherry,Goat anti-rabbit Alexa568,145959
49,G14,347.7164594987119,887.4198391843333,12590.751571817713,468.8949694865126,1249.1065304242652,544.4847470057058,6051.437384966503,217.80970450553446,485.4410847659478,5781.552992711478,HCT116 mChPOLR2A clone 2,Concanavalin A 488,Media only,Total Pol II (F12),Total Pol II (F12),Goat anti-mouse Alexa647,mCherry,Goat anti-rabbit Alexa568,135830
50,G15,311.05574312466797,925.2359712862503,15777.257439786401,395.15913103825886,1191.9179093158598,556.0977479090104,6579.075380564775,245.40084573518718,718.9625017928346,8432.873009103889,HCT116 mChPOLR2A clone 2,Concanavalin A 488,Mg132 plus CB6644,Total Pol II (F12),Total Pol II (F12),Goat anti-mouse Alexa647,mCherry,Goat anti-rabbit Alexa568,107866
51,G16,357.12672444244265,1084.116569985306,13564.279428356525,461.40469198677937,1415.8858304503708,584.6253706088817,6149.139718764619,265.83158572827926,789.9685828157795,6787.494812830791,HCT116 mChPOLR2A clone 2,Concanavalin A 488,Mg132 plus leptomycin B,Total Pol II (F12),Total Pol II (F12),Goat anti-mouse Alexa647,mCherry,Goat anti-rabbit Alexa568,109019
52,G17,342.83024016610824,832.262600319176,12952.826052093375,466.21154166932513,1180.5535420924266,539.8489816944358,6168.673537970863,218.29112720930016,466.81962028079545,6233.558251421261,HCT116 mChPOLR2A clone 2,Concanavalin A 488,Vehicle,Total Pol II (F12),Total Pol II (F12),Goat anti-mouse Alexa647,mCherry,Goat anti-rabbit Alexa568,110993
53,G18,344.027745645925,856.6036662326853,18080.660431041593,557.0458556978738,1499.0002356625776,537.625185987704,6844.678107045661,208.68539476107682,448.47168975767687,10244.635442724799,HCT116 mChPOLR2A clone 2,Concanavalin A 488,Mg132,Total Pol II (F12),Total Pol II (F12),Goat anti-mouse Alexa647,mCherry,Goat anti-rabbit Alexa568,72754
54,G19,280.14482746965393,688.438300962364,14644.441752419934,332.24408788482424,799.4679476055519,515.2541047097366,6450.402472334772,233.63089257893475,576.2119603413726,7464.652090674281,HCT116 mChPOLR2A clone 2,Concanavalin A 488,CB6644,Total Pol II (F12),Total Pol II (F12),Goat anti-mouse Alexa647,mCherry,Goat anti-rabbit Alexa568,121181
55,G20,285.4531366341276,709.7382138271774,13673.006790336072,331.14331255806013,808.4238991535289,489.3388044750706,6417.828322590169,243.15624418258324,613.7206912440047,6925.497383916417,HCT116 mChPOLR2A clone 2,Concanavalin A 488,Leptomycin B,Total Pol II (F12),Total Pol II (F12),Goat anti-mouse Alexa647,mCherry,Goat anti-rabbit Alexa568,60969
56,G21,335.3185548793549,781.4006361917227,14471.33278412737,484.51664592265377,1192.639643298314,511.1907783965163,6188.4088000138745,211.25464719064445,423.79804247526886,7506.30305763194,HCT116 mChPOLR2A clone 2,Concanavalin A 488,Media only,Total Pol II (F12),Total Pol II (F12),Goat anti-mouse Alexa647,mCherry,Goat anti-rabbit Alexa568,57659
