gene_id	hgnc_symbol	condition	coverage	dataset	target	treatment
ENSG00000160049	DFFA	ARMC5.KO	20.587256	TSS	Total Pol II	UNT
ENSG00000120948	TARDBP	WT	17.2477015	TSS	Total Pol II	UNT
ENSG00000120948	TARDBP	ARMC5.KO	24.38437524	TSS	Total Pol II	UNT
ENSG00000116649	SRM	WT	15.2477475	TSS	Total Pol II	UNT
ENSG00000116649	SRM	ARMC5.KO	21.45825857	TSS	Total Pol II	UNT
ENSG00000230337	EXOSC10-AS1	WT	21.32422	TSS	Total Pol II	UNT
ENSG00000230337	EXOSC10-AS1	ARMC5.KO	30.97592857	TSS	Total Pol II	UNT
ENSG00000171824	EXOSC10	WT	21.10940667	TSS	Total Pol II	UNT
ENSG00000171824	EXOSC10	ARMC5.KO	29.83281905	TSS	Total Pol II	UNT
ENSG00000198793	MTOR	WT	18.61274381	TSS	Total Pol II	UNT
ENSG00000198793	MTOR	ARMC5.KO	26.60847762	TSS	Total Pol II	UNT
ENSG00000120942	UBIAD1	WT	11.9915891	TSS	Total Pol II	UNT
ENSG00000120942	UBIAD1	ARMC5.KO	17.75555238	TSS	Total Pol II	UNT
ENSG00000116663	FBXO6	WT	6.4810455	TSS	Total Pol II	UNT
ENSG00000116663	FBXO6	ARMC5.KO	7.149439	TSS	Total Pol II	UNT
ENSG00000177674	AGTRAP	WT	7.513844286	TSS	Total Pol II	UNT
ENSG00000177674	AGTRAP	ARMC5.KO	14.30299053	TSS	Total Pol II	UNT
ENSG00000011021	CLCN6	WT	13.76264952	TSS	Total Pol II	UNT
ENSG00000011021	CLCN6	ARMC5.KO	22.30316667	TSS	Total Pol II	UNT
ENSG00000177000	MTHFR	WT	9.079623333	TSS	Total Pol II	UNT
ENSG00000177000	MTHFR	ARMC5.KO	14.33863952	TSS	Total Pol II	UNT
ENSG00000116685	KIAA2013	WT	7.999803	TSS	Total Pol II	UNT
ENSG00000116685	KIAA2013	ARMC5.KO	13.30735619	TSS	Total Pol II	UNT
ENSG00000083444	PLOD1	WT	7.833678762	TSS	Total Pol II	UNT
ENSG00000083444	PLOD1	ARMC5.KO	12.71094286	TSS	Total Pol II	UNT
ENSG00000116688	MFN2	WT	13.55737524	TSS	Total Pol II	UNT
ENSG00000116688	MFN2	ARMC5.KO	19.10368143	TSS	Total Pol II	UNT
