,EXPERIMENT,WELL,CELL,DRUG,DRUG TIME MINUTES,PRIMARY,SECONDARY,TotalNumberCells,IF_647_Intensity_BGS,IF_647_Intensity_FC
96,250324_mACmChPOLR2A_90min_IF,I09,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,90,Cyclin T1,Goat anti-rabbit Alexa647,1672,253.6418088286189,0.8968988002762668
97,250324_mACmChPOLR2A_90min_IF,I10,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,90,Cyclin T1,Goat anti-rabbit Alexa647,1256,279.05119722414145,0.9867485378764919
98,250324_mACmChPOLR2A_90min_IF,I11,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,90,Cyclin T1,Goat anti-rabbit Alexa647,1390,235.04183653745682,0.8311277315784126
99,250324_mACmChPOLR2A_90min_IF,I12,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,90,Cyclin T1,Goat anti-rabbit Alexa647,851,278.1878798148797,0.9836957748000872
100,250324_mACmChPOLR2A_90min_IF,I13,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,90,Cyclin T1,Goat anti-rabbit Alexa647,1075,275.20312619569904,0.9731414345967646
101,250324_mACmChPOLR2A_90min_IF,I14,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,90,Cyclin T1,Goat anti-rabbit Alexa647,873,290.96701714311007,1.028883880779886
102,250324_mACmChPOLR2A_90min_IF,I15,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,90,Cyclin T1,Goat anti-rabbit Alexa647,960,263.4133898585187,0.9314519338585983
106,250324_mACmChPOLR2A_90min_IF,J04,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,90,GTF2B,Goat anti-rabbit Alexa647,627,494.46182496665233,0.9967443703183965
107,250324_mACmChPOLR2A_90min_IF,J05,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,90,GTF2B,Goat anti-rabbit Alexa647,1010,547.1412027073844,1.1029363360955162
108,250324_mACmChPOLR2A_90min_IF,J06,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,90,GTF2B,Goat anti-rabbit Alexa647,949,480.2661563586629,0.9681285054457679
109,250324_mACmChPOLR2A_90min_IF,J07,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,90,GTF2B,Goat anti-rabbit Alexa647,969,517.8637972656502,1.0439184552843013
110,250324_mACmChPOLR2A_90min_IF,J08,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,90,GTF2B,Goat anti-rabbit Alexa647,957,469.11193672548484,0.9456436439998616
111,250324_mACmChPOLR2A_90min_IF,J09,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,90,GTF2B,Goat anti-rabbit Alexa647,952,490.1014689353236,0.9879546921119872
112,250324_mACmChPOLR2A_90min_IF,J10,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,90,GTF2B,Goat anti-rabbit Alexa647,946,483.21593141593166,0.9740747110648499
113,250324_mACmChPOLR2A_90min_IF,J11,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,90,GTF2B,Goat anti-rabbit Alexa647,909,534.3644982125229,1.077180842681371
114,250324_mACmChPOLR2A_90min_IF,J12,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,90,GTF2B,Goat anti-rabbit Alexa647,737,504.3654375918828,1.0167082373584424
115,250324_mACmChPOLR2A_90min_IF,J13,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,90,GTF2B,Goat anti-rabbit Alexa647,604,576.8505778025033,1.1628249885182478
116,250324_mACmChPOLR2A_90min_IF,J14,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,90,GTF2B,Goat anti-rabbit Alexa647,783,545.0399181872396,1.0987005318126823
117,250324_mACmChPOLR2A_90min_IF,J15,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,90,GTF2B,Goat anti-rabbit Alexa647,761,568.9372310404974,1.1468731325060295
16,250510_mACmChPOLR2A_90min_IF,D04,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,90,pSer5 3E8,Goat anti-rat Alexa647,2144,457.26276798770647,0.9949562514936746
17,250510_mACmChPOLR2A_90min_IF,D05,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,90,pSer5 3E8,Goat anti-rat Alexa647,1900,384.582547190673,0.8368116460183974
18,250510_mACmChPOLR2A_90min_IF,D06,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,90,pSer5 3E8,Goat anti-rat Alexa647,2083,462.6544959593454,1.0066880910994735
19,250510_mACmChPOLR2A_90min_IF,D07,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,90,pSer5 3E8,Goat anti-rat Alexa647,1785,404.9020459953911,0.8810247632418755
20,250510_mACmChPOLR2A_90min_IF,D08,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,90,pSer5 3E8,Goat anti-rat Alexa647,2142,444.8120258316712,0.9678647307945386
21,250510_mACmChPOLR2A_90min_IF,D09,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,90,pSer5 3E8,Goat anti-rat Alexa647,1774,404.01920063861206,0.8791037835157215
22,250510_mACmChPOLR2A_90min_IF,D10,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,90,pSer5 3E8,Goat anti-rat Alexa647,2298,465.4886043931918,1.0128548164510163
23,250510_mACmChPOLR2A_90min_IF,D11,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,90,pSer5 3E8,Goat anti-rat Alexa647,1785,401.95899955038766,0.8746210001019665
24,250510_mACmChPOLR2A_90min_IF,D12,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,90,pSer5 3E8,Goat anti-rat Alexa647,2368,466.1169353846839,1.0142219993746195
25,250510_mACmChPOLR2A_90min_IF,D13,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,90,pSer5 3E8,Goat anti-rat Alexa647,2231,398.3601146913398,0.8667902007463281
