,WELL,IF_647_Intensity,RFP_561_Intensity,GFP_488_Intensity,DAPI_Intensity,NucleusArea,CELL,DRUG,DRUG TIME MINUTES,PRIMARY,SECONDARY,TotalNumberCells,EXPERIMENT,IF_647_Intensity_BGS,IF_647_Intensity_FC
72,G15,953.9417848816931,166.4033913305267,219.80262160840778,473.8998546145857,1683.8562367864693,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,90,pSer5 3E8,Goat anti-rat Alexa647,946,250324_mACmChPOLR2A_90min_IF,826.7505863025322,0.8508246529813539
76,H04,184.34871501342255,160.91840473707683,326.44323704101276,441.23439284324905,1735.473381294964,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,90,CDK9,Goat anti-rabbit Alexa647,695,250324_mACmChPOLR2A_90min_IF,57.157516434261595,1.0412820752296899
77,H05,182.57357840830238,163.53048608028985,221.86980030523412,466.23749396555,1639.1680876979294,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,90,CDK9,Goat anti-rabbit Alexa647,821,250324_mACmChPOLR2A_90min_IF,55.38237982914143,1.008943057663704
78,H06,176.8848947390228,160.9397500215765,324.4704869844906,460.43039279561265,1671.8657465495608,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,90,CDK9,Goat anti-rabbit Alexa647,797,250324_mACmChPOLR2A_90min_IF,49.693696159861844,0.9053079680725475
79,H07,185.47927909658284,163.5423041102244,219.33236468880105,465.53130779601156,1686.3092105263158,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,90,CDK9,Goat anti-rabbit Alexa647,1216,250324_mACmChPOLR2A_90min_IF,58.28808051742189,1.0618784234990775
80,H08,181.02400004681286,160.61424489287364,321.03340305528076,460.36133121774134,1753.5566207309766,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,90,CDK9,Goat anti-rabbit Alexa647,1669,250324_mACmChPOLR2A_90min_IF,53.832801467651905,0.9807132066722141
81,H09,186.8331869478604,163.56022541905415,214.04216050846102,476.297558341164,1763.6346499102333,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,90,CDK9,Goat anti-rabbit Alexa647,1114,250324_mACmChPOLR2A_90min_IF,59.64198836869946,1.0865435955533869
82,H10,182.72586575953565,159.96902928897748,326.19112659328874,438.0770970132444,1717.2255067567567,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,90,CDK9,Goat anti-rabbit Alexa647,1184,250324_mACmChPOLR2A_90min_IF,55.5346671803747,1.0117173925021636
83,H11,189.10210235148182,162.892958822409,214.75208084321574,456.7166100117955,1714.7657841140528,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,90,CDK9,Goat anti-rabbit Alexa647,982,250324_mACmChPOLR2A_90min_IF,61.910903772320864,1.1278781581339843
84,H12,185.95962179160708,161.07555469738674,333.05833187820906,450.2056722175011,1561.630021141649,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,90,CDK9,Goat anti-rabbit Alexa647,946,250324_mACmChPOLR2A_90min_IF,58.76842321244612,1.0706291927679192
85,H13,184.46358054378595,160.201615593718,216.65526752442764,433.9498579949879,1715.0256111757858,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,90,CDK9,Goat anti-rabbit Alexa647,859,250324_mACmChPOLR2A_90min_IF,57.272381964625,1.0433746682129192
86,H14,181.5529869593151,159.75113953761544,322.5376685552455,448.6936704609021,1719.2464525765497,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,90,CDK9,Goat anti-rabbit Alexa647,1339,250324_mACmChPOLR2A_90min_IF,54.36178838015414,0.9903501647554644
87,H15,188.10885202693777,164.03719921848798,222.01487165724234,464.6383231622695,1624.9236220472442,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,90,CDK9,Goat anti-rabbit Alexa647,1270,250324_mACmChPOLR2A_90min_IF,60.917653447776814,1.109783359344864
91,I04,420.4599998959867,160.51003943742876,325.6968549702745,436.32852488784556,1684.0817174515234,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,90,Cyclin T1,Goat anti-rabbit Alexa647,722,250324_mACmChPOLR2A_90min_IF,293.2688013168257,1.0370231834975046
92,I05,400.8467822671238,161.76553750995012,218.97242147097364,436.2282778168751,1677.0618672665917,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,90,Cyclin T1,Goat anti-rabbit Alexa647,889,250324_mACmChPOLR2A_90min_IF,273.6555836879628,0.9676691939398506
93,I06,426.9183473073917,160.30365842821277,328.55322021830597,462.51580166565856,1658.032637075718,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,90,Cyclin T1,Goat anti-rabbit Alexa647,766,250324_mACmChPOLR2A_90min_IF,299.72714872823076,1.059860443931057
94,I07,392.90256900046876,160.66294491464333,215.9517693232804,439.66097791121894,1736.3141666666668,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,90,Cyclin T1,Goat anti-rabbit Alexa647,1200,250324_mACmChPOLR2A_90min_IF,265.71137042130783,0.9395777866876023
95,I08,382.7813147416921,158.2639603220805,316.25303307794957,447.3818116739523,1825.523349436393,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,90,Cyclin T1,Goat anti-rabbit Alexa647,1242,250324_mACmChPOLR2A_90min_IF,255.59011616253113,0.903788179114974
96,I09,380.83300740777986,159.3382873351064,215.19697227609151,445.41548102329995,1798.2266746411483,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,90,Cyclin T1,Goat anti-rabbit Alexa647,1672,250324_mACmChPOLR2A_90min_IF,253.6418088286189,0.8968988002762668
97,I10,406.2423958033024,161.76910819824738,324.45613750276834,469.35290013457427,1665.0063694267517,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,90,Cyclin T1,Goat anti-rabbit Alexa647,1256,250324_mACmChPOLR2A_90min_IF,279.05119722414145,0.9867485378764919
98,I11,362.23303511661777,160.82427987415082,214.38688698753782,449.92468097315634,1795.3007194244603,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,90,Cyclin T1,Goat anti-rabbit Alexa647,1390,250324_mACmChPOLR2A_90min_IF,235.04183653745682,0.8311277315784126
99,I12,405.3790783940407,163.9977724663003,337.80195004067184,483.850854964038,1590.942420681551,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,90,Cyclin T1,Goat anti-rabbit Alexa647,851,250324_mACmChPOLR2A_90min_IF,278.1878798148797,0.9836957748000872
