,EXPERIMENT,WELL,CELL,DRUG_1,DRUG_TIME_MINUTES_1,DRUG_2,DRUG_TIME_MINUTES_2,TIME_HOUR,TotalNumberCells,RFP_561_Intensity,RFP_561_Intensity_BGS,RFP_561_Intensity_NORM2
156,250407_mACmChPOLR2A_Inhibitors,K19,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,120,Vehicle,120,2.0,1050,182.05544986050637,44.70947545612111,0.9815706107651526
157,250407_mACmChPOLR2A_Inhibitors,K20,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,120,Leptomycin 10 ng/mL,120,2.0,1251,170.04620480239433,32.70023039800907,0.7179145985605728
158,250407_mACmChPOLR2A_Inhibitors,K21,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,120,Cycloheximide 50 µg/mL,120,2.0,499,181.47983270395835,44.13385829957309,0.9689332698400897
167,250407_mACmChPOLR2A_Inhibitors,L10,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,240,Vehicle,240,4.0,1020,180.01223998425831,42.666265579873055,0.9367131225998421
168,250407_mACmChPOLR2A_Inhibitors,L11,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,240,Leptomycin 10 ng/mL,240,4.0,1113,170.57256535841287,33.226590954027614,0.7294705393803409
169,250407_mACmChPOLR2A_Inhibitors,L12,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,240,Cycloheximide 50 µg/mL,240,4.0,732,165.97389673046993,28.627922326084672,0.6285094359948503
170,250407_mACmChPOLR2A_Inhibitors,L13,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,240,Vehicle,240,4.0,782,184.63589309817,47.28991869378473,1.0382227458885924
171,250407_mACmChPOLR2A_Inhibitors,L14,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,240,Leptomycin 10 ng/mL,240,4.0,1186,164.51224974251178,27.166275338126525,0.596419823847618
172,250407_mACmChPOLR2A_Inhibitors,L15,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,240,Cycloheximide 50 µg/mL,240,4.0,689,171.05904035900605,33.71306595462079,0.7401508159566756
173,250407_mACmChPOLR2A_Inhibitors,L16,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,240,Vehicle,240,4.0,1012,182.282917595137,44.93694319075175,0.9865645329915471
174,250407_mACmChPOLR2A_Inhibitors,L17,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,240,Leptomycin 10 ng/mL,240,4.0,990,169.71532242566934,32.36934802128408,0.7106502678275469
175,250407_mACmChPOLR2A_Inhibitors,L18,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,240,Cycloheximide 50 µg/mL,240,4.0,763,170.7883710216281,33.44239661724285,0.7342084275905627
176,250407_mACmChPOLR2A_Inhibitors,L19,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,240,Vehicle,240,4.0,850,186.0495734000777,48.70359899569243,1.0692592772550151
177,250407_mACmChPOLR2A_Inhibitors,L20,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,240,Leptomycin 10 ng/mL,240,4.0,1200,168.3561994385063,31.01022503412105,0.6808115106736217
178,250407_mACmChPOLR2A_Inhibitors,L21,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,240,Cycloheximide 50 µg/mL,240,4.0,544,175.5623700141356,38.21639560975035,0.8390188074722675
187,250407_mACmChPOLR2A_Inhibitors,M10,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,480,Vehicle,480,8.0,974,175.75310339157508,38.40712898718982,0.8432062481853733
188,250407_mACmChPOLR2A_Inhibitors,M11,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,480,Leptomycin 10 ng/mL,480,8.0,931,162.64796528272217,25.30199087833691,0.555490539458415
