,EXPERIMENT,WELL,RFP_561_Intensity,GFP_488_Intensity,DAPI_Intensity,NucleusArea,CELL,DRUG_1,DRUG_TIME_MINUTES_1,DRUG_2,DRUG_TIME_MINUTES_2,TotalNumberCells,RFP_561_Intensity_BGS,RFP_561_Intensity_NORM,RFP_561_Intensity_NORM2,TIME_MIN,TIME_HOUR
97,250407_mACmChPOLR2A_Inhibitors,H20,163.9665276510105,197.76278029459397,302.45891826489924,1763.3619186046512,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,480,Leptomycin 10 ng/mL,480,688,26.620553246625235,0.3982440930342437,0.5844388117422833,480,8.0
98,250407_mACmChPOLR2A_Inhibitors,H21,168.9585819985224,181.0100292009153,331.4253414578274,1643.1503649635038,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,480,Cycloheximide 50 µg/mL,480,685,31.61260759413713,0.472925341676383,0.6940364705130535,480,8.0
127,250407_mACmChPOLR2A_Inhibitors,J10,177.2768952989497,244.7504828567709,289.7307421093643,1520.253447143795,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,60,Vehicle,60,1523,39.93092089456445,0.5973675012818874,0.8766602160063252,60,1.0
128,250407_mACmChPOLR2A_Inhibitors,J11,168.56146322131818,191.42291769799255,265.10397302162926,1791.3150274588118,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,60,Leptomycin 10 ng/mL,60,2003,31.21548881693292,0.46698443557314084,0.6853179580118454,60,1.0
129,250407_mACmChPOLR2A_Inhibitors,J12,178.12773177455816,255.2155492572701,305.6242776549153,1452.9992082343626,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,60,Cycloheximide 50 µg/mL,60,1263,40.7817573701729,0.610096034660212,0.895339837507228,60,1.0
130,250407_mACmChPOLR2A_Inhibitors,J13,185.4920880565584,211.00221609313314,312.0128478661857,1312.962441314554,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,60,Vehicle,60,852,48.14611365217314,0.7202669751788139,1.0570200097720428,60,1.0
131,250407_mACmChPOLR2A_Inhibitors,J14,167.92360847299437,220.7742865040793,276.65754260350485,1778.9166666666667,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,60,Leptomycin 10 ng/mL,60,1728,30.577634068609115,0.4574421137671129,0.6713142268451463,60,1.0
132,250407_mACmChPOLR2A_Inhibitors,J15,180.98876808737154,205.0966612948249,314.4435442232764,1423.589605734767,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,60,Cycloheximide 50 µg/mL,60,1116,43.64279368298628,0.65289720415427,0.9581522309057069,60,1.0
133,250407_mACmChPOLR2A_Inhibitors,J16,181.99887264094906,245.44174730649473,305.9577511960739,1365.8556701030927,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,60,Vehicle,60,873,44.6528982365638,0.6680083916672581,0.9803284907136489,60,1.0
134,250407_mACmChPOLR2A_Inhibitors,J17,167.6343052789486,190.4815895606632,264.9287766118125,1798.4165247018739,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,60,Leptomycin 10 ng/mL,60,1174,30.288330874563343,0.45311413128465744,0.6649627429599346,60,1.0
135,250407_mACmChPOLR2A_Inhibitors,J18,182.25740665766213,252.981148689037,318.08896430716726,1280.4423076923076,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,60,Cycloheximide 50 µg/mL,60,780,44.91143225327687,0.6718760665442801,0.9860044551507103,60,1.0
136,250407_mACmChPOLR2A_Inhibitors,J19,181.02202332621349,207.5885776493454,304.13724649080234,1340.779365079365,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,60,Vehicle,60,630,43.676048921828226,0.6533947032974529,0.9588823303928562,60,1.0
137,250407_mACmChPOLR2A_Inhibitors,J20,169.29320863800837,239.94296241568367,284.0302021382808,1759.8973880597016,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,60,Leptomycin 10 ng/mL,60,1072,31.947234233623107,0.4779313639522004,0.7013830043640465,60,1.0
138,250407_mACmChPOLR2A_Inhibitors,J21,182.45237905231352,206.71448926178843,322.46916076758134,1451.3953488372092,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,60,Cycloheximide 50 µg/mL,60,602,45.10640464792826,0.6747928580833327,0.9902849610288912,60,1.0
147,250407_mACmChPOLR2A_Inhibitors,K10,180.81895927263548,246.61621460283317,308.42650193274545,1340.7359307359307,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,120,Vehicle,120,693,43.47298486825022,0.6503568603534756,0.9544241768345433,120,2.0
148,250407_mACmChPOLR2A_Inhibitors,K11,170.65682776136433,180.85596305911207,272.8889253533364,1734.7263257575758,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,120,Leptomycin 10 ng/mL,120,1056,33.31085335697907,0.49833113761557796,0.7313204715811955,120,2.0
149,250407_mACmChPOLR2A_Inhibitors,K12,178.41423629951106,253.15412524447987,307.9482518908136,1350.8397790055249,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,120,Cycloheximide 50 µg/mL,120,543,41.0682618951258,0.6143821489882282,0.9016298782351941,120,2.0
150,250407_mACmChPOLR2A_Inhibitors,K13,183.0065892765528,187.47893822397148,298.934941403673,1532.0733772342428,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,120,Vehicle,120,1063,45.66061487216754,0.6830838558720604,1.0024523251670086,120,2.0
151,250407_mACmChPOLR2A_Inhibitors,K14,169.54471793882865,216.58435200189984,277.82328094209385,1732.9247491638796,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,120,Leptomycin 10 ng/mL,120,1196,32.198743534443395,0.4816939489167917,0.7069047452366626,120,2.0
152,250407_mACmChPOLR2A_Inhibitors,K15,177.03163733198912,184.86847834129117,302.7355652954132,1477.9653558052435,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,120,Cycloheximide 50 µg/mL,120,1068,39.68566292760386,0.5936984364166022,0.8712757195440306,120,2.0
