,WELL,IF_561_Intensity,GFP_Intensity,DAPI_Intensity,NucleusArea,CELL,EU,DRUG,DRUG TIME HOURS,PRIMARY,SECONDARY,TotalNumberCells,Alexa647_Intensity,NucleusArea2,EXPERIMENT
62,F05,723.7920692159998,255.8551423321856,508.5070873276801,1608.269499048827,HCT116 OsTIRF74G ARMC5mAC Clone 5A1,"EU 1 mM, 30 mins",10 µM 5PhIAA,24,Total Pol II F12,Goat anti-mouse Alexa647,2253,164.17434054826043,1500.2055518836748,250203_ARMC5mAC_TotalPolII
63,F06,608.5973706093114,257.38280645199717,451.34514804280076,1561.6568723473717,HCT116 OsTIRF74G ARMC5mAC Clone 5F9,"EU 1 mM, 30 mins",10 µM 5PhIAA,24,Total Pol II F12,Goat anti-mouse Alexa647,3864,167.29620660204128,1432.8105189829328,250203_ARMC5mAC_TotalPolII
64,F07,419.8464749736481,253.45655861456945,439.47576071458343,1598.1898188093185,HCT116 OsTIRF74G,"EU 1 mM, 30 mins",Vehicle,24,Total Pol II F12,Goat anti-mouse Alexa647,1757,168.74552686315374,1499.5408475316733,250203_ARMC5mAC_TotalPolII
65,F08,485.76382719442796,301.33660706125687,486.9230720845435,1597.4954545454545,HCT116 OsTIRF74G ARMC5mAC Clone 5A1,"EU 1 mM, 30 mins",Vehicle,24,Total Pol II F12,Goat anti-mouse Alexa647,2514,160.713083392437,1495.0063532401525,250203_ARMC5mAC_TotalPolII
66,F09,434.35658454243116,298.17830777624084,396.0842039593401,1695.039629005059,HCT116 OsTIRF74G ARMC5mAC Clone 5F9,"EU 1 mM, 30 mins",Vehicle,24,Total Pol II F12,Goat anti-mouse Alexa647,4453,164.59707581762171,1456.343404568902,250203_ARMC5mAC_TotalPolII
67,F10,451.7652654809135,249.26762981176273,429.11758178228723,1618.7410846953937,HCT116 OsTIRF74G,"EU 1 mM, 30 mins",10 µM 5PhIAA,24,Total Pol II F12,Goat anti-mouse Alexa647,1793,181.79371981757322,1524.9095057034222,250203_ARMC5mAC_TotalPolII
68,F11,716.5677583582252,251.52503513979815,491.8137351082032,1557.9327548806941,HCT116 OsTIRF74G ARMC5mAC Clone 5A1,"EU 1 mM, 30 mins",10 µM 5PhIAA,24,Total Pol II F12,Goat anti-mouse Alexa647,2683,175.09530987924407,1486.945779765232,250203_ARMC5mAC_TotalPolII
69,F12,665.7408255954631,259.14137072286366,452.62166811595495,1540.3221933809216,HCT116 OsTIRF74G ARMC5mAC Clone 5F9,"EU 1 mM, 30 mins",10 µM 5PhIAA,24,Total Pol II F12,Goat anti-mouse Alexa647,4173,181.99764226087365,1414.0791726105563,250203_ARMC5mAC_TotalPolII
70,F13,445.4596801904107,251.8860607774867,446.565178565919,1664.5017857142857,HCT116 OsTIRF74G,"EU 1 mM, 30 mins",Vehicle,24,Total Pol II F12,Goat anti-mouse Alexa647,2113,166.59380935762186,1555.3868402024584,250203_ARMC5mAC_TotalPolII
71,F14,496.3636496781653,296.1081796696372,490.6804665118811,1514.971314209473,HCT116 OsTIRF74G ARMC5mAC Clone 5A1,"EU 1 mM, 30 mins",Vehicle,24,Total Pol II F12,Goat anti-mouse Alexa647,2524,162.73297258115588,1453.8356258596973,250203_ARMC5mAC_TotalPolII
72,F15,450.35954039218524,304.6848749229199,451.9657957080911,1543.9603174603174,HCT116 OsTIRF74G ARMC5mAC Clone 5F9,"EU 1 mM, 30 mins",Vehicle,24,Total Pol II F12,Goat anti-mouse Alexa647,4118,161.43623902789685,1416.442214790041,250203_ARMC5mAC_TotalPolII
73,F16,441.30920739741964,248.5308478581007,448.1799633399749,1636.1662844036698,HCT116 OsTIRF74G,"EU 1 mM, 30 mins",10 µM 5PhIAA,24,Total Pol II F12,Goat anti-mouse Alexa647,1584,173.28833406902416,1515.9871844660195,250203_ARMC5mAC_TotalPolII
74,F17,774.775767016146,248.77029849444537,500.7917706890685,1563.3263940520446,HCT116 OsTIRF74G ARMC5mAC Clone 5A1,"EU 1 mM, 30 mins",10 µM 5PhIAA,24,Total Pol II F12,Goat anti-mouse Alexa647,2668,166.23201831290177,1496.847533632287,250203_ARMC5mAC_TotalPolII
75,F18,653.7931569266368,248.05126100383632,455.73313459207714,1537.2748493975903,HCT116 OsTIRF74G ARMC5mAC Clone 5F9,"EU 1 mM, 30 mins",10 µM 5PhIAA,24,Total Pol II F12,Goat anti-mouse Alexa647,3888,166.40954006763798,1430.4797136038187,250203_ARMC5mAC_TotalPolII
76,F19,435.50995228889076,247.72043100830834,452.1443863409398,1632.8816326530612,HCT116 OsTIRF74G,"EU 1 mM, 30 mins",Vehicle,24,Total Pol II F12,Goat anti-mouse Alexa647,2109,170.7219539381392,1541.2910941475827,250203_ARMC5mAC_TotalPolII
77,F20,496.11248723555144,293.1265482797937,485.2433236302283,1529.9568288854002,HCT116 OsTIRF74G ARMC5mAC Clone 5A1,"EU 1 mM, 30 mins",Vehicle,24,Total Pol II F12,Goat anti-mouse Alexa647,2410,163.25994834942716,1454.800460475825,250203_ARMC5mAC_TotalPolII
78,F21,446.29872966749025,296.40168688111766,457.1230037078168,1495.964838844705,HCT116 OsTIRF74G ARMC5mAC Clone 5F9,"EU 1 mM, 30 mins",Vehicle,24,Total Pol II F12,Goat anti-mouse Alexa647,4020,161.02814205514883,1381.3621597892889,250203_ARMC5mAC_TotalPolII
79,F22,439.1736648631829,243.6435669314225,435.84245909392735,1671.1944581890154,HCT116 OsTIRF74G,"EU 1 mM, 30 mins",No addition,No addition,Total Pol II F12,Goat anti-mouse Alexa647,4850,168.34258656421457,1569.5372907153728,250203_ARMC5mAC_TotalPolII
80,G03,350.70509016413837,252.26957289992228,419.3314978994138,1749.6452273658338,HCT116 OsTIRF74G,"EU 1 mM, 30 mins",No addition,No addition,Total Pol II F12,Goat anti-mouse Alexa647,3075,157.95554664446797,1619.0518518518518,250203_ARMC5mAC_TotalPolII
81,G04,347.64731173279404,252.3927441376921,425.2570074919985,1715.9363008442058,HCT116 OsTIRF74G,"EU 1 mM, 30 mins",10 µM 5PhIAA,48,Total Pol II F12,Goat anti-mouse Alexa647,1891,165.31734820195996,1614.7152317880796,250203_ARMC5mAC_TotalPolII
82,G05,635.7194538065983,253.24273762753847,481.7460116117153,1648.3728682170542,HCT116 OsTIRF74G ARMC5mAC Clone 5A1,"EU 1 mM, 30 mins",10 µM 5PhIAA,48,Total Pol II F12,Goat anti-mouse Alexa647,2088,157.86120286209484,1563.1814611154753,250203_ARMC5mAC_TotalPolII
