,WELL,IF_647_Intensity,RFP_561_Intensity,GFP_488_Intensity,DAPI_Intensity,NucleusArea,CELL,DRUG,DRUG_TIME_MINUTES,SIRNA,PRIMARY,SECONDARY,TotalNumberCells,EXPERIMENT,GFP_Intensity_BGS,GFP_Intensity_FC,RFP_Intensity_BGS,RFP_Intensity_FC,IF_647_Intensity_BGS,IF_647_Intensity_FC,TIME_IN_AUXIN
75,F18,2736.440530621694,280.67641674249995,512.8328044122318,569.7409565402403,1598.0044731610337,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,480,Scrambled,pSer2 Pol II (3E10,Goat anti-mouse Alexa647,2012,251017_mACmChPOLR2A_7SK,285.1328044122318,1.0192647574903169,136.27641674249995,1.0143598635059512,2552.850954496291,1.0071254928974656,0.0
76,F19,2426.441402098478,275.8765178712963,486.99097544880595,516.2597635946969,1637.6547696301104,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,240,Scrambled,pSer2 Pol II (3E10,Goat anti-mouse Alexa647,3082,251017_mACmChPOLR2A_7SK,259.29097544880597,0.9268879242255208,131.4765178712963,0.9786322968424077,2242.8518259730754,0.8848277047865531,0.0
77,F20,2563.829067096924,273.293163692512,480.7692449017993,525.3126017297495,1630.1028505392912,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,120,Scrambled,pSer2 Pol II (3E10,Goat anti-mouse Alexa647,2596,251017_mACmChPOLR2A_7SK,253.06924490179932,0.9046470926584996,128.893163692512,0.9594033586679427,2380.2394909715213,0.9390285266503948,0.0
78,F21,2843.6181269082144,281.2626631920512,492.5846319973815,583.7651168312124,1558.6516741629187,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,60,Scrambled,pSer2 Pol II (3E10,Goat anti-mouse Alexa647,2001,251017_mACmChPOLR2A_7SK,264.8846319973815,0.9468835785214927,136.8626631920512,1.0187235302559459,2660.028550782811,1.0494081374433653,0.0
79,F22,2599.557890829133,267.3559186142116,467.9789005137142,528.6176722565389,1613.9702680067003,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,30,Scrambled,pSer2 Pol II (3E10,Goat anti-mouse Alexa647,2388,251017_mACmChPOLR2A_7SK,240.27890051371423,0.8589254251786286,122.95591861421158,0.9152100693873333,2415.9683147037304,0.9531239085795947,0.0
80,G03,2969.5472429412052,274.2181155148705,535.507271469988,542.5428193472744,1049.0,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,480,HEXIM1 + HEXIM2 pool,pSer2 Pol II (3E10,Goat anti-mouse Alexa647,73,251017_mACmChPOLR2A_7SK,307.80727146998805,1.1003192163572557,129.81811551487047,0.9662881449479486,2785.9576668158024,1.099088445975084,0.0
81,G04,3139.9325730949913,286.2967699895282,532.9753050410004,594.9288353739769,1208.008097165992,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,240,HEXIM1 + HEXIM2 pool,pSer2 Pol II (3E10,Goat anti-mouse Alexa647,247,251017_mACmChPOLR2A_7SK,305.2753050410004,1.091268191332143,141.89676998952817,1.05619440016891,2956.342996969588,1.1663071801167675,0.0
82,G05,2916.907554989556,293.3915391685633,539.179300572203,599.8746452519068,1297.6352941176472,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,120,HEXIM1 + HEXIM2 pool,pSer2 Pol II (3E10,Goat anti-mouse Alexa647,255,251017_mACmChPOLR2A_7SK,311.47930057220304,1.113445625505729,148.99153916856332,1.109003604197592,2733.317978864153,1.078321557261546,0.0
83,G06,3089.861271402308,288.51838938965864,547.4908749524255,560.4942284444161,1346.8,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,60,HEXIM1 + HEXIM2 pool,pSer2 Pol II (3E10,Goat anti-mouse Alexa647,110,251017_mACmChPOLR2A_7SK,319.79087495242555,1.1431570256460377,144.11838938965863,1.0727308017367372,2906.271695276905,1.146553545730693,0.0
84,G07,3155.330072855952,290.8561033559878,565.8367886067448,587.9511243326134,1287.9581395348837,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,30,HEXIM1 + HEXIM2 pool,pSer2 Pol II (3E10,Goat anti-mouse Alexa647,215,251017_mACmChPOLR2A_7SK,338.1367886067448,1.2087381967440267,146.45610335598778,1.0901313415842313,2971.7404967305492,1.1723816493327763,0.0
