,WELL,Alexa647_Intensity,GFP_Intensity,DAPI_Intensity,NucleusArea,CELL,DRUG,DRUG TIME HOURS,PRIMARY,SECONDARY,TotalNumberCells,EXPERIMENT
92,G15,1264.4937127161265,783.7928463850441,1055.6615636256809,1512.1366764995084,HCT116 OsTIRF74G ARMC5mAC Clone 5A1,Vehicle,2.0,pSer2 Pol II 3E10,Goat anti-rat Alexa647,3051,260119_ARMC5mAC_TotalPhospho
93,G16,1310.5091671606017,795.7147881912033,1062.2619714279617,1400.323192555476,HCT116 OsTIRF74G ARMC5mAC Clone 5F9,Vehicle,2.0,pSer2 Pol II 3E10,Goat anti-rat Alexa647,2794,260119_ARMC5mAC_TotalPhospho
94,G17,1269.266996552829,692.6704814498125,1072.388507768818,1491.7121212121212,HCT116 OsTIRF74G ARMC5mAC Clone 5A1,10 µM 5PhIAA,2.0,pSer2 Pol II 3E10,Goat anti-rat Alexa647,3300,260119_ARMC5mAC_TotalPhospho
95,G18,1298.593078589455,692.289086351995,1089.6161655305334,1453.7560396039603,HCT116 OsTIRF74G ARMC5mAC Clone 5F9,10 µM 5PhIAA,2.0,pSer2 Pol II 3E10,Goat anti-rat Alexa647,2525,260119_ARMC5mAC_TotalPhospho
96,G19,1255.1500294711316,772.1787060448953,1020.473438883606,1577.5622073578595,HCT116 OsTIRF74G ARMC5mAC Clone 5A1,Vehicle,2.0,pSer2 Pol II 3E10,Goat anti-rat Alexa647,2990,260119_ARMC5mAC_TotalPhospho
97,G20,1379.6922865534402,788.4143357483492,1136.4926159533784,1398.7010228166798,HCT116 OsTIRF74G ARMC5mAC Clone 5F9,Vehicle,2.0,pSer2 Pol II 3E10,Goat anti-rat Alexa647,2542,260119_ARMC5mAC_TotalPhospho
98,G21,1382.2465064406442,684.0992661059685,1066.779171988152,1489.360465116279,HCT116 OsTIRF74G ARMC5mAC Clone 5A1,10 µM 5PhIAA,2.0,pSer2 Pol II 3E10,Goat anti-rat Alexa647,2322,260119_ARMC5mAC_TotalPhospho
99,G22,1377.6991803012581,682.8457530906293,1088.5945197398057,1403.800790513834,HCT116 OsTIRF74G ARMC5mAC Clone 5F9,10 µM 5PhIAA,2.0,pSer2 Pol II 3E10,Goat anti-rat Alexa647,2530,260119_ARMC5mAC_TotalPhospho
100,H03,698.134171262045,782.0589297258866,1004.1566169931934,1481.3354838709677,HCT116 OsTIRF74G ARMC5mAC Clone 5A1,Vehicle,0.5,Total Pol II F12,Goat anti-mouse Alexa647,3565,260119_ARMC5mAC_TotalPhospho
101,H04,891.2222909997905,800.4919634243033,1156.8891038951747,1346.3129032258064,HCT116 OsTIRF74G ARMC5mAC Clone 5F9,Vehicle,0.5,Total Pol II F12,Goat anti-mouse Alexa647,1550,260119_ARMC5mAC_TotalPhospho
