,EXPERIMENT,WELL,CELL,DRUG_1,DRUG_TIME_MINUTES_1,DRUG_2,DRUG_TIME_MINUTES_2,TIME_HR,RFP_Intensity,RFP_Intensity_BGS,RFP_Intensity_Fraction
85,250512_mACmChPOLR2A_Inhibitors_Chase,G08,HCT116 mChPOLR2A Clone 2,Vehicle,1440,Leptomycin 10 ng/mL,240,4.0,163.6862983402047,29.551739452548304,0.6902939963134113
86,250512_mACmChPOLR2A_Inhibitors_Chase,G09,HCT116 mChPOLR2A Clone 2,Vehicle,1440,Cycloheximide 50 µg/mL,240,4.0,163.46387368103217,29.329314793375772,0.6850984169768584
87,250512_mACmChPOLR2A_Inhibitors_Chase,G10,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,1440,Vehicle,240,4.0,164.17303000150878,30.03847111385238,0.7016634774281646
88,250512_mACmChPOLR2A_Inhibitors_Chase,G11,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,1440,Leptomycin 10 ng/mL,240,4.0,155.57887880851877,21.44431992086237,0.5009141786785379
89,250512_mACmChPOLR2A_Inhibitors_Chase,G12,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,1440,Cycloheximide 50 µg/mL,240,4.0,155.24782743004283,21.113268542386436,0.4931812064993484
90,250512_mACmChPOLR2A_Inhibitors_Chase,G13,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,1440,Vehicle,240,4.0,174.4315669256064,40.29700803795001,0.9412908760466034
91,250512_mACmChPOLR2A_Inhibitors_Chase,G14,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,1440,Leptomycin 10 ng/mL,240,4.0,163.34461183128772,29.210052943631325,0.6823125999524489
92,250512_mACmChPOLR2A_Inhibitors_Chase,G15,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,1440,Cycloheximide 50 µg/mL,240,4.0,168.37149314818666,34.23693426053026,0.7997346555579156
93,250512_mACmChPOLR2A_Inhibitors_Chase,G16,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,1440,Vehicle,240,4.0,163.65735816892098,29.522799281264582,0.6896179878327088
94,250512_mACmChPOLR2A_Inhibitors_Chase,G17,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,1440,Leptomycin 10 ng/mL,240,4.0,154.79052813986058,20.655969252204187,0.4824992310766133
