,WELL,RFP_Intensity,GFP_Intensity,DAPI_Intensity,NucleusArea,CELL,DRUG_1,DRUG_TIME_MINUTES_1,DRUG_2,DRUG_TIME_MINUTES_2,EXPERIMENT,ROW,COLUMN,GFP_Intensity_BGS,RFP_Intensity_BGS,RFP_Intensity_Fraction,RFP_Intensity_Fraction2,DRUG_2_TIME_IN,RFP_Intensity_Decay,Log_RFP_Intensity_Decay,TIME_HR,DRUG_2_TIME_HOURS
78,F21,174.78520786671066,177.93683736691938,291.02937899904015,1459.9374233128835,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,1440,Cycloheximide 50 µg/mL,120,250512_mACmChPOLR2A_Inhibitors_Chase,F,21,1.9651296309013162,40.65064897905427,0.9495515139317905,0.9495515139317905,120,0.9619067525970394,-0.03883776378682979,2.0,2.0
81,G04,179.9319423689679,176.48475025315346,211.55218641008372,1650.9850318471338,HCT116 mChPOLR2A Clone 2,Vehicle,1440,Vehicle,240,250512_mACmChPOLR2A_Inhibitors_Chase,G,04,0.5130425171354034,45.7973834813115,1.0697731994685076,1.0697731994685076,0,1.0697731994685076,0.06744666289291484,4.0,0.0
82,G05,165.27497923541605,175.37463582689392,211.63305096808696,1752.759292674125,HCT116 mChPOLR2A Clone 2,Vehicle,1440,Leptomycin 10 ng/mL,240,250512_mACmChPOLR2A_Inhibitors_Chase,G,05,-0.5970719091241392,31.140420347759658,0.7274037199485676,0.7274037199485676,240,0.7274037199485676,-0.3182736324080006,4.0,4.0
83,G06,162.54680943089804,175.5765933369424,208.44333284834036,1744.6658361881034,HCT116 mChPOLR2A Clone 2,Vehicle,1440,Cycloheximide 50 µg/mL,240,250512_mACmChPOLR2A_Inhibitors_Chase,G,06,-0.39511439907565205,28.41225054324164,0.6636768709755565,0.6636768709755565,240,0.6636768709755565,-0.40995988805047784,4.0,4.0
84,G07,177.0609292120667,175.85903997154438,214.81341662997912,1691.9626312538603,HCT116 mChPOLR2A Clone 2,Vehicle,1440,Vehicle,240,250512_mACmChPOLR2A_Inhibitors_Chase,G,07,-0.11266776447368443,42.9263703244103,1.0027096972090894,1.0027096972090894,0,1.0027096972090894,0.00270603259810503,4.0,0.0
85,G08,163.6862983402047,175.12846977741762,214.16934512293682,1793.366718027735,HCT116 mChPOLR2A Clone 2,Vehicle,1440,Leptomycin 10 ng/mL,240,250512_mACmChPOLR2A_Inhibitors_Chase,G,08,-0.8432379586004402,29.551739452548304,0.6902939963134113,0.6902939963134113,240,0.6902939963134113,-0.37063769052418705,4.0,4.0
86,G09,163.46387368103217,175.7403119549426,220.15872477130347,1781.2498416719443,HCT116 mChPOLR2A Clone 2,Vehicle,1440,Cycloheximide 50 µg/mL,240,250512_mACmChPOLR2A_Inhibitors_Chase,G,09,-0.231395781075463,29.329314793375772,0.6850984169768584,0.6850984169768584,240,0.6850984169768584,-0.3781927766213213,4.0,4.0
87,G10,164.17303000150878,228.9470993084229,264.62378717559324,1609.98393194707,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,1440,Vehicle,240,250512_mACmChPOLR2A_Inhibitors_Chase,G,10,52.975391572404845,30.03847111385238,0.7016634774281646,0.7016634774281646,0,1.006899065873814,0.00687537621411747,4.0,0.0
88,G11,155.57887880851877,214.97919436143772,261.94405941972195,1663.3114893617021,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,1440,Leptomycin 10 ng/mL,240,250512_mACmChPOLR2A_Inhibitors_Chase,G,11,39.00748662541966,21.44431992086237,0.5009141786785379,0.5009141786785379,240,0.7188203958442534,-0.33014374962240706,4.0,4.0
89,G12,155.24782743004283,213.73655565753015,268.0802079465358,1581.9885386819485,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,1440,Cycloheximide 50 µg/mL,240,250512_mACmChPOLR2A_Inhibitors_Chase,G,12,37.764847921512086,21.113268542386436,0.4931812064993484,0.4931812064993484,240,0.7077234487832581,-0.34570187065920377,4.0,4.0
