,Experiment,TREATMENT_CODE,FIRST_TREATMENT,SECOND_TREATMENT,TIME_HR,GFP_Intensity_BleachCorrected,RFP_Intensity_BleachCorrected
67,020925,VEH_AUX,Vehicle,10 µM 5PhIAA,10.0,0.1409494438060174,1.238928265253362
68,020925,VEH_AUX,Vehicle,10 µM 5PhIAA,10.5,0.14800568403252903,1.233593496032045
69,020925,VEH_AUX,Vehicle,10 µM 5PhIAA,11.0,0.14708566571154152,1.2324563447786783
70,020925,VEH_AUX,Vehicle,10 µM 5PhIAA,11.5,0.15146320193120724,1.227160292957979
71,020925,VEH_AUX,Vehicle,10 µM 5PhIAA,12.0,0.1429863725735679,1.2236854747312744
72,020925,VEH_VEH,Vehicle,Vehicle,0.5,0.9829398369274551,1.0332153954787007
73,020925,VEH_VEH,Vehicle,Vehicle,1.0,1.0027986582095636,0.9884854524716618
74,020925,VEH_VEH,Vehicle,Vehicle,1.5,1.0096305712246398,0.9861942948014685
75,020925,VEH_VEH,Vehicle,Vehicle,2.0,1.0062476433379806,0.9819410777140215
76,020925,VEH_VEH,Vehicle,Vehicle,2.5,1.0096482100476192,0.989634784152767
77,020925,VEH_VEH,Vehicle,Vehicle,3.0,0.9978842903901067,0.9926516793860145
78,020925,VEH_VEH,Vehicle,Vehicle,3.5,0.994764017379222,0.9953264409674374
79,020925,VEH_VEH,Vehicle,Vehicle,4.0,1.0035307097148034,1.0009917786289035
80,020925,VEH_VEH,Vehicle,Vehicle,4.5,0.9993200223814543,1.0029203956032915
81,020925,VEH_VEH,Vehicle,Vehicle,5.0,0.9982912385904614,1.0019388956248607
82,020925,VEH_VEH,Vehicle,Vehicle,5.5,0.9992194028875371,1.0072471658315005
83,020925,VEH_VEH,Vehicle,Vehicle,6.0,1.0049616984861045,1.0170254657328532
84,020925,VEH_VEH,Vehicle,Vehicle,6.5,0.9980573840325356,1.0092263177414957
85,020925,VEH_VEH,Vehicle,Vehicle,7.0,0.9950577816071821,1.004570486483475
86,020925,VEH_VEH,Vehicle,Vehicle,7.5,0.9968970109331006,1.0069762671584743
87,020925,VEH_VEH,Vehicle,Vehicle,8.0,0.9990986343204796,1.0050891782594251
88,020925,VEH_VEH,Vehicle,Vehicle,8.5,0.9986214188036393,1.0027135938825988
89,020925,VEH_VEH,Vehicle,Vehicle,9.0,0.9991045293305316,1.0014657459536458
90,020925,VEH_VEH,Vehicle,Vehicle,9.5,0.998868235937395,1.0009916184338339
91,020925,VEH_VEH,Vehicle,Vehicle,10.0,0.9909287172612593,0.9981022143201237
92,020925,VEH_VEH,Vehicle,Vehicle,10.5,1.0082862938636081,0.9986965105930293
93,020925,VEH_VEH,Vehicle,Vehicle,11.0,1.0036255010511412,0.9976363248491804
94,020925,VEH_VEH,Vehicle,Vehicle,11.5,1.0058121711110768,0.9910128755011696
95,020925,VEH_VEH,Vehicle,Vehicle,12.0,0.9964059424905702,0.9859799917579665
