,EXPERIMENT,WELL,CELL,DRUG,DRUG_TIME_MINUTES,SIRNA,PRIMARY,SECONDARY,TIME_IN_AUXIN,TotalNumberCells,IF_647_Intensity,IF_647_Intensity_BGS,IF_647_Intensity_FC
82,250825_mACmChPOLR2A_ARMC5,G05,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,480,ARMC5 pool,Total Pol II (F12),Goat anti-mouse Alexa647,8.0,1451,1797.62685408259,1628.616770698834,1.0864935004036083
83,250825_mACmChPOLR2A_ARMC5,G06,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,240,ARMC5 pool,Total Pol II (F12),Goat anti-mouse Alexa647,4.0,1731,1608.2053301922638,1439.1952468085078,0.9601253711751
84,250825_mACmChPOLR2A_ARMC5,G07,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,120,ARMC5 pool,Total Pol II (F12),Goat anti-mouse Alexa647,2.0,1560,1666.7970448620142,1497.786961478258,0.9992134601052356
85,250825_mACmChPOLR2A_ARMC5,G08,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,60,ARMC5 pool,Total Pol II (F12),Goat anti-mouse Alexa647,1.0,1412,1720.669669342603,1551.659585958847,1.0351533186409723
86,250825_mACmChPOLR2A_ARMC5,G09,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,30,ARMC5 pool,Total Pol II (F12),Goat anti-mouse Alexa647,0.5,1676,1703.0022963434342,1533.992212959678,1.0233669449045857
87,250825_mACmChPOLR2A_ARMC5,G10,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,1440,ARMC5 pool,Total Pol II (F12),Goat anti-mouse Alexa647,24.0,1413,1744.7971603655433,1575.7870769817873,1.0512494086783004
88,250825_mACmChPOLR2A_ARMC5,G11,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,480,ARMC5 pool,Total Pol II (F12),Goat anti-mouse Alexa647,8.0,1575,1860.0100533027994,1690.9999699190435,1.1281109893712906
89,250825_mACmChPOLR2A_ARMC5,G12,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,240,ARMC5 pool,Total Pol II (F12),Goat anti-mouse Alexa647,4.0,1161,1835.4444918914062,1666.43440850765,1.111722650943588
90,250825_mACmChPOLR2A_ARMC5,G13,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,120,ARMC5 pool,Total Pol II (F12),Goat anti-mouse Alexa647,2.0,1819,1663.223183716509,1494.2131003327531,0.9968292424207585
91,250825_mACmChPOLR2A_ARMC5,G14,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,60,ARMC5 pool,Total Pol II (F12),Goat anti-mouse Alexa647,1.0,1786,1756.0783011999415,1587.0682178161856,1.0587753573325391
92,250825_mACmChPOLR2A_ARMC5,G15,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,30,ARMC5 pool,Total Pol II (F12),Goat anti-mouse Alexa647,0.5,1496,1900.4911370048244,1731.4810536210684,1.1551169954022071
93,250825_mACmChPOLR2A_ARMC5,G16,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,1440,ARMC5 pool,Total Pol II (F12),Goat anti-mouse Alexa647,24.0,1660,1941.498714126438,1772.4886307426818,1.1824742391759002
94,250825_mACmChPOLR2A_ARMC5,G17,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,480,ARMC5 pool,Total Pol II (F12),Goat anti-mouse Alexa647,8.0,1719,1805.2381549467086,1636.2280715629527,1.0915712013503651
95,250825_mACmChPOLR2A_ARMC5,G18,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,240,ARMC5 pool,Total Pol II (F12),Goat anti-mouse Alexa647,4.0,1614,1733.2690522674081,1564.258968883652,1.0435587016034864
96,250825_mACmChPOLR2A_ARMC5,G19,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,120,ARMC5 pool,Total Pol II (F12),Goat anti-mouse Alexa647,2.0,1615,1736.8281119307312,1567.8180285469753,1.0459330448261035
97,250825_mACmChPOLR2A_ARMC5,G20,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,60,ARMC5 pool,Total Pol II (F12),Goat anti-mouse Alexa647,1.0,1610,1813.373572044398,1644.363488660642,1.0969985541559726
98,250825_mACmChPOLR2A_ARMC5,G21,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,30,ARMC5 pool,Total Pol II (F12),Goat anti-mouse Alexa647,0.5,1389,1968.1484341493199,1799.1383507655637,1.20025297516424
101,250825_mACmChPOLR2A_ARMC5,H04,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,1440,Scrambled,Total Pol II (F12),Goat anti-mouse Alexa647,0.0,1608,1421.0772954733034,1252.0672120895474,0.8352872894831068
102,250825_mACmChPOLR2A_ARMC5,H05,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,480,Scrambled,Total Pol II (F12),Goat anti-mouse Alexa647,0.0,1232,1467.3208652026062,1298.31078181885,0.8661376029824508
103,250825_mACmChPOLR2A_ARMC5,H06,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,240,Scrambled,Total Pol II (F12),Goat anti-mouse Alexa647,0.0,1627,1580.848806683402,1411.838723299646,0.9418751078100341
104,250825_mACmChPOLR2A_ARMC5,H07,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,120,Scrambled,Total Pol II (F12),Goat anti-mouse Alexa647,0.0,1635,1545.5835480187188,1376.5734646349629,0.9183487171829812
105,250825_mACmChPOLR2A_ARMC5,H08,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,60,Scrambled,Total Pol II (F12),Goat anti-mouse Alexa647,0.0,1383,1569.1887714225436,1400.1786880387876,0.9340963886212568
106,250825_mACmChPOLR2A_ARMC5,H09,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,30,Scrambled,Total Pol II (F12),Goat anti-mouse Alexa647,0.0,1433,1499.4768834824267,1330.4668000986708,0.8875897367738113
107,250825_mACmChPOLR2A_ARMC5,H10,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,1440,Scrambled,Total Pol II (F12),Goat anti-mouse Alexa647,0.0,1489,1544.5206178813926,1375.5105344976364,0.9176396082591594
108,250825_mACmChPOLR2A_ARMC5,H11,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,480,Scrambled,Total Pol II (F12),Goat anti-mouse Alexa647,0.0,1516,1620.8639490712956,1451.8538656875394,0.9685702720158623
109,250825_mACmChPOLR2A_ARMC5,H12,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,240,Scrambled,Total Pol II (F12),Goat anti-mouse Alexa647,0.0,1864,1561.1543215726024,1392.1442381888464,0.9287363937481019
110,250825_mACmChPOLR2A_ARMC5,H13,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,120,Scrambled,Total Pol II (F12),Goat anti-mouse Alexa647,0.0,1592,1618.8250424692617,1449.8149590855055,0.9672100632725315
111,250825_mACmChPOLR2A_ARMC5,H14,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,60,Scrambled,Total Pol II (F12),Goat anti-mouse Alexa647,0.0,1691,1697.3394158276526,1528.3293324438964,1.0195890869181923
112,250825_mACmChPOLR2A_ARMC5,H15,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,30,Scrambled,Total Pol II (F12),Goat anti-mouse Alexa647,0.0,1336,1582.4528567947916,1413.4427734110354,0.9429452122395731
113,250825_mACmChPOLR2A_ARMC5,H16,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,1440,Scrambled,Total Pol II (F12),Goat anti-mouse Alexa647,0.0,1448,1627.9133467582503,1458.9032633744941,0.9732731124301546
114,250825_mACmChPOLR2A_ARMC5,H17,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,480,Scrambled,Total Pol II (F12),Goat anti-mouse Alexa647,0.0,1602,1551.2624489246512,1382.252365540895,0.9221372627971123
115,250825_mACmChPOLR2A_ARMC5,H18,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,240,Scrambled,Total Pol II (F12),Goat anti-mouse Alexa647,0.0,1042,1851.446026406649,1682.4359430228928,1.1223976995861458
116,250825_mACmChPOLR2A_ARMC5,H19,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,120,Scrambled,Total Pol II (F12),Goat anti-mouse Alexa647,0.0,1573,1637.0884129372325,1468.0783295534766,0.9793940427488076
117,250825_mACmChPOLR2A_ARMC5,H20,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,60,Scrambled,Total Pol II (F12),Goat anti-mouse Alexa647,0.0,1541,1667.7403378367142,1498.730254452958,0.9998427559005553
118,250825_mACmChPOLR2A_ARMC5,H21,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,30,Scrambled,Total Pol II (F12),Goat anti-mouse Alexa647,0.0,1639,1527.8006437681847,1358.7905603844288,0.9064852694805395
121,250825_mACmChPOLR2A_ARMC5,I04,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,1440,ARMC5 pool,Total Pol II (F12),Goat anti-mouse Alexa647,0.0,2032,2620.3032310330136,2451.2931476492577,1.6353227600388776
122,250825_mACmChPOLR2A_ARMC5,I05,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,480,ARMC5 pool,Total Pol II (F12),Goat anti-mouse Alexa647,0.0,1175,2795.57724023363,2626.567156849874,1.7522527064893476
123,250825_mACmChPOLR2A_ARMC5,I06,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,240,ARMC5 pool,Total Pol II (F12),Goat anti-mouse Alexa647,0.0,1677,2439.7311626175574,2270.7210792338014,1.5148583375807667
124,250825_mACmChPOLR2A_ARMC5,I07,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,120,ARMC5 pool,Total Pol II (F12),Goat anti-mouse Alexa647,0.0,1274,2796.647851226233,2627.637767842477,1.7529669395157117
125,250825_mACmChPOLR2A_ARMC5,I08,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,60,ARMC5 pool,Total Pol II (F12),Goat anti-mouse Alexa647,0.0,1327,2570.4532928031417,2401.4432094193858,1.6020665423351654
126,250825_mACmChPOLR2A_ARMC5,I09,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,30,ARMC5 pool,Total Pol II (F12),Goat anti-mouse Alexa647,0.0,1700,2179.798367399913,2010.788284016157,1.3414502666172523
127,250825_mACmChPOLR2A_ARMC5,I10,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,1440,ARMC5 pool,Total Pol II (F12),Goat anti-mouse Alexa647,0.0,1722,2486.4876620918108,2317.477578708055,1.5460508401353132
128,250825_mACmChPOLR2A_ARMC5,I11,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,480,ARMC5 pool,Total Pol II (F12),Goat anti-mouse Alexa647,0.0,1204,2728.883922894079,2559.8738395103233,1.7077598232564897
129,250825_mACmChPOLR2A_ARMC5,I12,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,240,ARMC5 pool,Total Pol II (F12),Goat anti-mouse Alexa647,0.0,1474,2660.352289646105,2491.342206262349,1.6620405506592797
130,250825_mACmChPOLR2A_ARMC5,I13,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,120,ARMC5 pool,Total Pol II (F12),Goat anti-mouse Alexa647,0.0,1346,2834.373421715099,2665.363338331343,1.7781346695014366
131,250825_mACmChPOLR2A_ARMC5,I14,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,60,ARMC5 pool,Total Pol II (F12),Goat anti-mouse Alexa647,0.0,1406,1889.6537153693005,1720.6436319855443,1.1478870636097955
