,WELL,IF_647_Intensity,RFP_561_Intensity,GFP_488_Intensity,DAPI_Intensity,NucleusArea,CELL,DRUG,DRUG_TIME_MINUTES,SIRNA,PRIMARY,SECONDARY,TotalNumberCells,EXPERIMENT,GFP_Intensity_BGS,GFP_Intensity_FC,RFP_Intensity_BGS,RFP_Intensity_FC,TIME_IN_AUXIN
86,G09,1703.0022963434342,266.0260838091273,542.0287921824753,457.0235686555819,1516.2643198090693,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,30,ARMC5 pool,Total Pol II (F12),Goat anti-mouse Alexa647,1676,250825_mACmChPOLR2A_ARMC5,284.6535418622334,0.9134367715501276,114.7687787623916,1.4316032379929746,0.5
87,G10,1744.7971603655433,300.0914703219115,291.3111640939106,456.600347369189,1615.3566878980891,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,1440,ARMC5 pool,Total Pol II (F12),Goat anti-mouse Alexa647,1413,250825_mACmChPOLR2A_ARMC5,33.93591377366869,0.10889838683976746,148.83416527517585,1.856528188498459,24.0
88,G11,1860.0100533027994,284.2284900313346,305.62961329464207,472.36999360932066,1514.4596825396825,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,480,ARMC5 pool,Total Pol II (F12),Goat anti-mouse Alexa647,1575,250825_mACmChPOLR2A_ARMC5,48.25436297440018,0.1548454631556162,132.97118498459895,1.6586564833788584,8.0
89,G12,1835.4444918914062,283.6602858655719,315.45953224573356,472.92080710144825,1512.4349698535746,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,240,ARMC5 pool,Total Pol II (F12),Goat anti-mouse Alexa647,1161,250825_mACmChPOLR2A_ARMC5,58.084281925491666,0.1863891052004079,132.40298081883623,1.6515688160505242,4.0
90,G13,1663.223183716509,267.4925469169082,321.8661646703772,460.486409439572,1557.4002199010445,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,120,ARMC5 pool,Total Pol II (F12),Goat anti-mouse Alexa647,1819,250825_mACmChPOLR2A_ARMC5,64.49091435013531,0.20694761854329521,116.23524187017256,1.4498956111987824,2.0
91,G14,1756.0783011999415,274.57891721766936,421.5997656500287,467.841758790474,1496.5817469204928,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,60,ARMC5 pool,Total Pol II (F12),Goat anti-mouse Alexa647,1786,250825_mACmChPOLR2A_ARMC5,164.2245153297868,0.5269869825291902,123.32161217093369,1.5382896045616468,1.0
92,G15,1900.4911370048244,275.6001451620982,574.8510978787747,489.09185247753135,1505.418449197861,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,30,ARMC5 pool,Total Pol II (F12),Goat anti-mouse Alexa647,1496,250825_mACmChPOLR2A_ARMC5,317.4758475585328,1.0187616544021714,124.34284011536255,1.5510282016586854,0.5
93,G16,1941.498714126438,303.4382153447315,297.45018083524155,475.39249442151834,1599.5421686746988,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,1440,ARMC5 pool,Total Pol II (F12),Goat anti-mouse Alexa647,1660,250825_mACmChPOLR2A_ARMC5,40.074930514999664,0.12859813691492206,152.1809102979958,1.8982748295542575,24.0
94,G17,1805.2381549467086,289.2988592816114,308.35436820855693,472.48420958165303,1537.4165212332753,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,480,ARMC5 pool,Total Pol II (F12),Goat anti-mouse Alexa647,1719,250825_mACmChPOLR2A_ARMC5,50.979117888315045,0.16358904426670706,138.04155423487572,1.7219032750132297,8.0
95,G18,1733.2690522674081,283.66755856065174,317.56744008294135,461.9202315362969,1505.5353159851302,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,240,ARMC5 pool,Total Pol II (F12),Goat anti-mouse Alexa647,1614,250825_mACmChPOLR2A_ARMC5,60.192189762699456,0.1931532596772778,132.41025351391608,1.6516595342226397,4.0
