,EXPERIMENT,WELL,CELL,EU,DRUG,DRUG TIME HOURS,TIME_HOURS,TIME_IN_AUXIN_HRS,PRIMARY,SECONDARY,TotalNumberCells,IF_Intensity_BGS,IF_Intensity_FC
66,250128_ARMC5mAC_TotalPolII,F09,HCT116 OsTIRF74G,"EU 1 mM, 30 mins",10 µM 5PhIAA,24,24,24.0,Total Pol II F12,Goat anti-mouse Alexa647,4453,372.0079625430376,0.8277514809836087
67,250128_ARMC5mAC_TotalPolII,F10,HCT116 OsTIRF74G ARMC5mAC Clone 5A1,"EU 1 mM, 30 mins",Vehicle,24,24,0.0,Total Pol II F12,Goat anti-mouse Alexa647,1793,538.0296134542798,1.1971647227800817
68,250128_ARMC5mAC_TotalPolII,F11,HCT116 OsTIRF74G ARMC5mAC Clone 5F9,"EU 1 mM, 30 mins",Vehicle,24,24,0.0,Total Pol II F12,Goat anti-mouse Alexa647,2683,437.64677267582624,0.9738037910632135
69,250128_ARMC5mAC_TotalPolII,F12,HCT116 OsTIRF74G,"EU 1 mM, 30 mins",Vehicle,24,24,0.0,Total Pol II F12,Goat anti-mouse Alexa647,4173,405.87292363378424,0.9031040930747406
70,250128_ARMC5mAC_TotalPolII,F13,HCT116 OsTIRF74G ARMC5mAC Clone 5A1,"EU 1 mM, 30 mins",10 µM 5PhIAA,24,24,24.0,Total Pol II F12,Goat anti-mouse Alexa647,2113,799.8494793200856,1.7797376877237503
71,250128_ARMC5mAC_TotalPolII,F14,HCT116 OsTIRF74G ARMC5mAC Clone 5F9,"EU 1 mM, 30 mins",10 µM 5PhIAA,24,24,24.0,Total Pol II F12,Goat anti-mouse Alexa647,2524,784.2714487303928,1.7450751557626651
72,250128_ARMC5mAC_TotalPolII,F15,HCT116 OsTIRF74G,"EU 1 mM, 30 mins",10 µM 5PhIAA,24,24,24.0,Total Pol II F12,Goat anti-mouse Alexa647,4118,370.98561215687994,0.8254766585834612
73,250128_ARMC5mAC_TotalPolII,F16,HCT116 OsTIRF74G ARMC5mAC Clone 5A1,"EU 1 mM, 30 mins",Vehicle,24,24,0.0,Total Pol II F12,Goat anti-mouse Alexa647,1584,760.200823626305,1.6915158301990225
74,250128_ARMC5mAC_TotalPolII,F17,HCT116 OsTIRF74G ARMC5mAC Clone 5F9,"EU 1 mM, 30 mins",Vehicle,24,24,0.0,Total Pol II F12,Goat anti-mouse Alexa647,2668,432.83365008465466,0.9630941564474301
75,250128_ARMC5mAC_TotalPolII,F18,HCT116 OsTIRF74G,"EU 1 mM, 30 mins",Vehicle,24,24,0.0,Total Pol II F12,Goat anti-mouse Alexa647,3888,383.50637078430213,0.8533364829432368
76,250128_ARMC5mAC_TotalPolII,F19,HCT116 OsTIRF74G ARMC5mAC Clone 5A1,"EU 1 mM, 30 mins",10 µM 5PhIAA,24,24,24.0,Total Pol II F12,Goat anti-mouse Alexa647,2109,755.4128075268895,1.6808620598061212
77,250128_ARMC5mAC_TotalPolII,F20,HCT116 OsTIRF74G ARMC5mAC Clone 5F9,"EU 1 mM, 30 mins",10 µM 5PhIAA,24,24,24.0,Total Pol II F12,Goat anti-mouse Alexa647,2410,742.4322621979172,1.6519791683040648
78,250128_ARMC5mAC_TotalPolII,F21,HCT116 OsTIRF74G,"EU 1 mM, 30 mins",10 µM 5PhIAA,24,24,24.0,Total Pol II F12,Goat anti-mouse Alexa647,4020,387.6272691602535,0.8625058558522429
79,250128_ARMC5mAC_TotalPolII,F22,HCT116 OsTIRF74G,"EU 1 mM, 30 mins",No addition,No addition,No addition,0.0,Total Pol II F12,Goat anti-mouse Alexa647,4850,357.0130435164475,0.7943864251750162
80,250128_ARMC5mAC_TotalPolII,G03,HCT116 OsTIRF74G,"EU 1 mM, 30 mins",No addition,No addition,No addition,0.0,Total Pol II F12,Goat anti-mouse Alexa647,3075,343.9574675218388,0.7653365836319574
81,250128_ARMC5mAC_TotalPolII,G04,HCT116 OsTIRF74G ARMC5mAC Clone 5A1,"EU 1 mM, 30 mins",Vehicle,8,8,0.0,Total Pol II F12,Goat anti-mouse Alexa647,1891,464.35633507007697,1.0332349916136785
82,250128_ARMC5mAC_TotalPolII,G05,HCT116 OsTIRF74G ARMC5mAC Clone 5F9,"EU 1 mM, 30 mins",Vehicle,8,8,0.0,Total Pol II F12,Goat anti-mouse Alexa647,2088,431.9988374324629,0.9612366225267264
83,250128_ARMC5mAC_TotalPolII,G06,HCT116 OsTIRF74G,"EU 1 mM, 30 mins",Vehicle,8,8,0.0,Total Pol II F12,Goat anti-mouse Alexa647,4554,331.77877573059095,0.7382378890294674
