,EXPERIMENT,WELL,CELL,DRUG,DRUG TIME HOURS,TIME_HOURS,TIME_IN_AUXIN_HRS,PRIMARY,SECONDARY,TotalNumberCells,IF_Intensity_BGS,IF_Intensity_FC
97,250210_ARMC5mAC_PhosphoPolII,H04,HCT116 OsTIRF74G ARMC5mAC Clone 5F9,Vehicle,0.5,0.5,0.0,pSer2 Pol II 3E10,Goat anti-rat Alexa647,1485,389.19282662406385,1.0642181400830149
100,250210_ARMC5mAC_PhosphoPolII,H07,HCT116 OsTIRF74G ARMC5mAC Clone 5A1,Vehicle,0.5,0.5,0.0,pSer2 Pol II 3E10,Goat anti-rat Alexa647,2444,345.31555651984297,0.9442390870586422
101,250210_ARMC5mAC_PhosphoPolII,H08,HCT116 OsTIRF74G ARMC5mAC Clone 5F9,Vehicle,0.5,0.5,0.0,pSer2 Pol II 3E10,Goat anti-rat Alexa647,1607,391.41598435771454,1.0702971955705975
104,250210_ARMC5mAC_PhosphoPolII,H11,HCT116 OsTIRF74G ARMC5mAC Clone 5A1,Vehicle,0.5,0.5,0.0,pSer2 Pol II 3E10,Goat anti-rat Alexa647,2141,334.4678714590096,0.9145769185141086
105,250210_ARMC5mAC_PhosphoPolII,H12,HCT116 OsTIRF74G ARMC5mAC Clone 5F9,Vehicle,0.5,0.5,0.0,pSer2 Pol II 3E10,Goat anti-rat Alexa647,1621,377.1304077229895,1.0312343743770673
116,250210_ARMC5mAC_PhosphoPolII,I03,HCT116 OsTIRF74G ARMC5mAC Clone 5A1,10 µM 5PhIAA,48.0,48.0,48.0,pSer2 Pol II 3E10,Goat anti-rat Alexa647,1689,402.24093972211205,1.0998972114915193
117,250210_ARMC5mAC_PhosphoPolII,I04,HCT116 OsTIRF74G ARMC5mAC Clone 5F9,10 µM 5PhIAA,48.0,48.0,48.0,pSer2 Pol II 3E10,Goat anti-rat Alexa647,1822,369.2873822779333,1.0097882186907914
118,250210_ARMC5mAC_PhosphoPolII,I05,HCT116 OsTIRF74G ARMC5mAC Clone 5A1,Vehicle,48.0,48.0,0.0,pSer2 Pol II 3E10,Goat anti-rat Alexa647,2245,321.1862324434388,0.8782592882715096
119,250210_ARMC5mAC_PhosphoPolII,I06,HCT116 OsTIRF74G ARMC5mAC Clone 5F9,Vehicle,48.0,48.0,0.0,pSer2 Pol II 3E10,Goat anti-rat Alexa647,1493,352.018258622355,0.9625671154217036
120,250210_ARMC5mAC_PhosphoPolII,I07,HCT116 OsTIRF74G ARMC5mAC Clone 5A1,10 µM 5PhIAA,48.0,48.0,48.0,pSer2 Pol II 3E10,Goat anti-rat Alexa647,2229,355.19638041792734,0.9712574473982184
