,WELL,Alexa647_Intensity,GFP_Intensity,DAPI_Intensity,NucleusArea,CELL,DRUG,DRUG TIME HOURS,PRIMARY,SECONDARY,TotalNumberCells,EXPERIMENT,GFP_Intensity_BGS,GFP_Intensity_FC,IF_Intensity_BGS,IF_Intensity_FC,TIME_HOURS,TIME_IN_AUXIN_HRS
96,H03,525.6487349223348,340.9827845385375,720.7165708695827,1507.2314049586778,HCT116 OsTIRF74G ARMC5mAC Clone 5A1,Vehicle,0.5,pSer2 Pol II 3E10,Goat anti-rat Alexa647,1331,250210_ARMC5mAC_PhosphoPolII,76.23846668695779,1.4966731334513799,407.31363170254207,1.1137681013315364,0.5,0.0
97,H04,507.5279298438566,350.85501216864,800.3868046482131,1354.4922558922558,HCT116 OsTIRF74G ARMC5mAC Clone 5F9,Vehicle,0.5,pSer2 Pol II 3E10,Goat anti-rat Alexa647,1485,250210_ARMC5mAC_PhosphoPolII,86.11069431706028,1.690479469063563,389.19282662406385,1.0642181400830149,0.5,0.0
100,H07,463.6506597396357,319.1006002588112,690.9928163167971,1578.8854337152209,HCT116 OsTIRF74G ARMC5mAC Clone 5A1,Vehicle,0.5,pSer2 Pol II 3E10,Goat anti-rat Alexa647,2444,250210_ARMC5mAC_PhosphoPolII,54.356282407231504,1.067093700182149,345.31555651984297,0.9442390870586422,0.5,0.0
101,H08,509.7510875775073,332.9792024329785,794.9680158464467,1369.0746733042938,HCT116 OsTIRF74G ARMC5mAC Clone 5F9,Vehicle,0.5,pSer2 Pol II 3E10,Goat anti-rat Alexa647,1607,250210_ARMC5mAC_PhosphoPolII,68.23488458139883,1.3395510554595944,391.41598435771454,1.0702971955705975,0.5,0.0
104,H11,452.80297467880234,321.94606099637167,701.876484368383,1530.315740308267,HCT116 OsTIRF74G ARMC5mAC Clone 5A1,Vehicle,0.5,pSer2 Pol II 3E10,Goat anti-rat Alexa647,2141,250210_ARMC5mAC_PhosphoPolII,57.201743144791976,1.122954275863507,334.4678714590096,0.9145769185141086,0.5,0.0
105,H12,495.46551094278226,342.4150057818575,793.741539146983,1356.3676742751388,HCT116 OsTIRF74G ARMC5mAC Clone 5F9,Vehicle,0.5,pSer2 Pol II 3E10,Goat anti-rat Alexa647,1621,250210_ARMC5mAC_PhosphoPolII,77.67068793027778,1.5247897411061093,377.1304077229895,1.0312343743770673,0.5,0.0
116,I03,520.5760429419048,269.33095690639703,758.9899832128663,1618.2622853759622,HCT116 OsTIRF74G ARMC5mAC Clone 5A1,10 µM 5PhIAA,48.0,pSer2 Pol II 3E10,Goat anti-rat Alexa647,1689,250210_ARMC5mAC_PhosphoPolII,4.58663905481734,0.09004246470972502,402.24093972211205,1.0998972114915193,48.0,48.0
117,I04,487.6224854977261,271.4265663221501,821.225927355911,1471.4072447859496,HCT116 OsTIRF74G ARMC5mAC Clone 5F9,10 µM 5PhIAA,48.0,pSer2 Pol II 3E10,Goat anti-rat Alexa647,1822,250210_ARMC5mAC_PhosphoPolII,6.682248470570414,0.13118235703788386,369.2873822779333,1.0097882186907914,48.0,48.0
118,I05,439.5213356632316,299.09315136827524,748.3533263063102,1527.3198218262805,HCT116 OsTIRF74G ARMC5mAC Clone 5A1,Vehicle,48.0,pSer2 Pol II 3E10,Goat anti-rat Alexa647,2245,250210_ARMC5mAC_PhosphoPolII,34.34883351669555,0.6743180775253853,321.1862324434388,0.8782592882715096,48.0,0.0
119,I06,470.35336184214776,319.82133689369454,829.5747210649034,1431.1373074346952,HCT116 OsTIRF74G ARMC5mAC Clone 5F9,Vehicle,48.0,pSer2 Pol II 3E10,Goat anti-rat Alexa647,1493,250210_ARMC5mAC_PhosphoPolII,55.07701904211484,1.0812428194470118,352.018258622355,0.9625671154217036,48.0,0.0
