,EXPERIMENT,WELL,CELL,EU,DRUG,DRUG TIME HOURS,TIME_HOURS,TIME_IN_AUXIN_HRS,PRIMARY,SECONDARY,TotalNumberCells,EU_Intensity_BGS,EU_Intensity_FC
94,250128_ARMC5mAC_TotalPolII,G17,HCT116 OsTIRF74G ARMC5mAC Clone 5F9,"EU 1 mM, 30 mins",Vehicle,8,8,0.0,Total Pol II F12,Goat anti-mouse Alexa647,2669,33.01771303572096,0.9318440159221133
95,250128_ARMC5mAC_TotalPolII,G18,HCT116 OsTIRF74G,"EU 1 mM, 30 mins",Vehicle,8,8,0.0,Total Pol II F12,Goat anti-mouse Alexa647,4285,30.56793643639594,0.8627050764093331
96,250128_ARMC5mAC_TotalPolII,G19,HCT116 OsTIRF74G ARMC5mAC Clone 5A1,"EU 1 mM, 30 mins",10 µM 5PhIAA,8,8,8.0,Total Pol II F12,Goat anti-mouse Alexa647,1998,37.46546710082376,1.0573709718737672
97,250128_ARMC5mAC_TotalPolII,G20,HCT116 OsTIRF74G ARMC5mAC Clone 5F9,"EU 1 mM, 30 mins",10 µM 5PhIAA,8,8,8.0,Total Pol II F12,Goat anti-mouse Alexa647,2083,29.883002191017965,0.8433744862753318
98,250128_ARMC5mAC_TotalPolII,G21,HCT116 OsTIRF74G,"EU 1 mM, 30 mins",10 µM 5PhIAA,8,8,8.0,Total Pol II F12,Goat anti-mouse Alexa647,3296,28.882483636856676,0.8151373026004485
99,250128_ARMC5mAC_TotalPolII,G22,HCT116 OsTIRF74G,"EU 1 mM, 30 mins",No addition,No addition,No addition,0.0,Total Pol II F12,Goat anti-mouse Alexa647,4345,23.47535822882986,0.6625344421491786
100,250128_ARMC5mAC_TotalPolII,H03,HCT116 OsTIRF74G,"EU 1 mM, 30 mins",No addition,No addition,No addition,0.0,Total Pol II F12,Goat anti-mouse Alexa647,3548,22.67232335930234,0.6398707513921462
101,250128_ARMC5mAC_TotalPolII,H04,HCT116 OsTIRF74G ARMC5mAC Clone 5A1,"EU 1 mM, 30 mins",Vehicle,2,2,0.0,Total Pol II F12,Goat anti-mouse Alexa647,1540,35.74344156532635,1.008771022241208
102,250128_ARMC5mAC_TotalPolII,H05,HCT116 OsTIRF74G ARMC5mAC Clone 5F9,"EU 1 mM, 30 mins",Vehicle,2,2,0.0,Total Pol II F12,Goat anti-mouse Alexa647,2267,28.284027445808164,0.7982473435709794
103,250128_ARMC5mAC_TotalPolII,H06,HCT116 OsTIRF74G,"EU 1 mM, 30 mins",Vehicle,2,2,0.0,Total Pol II F12,Goat anti-mouse Alexa647,4300,31.155898062267056,0.879298852061423
