WELL,CELL,SIRNA,PRIMARY,SECONDARY,FISH
M06,HCT116,No transfection,No primary,No secondary,No probes
M07,HCT116,No transfection,No primary,No secondary,No probes
M08,HCT116,No transfection,No primary,No secondary,No probes
M09,HCT116,No transfection,No primary,No secondary,No probes
M10,HCT116,No transfection,No primary,No secondary,No probes
M11,HCT116,No transfection,No primary,No secondary,No probes
M12,HCT116,No transfection,No primary,No secondary,No probes
M13,HCT116,No transfection,No primary,No secondary,No probes
M14,HCT116,No transfection,No primary,No secondary,No probes
M15,HCT116,No transfection,No primary,No secondary,No probes
M16,HCT116,No transfection,No primary,No secondary,No probes
M17,HCT116,No transfection,No primary,No secondary,No probes
M18,HCT116,No transfection,No primary,No secondary,No probes
M19,HCT116,No transfection,No primary,No secondary,No probes
M20,HCT116,No transfection,No primary,No secondary,No probes
M21,HCT116,No transfection,No primary,No secondary,No probes
M22,HCT116,No transfection,No primary,No secondary,No probes
N03,HCT116,No transfection,No primary,No secondary,No probes
N04,HCT116,No transfection,No primary,No secondary,No probes
N05,HCT116,No transfection,No primary,No secondary,No probes
N06,HCT116,No transfection,No primary,No secondary,No probes
N07,HCT116,No transfection,No primary,No secondary,No probes
N08,HCT116,No transfection,No primary,No secondary,No probes
N09,HCT116,No transfection,No primary,No secondary,No probes
N10,HCT116,No transfection,No primary,No secondary,No probes
N11,HCT116,No transfection,No primary,No secondary,No probes
N12,HCT116,No transfection,No primary,No secondary,No probes
N13,HCT116,No transfection,No primary,No secondary,No probes
N14,HCT116,No transfection,No primary,No secondary,No probes
N15,HCT116,No transfection,No primary,No secondary,No probes
N16,HCT116,No transfection,No primary,No secondary,No probes
N17,HCT116,No transfection,No primary,No secondary,No probes
N18,HCT116,No transfection,No primary,No secondary,No probes
N19,HCT116,No transfection,No primary,No secondary,No probes
N20,HCT116,No transfection,No primary,No secondary,No probes
N21,HCT116,No transfection,No primary,No secondary,No probes
N22,HCT116,No transfection,No primary,No secondary,No probes
