,WELL,IF_647_Intensity,RFP_561_Intensity,GFP_488_Intensity,DAPI_Intensity,NucleusArea,CELL,DRUG,DRUG TIME MINUTES,PRIMARY,SECONDARY,TotalNumberCells,EXPERIMENT
43,E06,628.4829255061153,238.36391608750367,235.245203611414,538.1420228808608,1625.530668777206,HCT116 mChPOLR2A Clone 2,Vehicle,480,Santa Cruz mouse anti-RPB1 (F12),Alexa647 goat anti-mouse,2527,241102_mACmChPOLR2A_TotalPolII
44,E07,379.84281355451384,158.15276496279105,365.2551924974226,584.451135270787,1873.858529819695,HCT116 OsTIRF74G mAC-POLR2A-delHyg Clone 5,10 µM 5PhIAA,480,Santa Cruz mouse anti-RPB1 (F12),Alexa647 goat anti-mouse,721,241102_mACmChPOLR2A_TotalPolII
45,E08,641.7495190280688,222.38182744812482,256.89619611296234,595.0231324450804,1718.8720864127345,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,480,Santa Cruz mouse anti-RPB1 (F12),Alexa647 goat anti-mouse,1759,241102_mACmChPOLR2A_TotalPolII
46,E09,632.3005035592594,239.67314760070784,233.26164661563982,551.2781447263715,1595.0677578987438,HCT116 mChPOLR2A Clone 2,10 µM 5PhIAA,480,Santa Cruz mouse anti-RPB1 (F12),Alexa647 goat anti-mouse,2627,241102_mACmChPOLR2A_TotalPolII
47,E10,764.3717163464329,158.63120190201815,832.4419249941138,618.6679220486377,1649.2327586206898,HCT116 OsTIRF74G mAC-POLR2A-delHyg Clone 5,Vehicle,480,Santa Cruz mouse anti-RPB1 (F12),Alexa647 goat anti-mouse,812,241102_mACmChPOLR2A_TotalPolII
48,E11,675.4349016666591,200.58555876254167,458.5348702413857,546.4207351625487,1802.0296430732003,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,480,Santa Cruz mouse anti-RPB1 (F12),Alexa647 goat anti-mouse,1653,241102_mACmChPOLR2A_TotalPolII
49,E12,627.6513145657922,238.6680496416503,233.98669617325027,535.929851786698,1593.0241008527994,HCT116 mChPOLR2A Clone 2,Vehicle,480,Santa Cruz mouse anti-RPB1 (F12),Alexa647 goat anti-mouse,2697,241102_mACmChPOLR2A_TotalPolII
50,E13,361.9946893062739,156.54583875970894,359.3416481967564,584.330704263414,1687.203026481715,HCT116 OsTIRF74G mAC-POLR2A-delHyg Clone 5,10 µM 5PhIAA,480,Santa Cruz mouse anti-RPB1 (F12),Alexa647 goat anti-mouse,793,241102_mACmChPOLR2A_TotalPolII
51,E14,621.9834068631496,215.8645500386828,255.89596498558663,528.7202137777618,1752.4463087248323,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,480,Santa Cruz mouse anti-RPB1 (F12),Alexa647 goat anti-mouse,1788,241102_mACmChPOLR2A_TotalPolII
52,E15,643.2490513247094,241.3523675454115,235.5436281809178,555.7602829930402,1585.053882725832,HCT116 mChPOLR2A Clone 2,10 µM 5PhIAA,480,Santa Cruz mouse anti-RPB1 (F12),Alexa647 goat anti-mouse,1893,241102_mACmChPOLR2A_TotalPolII
53,E16,643.5544071027912,155.592606553301,792.8803538927717,578.8747571723916,1794.1647183846972,HCT116 OsTIRF74G mAC-POLR2A-delHyg Clone 5,Vehicle,480,Santa Cruz mouse anti-RPB1 (F12),Alexa647 goat anti-mouse,941,241102_mACmChPOLR2A_TotalPolII
54,E17,656.8348665077735,199.27931919963123,454.8654097171096,540.6307262882569,1733.6666666666667,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,480,Santa Cruz mouse anti-RPB1 (F12),Alexa647 goat anti-mouse,1740,241102_mACmChPOLR2A_TotalPolII
55,E18,615.9972753839502,238.74557422318546,235.50664189662567,540.8706096346531,1633.5736719011027,HCT116 mChPOLR2A Clone 2,Vehicle,480,Santa Cruz mouse anti-RPB1 (F12),Alexa647 goat anti-mouse,2993,241102_mACmChPOLR2A_TotalPolII
56,E19,370.7822734233046,159.190101276608,376.51876125825964,595.992799463814,1707.4056720098645,HCT116 OsTIRF74G mAC-POLR2A-delHyg Clone 5,10 µM 5PhIAA,480,Santa Cruz mouse anti-RPB1 (F12),Alexa647 goat anti-mouse,811,241102_mACmChPOLR2A_TotalPolII
57,E20,628.7681968578424,224.1156366476689,264.57021350514384,572.4448759378726,1723.4858956276446,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,480,Santa Cruz mouse anti-RPB1 (F12),Alexa647 goat anti-mouse,1418,241102_mACmChPOLR2A_TotalPolII
58,E21,617.3605804859311,236.55435340893553,233.89224191793562,549.8094386868244,1576.4034307496822,HCT116 mChPOLR2A Clone 2,10 µM 5PhIAA,480,Santa Cruz mouse anti-RPB1 (F12),Alexa647 goat anti-mouse,1574,241102_mACmChPOLR2A_TotalPolII
59,E22,589.0430535104872,151.61827839416347,235.181616346716,492.15813958179996,1555.4711600777705,HCT116 OsTIRF74G,Vehicle,1440,Santa Cruz mouse anti-RPB1 (F12),Alexa647 goat anti-mouse,3086,241102_mACmChPOLR2A_TotalPolII
60,F03,584.891440587763,154.19877414562197,241.59508171993443,512.2338664263953,1644.9838837516513,HCT116 OsTIRF74G,Vehicle,1440,Santa Cruz mouse anti-RPB1 (F12),Alexa647 goat anti-mouse,3785,241102_mACmChPOLR2A_TotalPolII
61,F04,695.8023455439537,158.6710404374304,830.2647857381315,573.2762786807424,1839.937659033079,HCT116 OsTIRF74G mAC-POLR2A-delHyg Clone 5,Vehicle,240,Santa Cruz mouse anti-RPB1 (F12),Alexa647 goat anti-mouse,786,241102_mACmChPOLR2A_TotalPolII
62,F05,660.0640506644035,202.3171945461267,467.9857242236868,531.7718435572472,1768.6743002544529,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,240,Santa Cruz mouse anti-RPB1 (F12),Alexa647 goat anti-mouse,1965,241102_mACmChPOLR2A_TotalPolII
63,F06,579.1169392304216,234.05411994324123,236.2335413433522,509.38960951328164,1655.7985401459855,HCT116 mChPOLR2A Clone 2,Vehicle,240,Santa Cruz mouse anti-RPB1 (F12),Alexa647 goat anti-mouse,2740,241102_mACmChPOLR2A_TotalPolII
64,F07,452.1620943866964,158.18677740583774,373.6796774668566,557.7439287457906,1681.6156914893618,HCT116 OsTIRF74G mAC-POLR2A-delHyg Clone 5,10 µM 5PhIAA,240,Santa Cruz mouse anti-RPB1 (F12),Alexa647 goat anti-mouse,752,241102_mACmChPOLR2A_TotalPolII
65,F08,552.4947495533175,208.07281270571588,258.36504708481635,536.9764248572644,1676.9600647598488,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,240,Santa Cruz mouse anti-RPB1 (F12),Alexa647 goat anti-mouse,1853,241102_mACmChPOLR2A_TotalPolII
66,F09,607.5425882737792,238.2548569978564,234.0605755068413,525.5240439556874,1610.2243788819876,HCT116 mChPOLR2A Clone 2,10 µM 5PhIAA,240,Santa Cruz mouse anti-RPB1 (F12),Alexa647 goat anti-mouse,2576,241102_mACmChPOLR2A_TotalPolII
67,F10,668.0355793113713,156.11500933839875,812.5017361174632,564.1517322707381,1759.9760705289673,HCT116 OsTIRF74G mAC-POLR2A-delHyg Clone 5,Vehicle,240,Santa Cruz mouse anti-RPB1 (F12),Alexa647 goat anti-mouse,794,241102_mACmChPOLR2A_TotalPolII
68,F11,669.4073016143236,201.37851527480188,465.8473826805897,548.0179190154573,1747.653947368421,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,240,Santa Cruz mouse anti-RPB1 (F12),Alexa647 goat anti-mouse,1520,241102_mACmChPOLR2A_TotalPolII
69,F12,575.7252654746658,235.3818436914111,235.2220417232359,497.6149934169866,1644.2036973639165,HCT116 mChPOLR2A Clone 2,Vehicle,240,Santa Cruz mouse anti-RPB1 (F12),Alexa647 goat anti-mouse,2921,241102_mACmChPOLR2A_TotalPolII
70,F13,319.4386784340692,155.51575647293802,347.8842303665539,571.1195165269775,1637.1046643913537,HCT116 OsTIRF74G mAC-POLR2A-delHyg Clone 5,10 µM 5PhIAA,240,Santa Cruz mouse anti-RPB1 (F12),Alexa647 goat anti-mouse,879,241102_mACmChPOLR2A_TotalPolII
71,F14,564.5099668344013,211.0182585983078,262.8026418290046,528.4582047760985,1818.530392684239,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,240,Santa Cruz mouse anti-RPB1 (F12),Alexa647 goat anti-mouse,1859,241102_mACmChPOLR2A_TotalPolII
72,F15,560.4008625202733,234.62247930885997,232.90155378763043,508.0874202761561,1654.2774641771603,HCT116 mChPOLR2A Clone 2,10 µM 5PhIAA,240,Santa Cruz mouse anti-RPB1 (F12),Alexa647 goat anti-mouse,2303,241102_mACmChPOLR2A_TotalPolII
73,F16,675.7260804248617,156.55511613748777,827.6490801256014,550.6904232638415,1873.0131578947369,HCT116 OsTIRF74G mAC-POLR2A-delHyg Clone 5,Vehicle,240,Santa Cruz mouse anti-RPB1 (F12),Alexa647 goat anti-mouse,760,241102_mACmChPOLR2A_TotalPolII
74,F17,653.6854914926585,203.26705842944193,472.09756778955546,539.3106845847032,1793.6591796875,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,240,Santa Cruz mouse anti-RPB1 (F12),Alexa647 goat anti-mouse,2048,241102_mACmChPOLR2A_TotalPolII
75,F18,604.9239126008285,235.67520213220516,236.28313280943618,513.1062630216609,1607.0147540983608,HCT116 mChPOLR2A Clone 2,Vehicle,240,Santa Cruz mouse anti-RPB1 (F12),Alexa647 goat anti-mouse,1830,241102_mACmChPOLR2A_TotalPolII
