,WELL,IF_561_Intensity,GFP_488_Intensity,DAPI_Intensity,NucleusArea,CELL,DRUG,DRUG_CONCENTRATION,TIME_MINUTES,PRIMARY,SECONDARY,TotalNumberCells,EXPERIMENT,ROW,COLUMN
55,E18,711.4820593752742,447.76700304625206,316.9479480074408,2040.5169154228856,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,1000,480,Total Pol II (F12),Goat anti-mouse Alexa647,2010,250912_mACPOLR2A_Kinetic_pSer2,E,18
56,E19,630.4350186429656,424.2968756342021,323.43163798962144,1939.8189894503055,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,1000,240,Total Pol II (F12),Goat anti-mouse Alexa647,1801,250912_mACPOLR2A_Kinetic_pSer2,E,19
57,E20,673.1747832548548,482.7228299295194,317.87816688921464,1960.8814460393407,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,1000,120,Total Pol II (F12),Goat anti-mouse Alexa647,1881,250912_mACPOLR2A_Kinetic_pSer2,E,20
58,E21,818.4680399035758,581.9799590573833,318.0612426619756,2219.8402555910543,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,1000,60,Total Pol II (F12),Goat anti-mouse Alexa647,1565,250912_mACPOLR2A_Kinetic_pSer2,E,21
59,E22,1377.0218477123185,272.55527371120985,318.64122379507756,1704.0637779941578,HCT116 OsTIRF74G,Vehicle,0,480,Total Pol II (F12),Goat anti-mouse Alexa647,2054,250912_mACPOLR2A_Kinetic_pSer2,E,22
60,F03,1804.4000756639684,269.31560458643065,304.8502820633039,1670.1302305721606,HCT116 OsTIRF74G,Vehicle,0,480,pSer2 Pol II (3E10),Goat anti-rat Alexa647,2342,250912_mACPOLR2A_Kinetic_pSer2,F,03
61,F04,1443.8393469316836,503.2669878594353,304.2385535879544,2085.846629213483,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,100,480,pSer2 Pol II (3E10),Goat anti-rat Alexa647,1780,250912_mACPOLR2A_Kinetic_pSer2,F,04
62,F05,1389.412182444957,477.8091712751921,303.17346034317603,2094.752582644628,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,100,240,pSer2 Pol II (3E10),Goat anti-rat Alexa647,1936,250912_mACPOLR2A_Kinetic_pSer2,F,05
63,F06,1477.960843530352,528.3117495806916,307.62436293718537,1969.5941597139451,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,100,120,pSer2 Pol II (3E10),Goat anti-rat Alexa647,1678,250912_mACPOLR2A_Kinetic_pSer2,F,06
64,F07,1477.1475002862046,631.634300564384,307.4210733970059,2031.596241979835,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,100,60,pSer2 Pol II (3E10),Goat anti-rat Alexa647,2182,250912_mACPOLR2A_Kinetic_pSer2,F,07
65,F08,1409.9593086231064,499.7042135014776,311.44847965779473,2050.241395793499,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,100,480,pSer2 Pol II (3E10),Goat anti-rat Alexa647,2092,250912_mACPOLR2A_Kinetic_pSer2,F,08
66,F09,1381.0445861666517,491.3346569788972,308.8217094372404,2052.136385776912,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,100,240,pSer2 Pol II (3E10),Goat anti-rat Alexa647,2053,250912_mACPOLR2A_Kinetic_pSer2,F,09
67,F10,1495.5844502026723,531.194441588848,314.1056509425951,2068.842570754717,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,100,120,pSer2 Pol II (3E10),Goat anti-rat Alexa647,1696,250912_mACPOLR2A_Kinetic_pSer2,F,10
68,F11,1646.1051459343953,635.9014723546873,320.3675253691594,2031.5579975579976,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,100,60,pSer2 Pol II (3E10),Goat anti-rat Alexa647,1638,250912_mACPOLR2A_Kinetic_pSer2,F,11
