WELL,CELL,DRUG,DRUG_CONCENTRATION,TIME_MINUTES,EU,PRIMARY,SECONDARY,CLICK
H11,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,100,240,"EU 1 mM, 30 mins",Total Pol II (F12),Goat anti-mouse Alexa568,AF647 azide click
H12,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,30,240,"EU 1 mM, 30 mins",Total Pol II (F12),Goat anti-mouse Alexa568,AF647 azide click
H13,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,10,240,"EU 1 mM, 30 mins",Total Pol II (F12),Goat anti-mouse Alexa568,AF647 azide click
H14,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,3,240,"EU 1 mM, 30 mins",Total Pol II (F12),Goat anti-mouse Alexa568,AF647 azide click
H15,HCT116 OsTIRF74G,Vehicle,0,240,"EU 1 mM, 30 mins",Total Pol II (F12),Goat anti-mouse Alexa568,AF647 azide click
H16,HCT116 OsTIRF74G,No addition,0,240,No addition,Total Pol II (D84LY),Goat anti-rabbit Alexa568,No click
H17,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,300,240,No addition,Total Pol II (D84LY),Goat anti-rabbit Alexa568,No click
H18,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,100,240,No addition,Total Pol II (D84LY),Goat anti-rabbit Alexa568,No click
H19,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,30,240,No addition,Total Pol II (D84LY),Goat anti-rabbit Alexa568,No click
H20,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,10,240,No addition,Total Pol II (D84LY),Goat anti-rabbit Alexa568,No click
H21,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,3,240,No addition,Total Pol II (D84LY),Goat anti-rabbit Alexa568,No click
H22,HCT116 OsTIRF74G,No addition,0,240,No addition,Total Pol II (D84LY),Goat anti-rabbit Alexa568,No click
I03,HCT116 OsTIRF74G,Vehicle,0,240,"EU 1 mM, 30 mins",Total Pol II (F12),Goat anti-mouse Alexa568,AF647 azide click
I04,HCT116 OsTIRF74G,Vehicle,0,240,"EU 1 mM, 30 mins",Total Pol II (F12),Goat anti-mouse Alexa568,AF647 azide click
I05,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,1000,240,"EU 1 mM, 30 mins",Total Pol II (F12),Goat anti-mouse Alexa568,AF647 azide click
I06,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,300,240,"EU 1 mM, 30 mins",Total Pol II (F12),Goat anti-mouse Alexa568,AF647 azide click
I07,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,100,240,"EU 1 mM, 30 mins",Total Pol II (F12),Goat anti-mouse Alexa568,AF647 azide click
I08,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,30,240,"EU 1 mM, 30 mins",Total Pol II (F12),Goat anti-mouse Alexa568,AF647 azide click
I09,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,10,240,"EU 1 mM, 30 mins",Total Pol II (F12),Goat anti-mouse Alexa568,AF647 azide click
I10,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,1000,240,"EU 1 mM, 30 mins",Total Pol II (F12),Goat anti-mouse Alexa568,AF647 azide click
I11,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,300,240,"EU 1 mM, 30 mins",Total Pol II (F12),Goat anti-mouse Alexa568,AF647 azide click
I12,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,100,240,"EU 1 mM, 30 mins",Total Pol II (F12),Goat anti-mouse Alexa568,AF647 azide click
I13,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,30,240,"EU 1 mM, 30 mins",Total Pol II (F12),Goat anti-mouse Alexa568,AF647 azide click
I14,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,10,240,"EU 1 mM, 30 mins",Total Pol II (F12),Goat anti-mouse Alexa568,AF647 azide click
I15,HCT116 OsTIRF74G,5PhIAA,1000,240,"EU 1 mM, 30 mins",Total Pol II (F12),Goat anti-mouse Alexa568,AF647 azide click
I16,HCT116 OsTIRF74G,No addition,0,240,No addition,Total Pol II (D84LY),Goat anti-rabbit Alexa568,No click
I17,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,1000,240,No addition,Total Pol II (D84LY),Goat anti-rabbit Alexa568,No click
I18,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,300,240,No addition,Total Pol II (D84LY),Goat anti-rabbit Alexa568,No click
