WELL,CELL,DRUG,PRIMARY,SECONDARY,SEEDING_DENSITY
M11,HCT116,No treatment,Total Pol II (F12),Goat anti-mouse Alexa488+,500
M12,HCT116,No treatment,Total Pol II (F12),Goat anti-mouse Alexa488+,500
M13,HCT116,No treatment,No primary,Goat anti-mouse Alexa488+,750
M14,HCT116,No treatment,pSer2 Pol II (3E10),Goat anti-rat Alexa488+,750
M15,HCT116,No treatment,pSer2 Pol II (3E10),Goat anti-rat Alexa488+,750
M16,HCT116,No treatment,pSer2 Pol II (3E10),Goat anti-rat Alexa488+,750
M17,HCT116,No treatment,pSer2 Pol II (3E10),Goat anti-rat Alexa488+,750
M18,HCT116,No treatment,Total Pol II (F12),Goat anti-mouse Alexa488+,750
M19,HCT116,No treatment,Total Pol II (F12),Goat anti-mouse Alexa488+,750
M20,HCT116,No treatment,Total Pol II (F12),Goat anti-mouse Alexa488+,750
M21,HCT116,No treatment,Total Pol II (F12),Goat anti-mouse Alexa488+,750
M22,HCT116,No treatment,No primary,No primary,750
N03,HCT116,No treatment,No primary,No primary,500
N04,HCT116,No treatment,pSer2 Pol II (3E10),Goat anti-rat Alexa488+,500
N05,HCT116,No treatment,pSer2 Pol II (3E10),Goat anti-rat Alexa488+,500
N06,HCT116,No treatment,pSer2 Pol II (3E10),Goat anti-rat Alexa488+,500
N07,HCT116,No treatment,No primary,Goat anti-rat Alexa488+,500
N08,HCT116,No treatment,No primary,Goat anti-rat Alexa488+,500
N09,HCT116,No treatment,Total Pol II (F12),Goat anti-mouse Alexa488+,500
N10,HCT116,No treatment,Total Pol II (F12),Goat anti-mouse Alexa488+,500
N11,HCT116,No treatment,Total Pol II (F12),Goat anti-mouse Alexa488+,500
N12,HCT116,No treatment,Total Pol II (F12),Goat anti-mouse Alexa488+,500
N13,HCT116,No treatment,No primary,Goat anti-mouse Alexa488+,750
N14,HCT116,No treatment,pSer2 Pol II (3E10),Goat anti-rat Alexa488+,750
N15,HCT116,No treatment,pSer2 Pol II (3E10),Goat anti-rat Alexa488+,750
N16,HCT116,No treatment,pSer2 Pol II (3E10),Goat anti-rat Alexa488+,750
N17,HCT116,No treatment,pSer2 Pol II (3E10),Goat anti-rat Alexa488+,750
N18,HCT116,No treatment,Total Pol II (F12),Goat anti-mouse Alexa488+,750
N19,HCT116,No treatment,Total Pol II (F12),Goat anti-mouse Alexa488+,750
N20,HCT116,No treatment,Total Pol II (F12),Goat anti-mouse Alexa488+,750
N21,HCT116,No treatment,Total Pol II (F12),Goat anti-mouse Alexa488+,750
N22,HCT116,No treatment,No primary,No primary,750
