,EXPERIMENT,WELL,CELL,DRUG,DRUG TIME MINUTES,PRIMARY,SECONDARY,TotalNumberCells,TIME_IN_AUXIN,GFP_488_Intensity,GFP_Intensity_BGS,GFP_Intensity_FC,RFP_561_Intensity,RFP_Intensity_BGS,RFP_Intensity_FC,IF_647_Intensity,IF_647_Intensity_BGS,IF_647_Intensity_FC
209,241021_mACmChPOLR2A_TotalPolII,M12,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,1440,Santa Cruz mouse anti-RPB1 (F12),Alexa647 goat anti-mouse,1015,24.0,205.43881497066684,11.305795195489452,0.06196585022499802,142.74380690442845,19.600232876761382,0.9050746561272777,261.8965554338493,127.64709997110256,0.8614479516800121
212,241021_mACmChPOLR2A_TotalPolII,M15,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,1440,Santa Cruz mouse anti-RPB1 (F12),Alexa647 goat anti-mouse,1291,0.0,272.65536930210396,78.52234952692658,0.4303725714084838,136.54558348784073,13.402009460173659,0.6188609686348508,273.0345613016293,138.78510583888257,0.936614660071908
21,241026_mACmChPOLR2A_TotalPolII,D04,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,30,Santa Cruz mouse anti-RPB1 (F12),Alexa647 goat anti-mouse,1907,0.0,502.65194248954657,261.0232334153011,0.40059574268229636,206.06109898827404,50.98071557495226,0.5688357239614386,650.4756754310346,511.285456477552,0.969312525977437
24,241026_mACmChPOLR2A_TotalPolII,D07,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,30,Santa Cruz mouse anti-RPB1 (F12),Alexa647 goat anti-mouse,374,0.5,356.94618636008505,115.31747728583957,0.17697922845078728,207.45656752856198,52.37618411524019,0.5844061675777714,541.387582390381,402.1973634368984,0.7624995730963098
27,241026_mACmChPOLR2A_TotalPolII,D10,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,30,Santa Cruz mouse anti-RPB1 (F12),Alexa647 goat anti-mouse,1663,0.0,516.6014322307352,274.97272315648974,0.42200420556046314,207.85729231129812,52.77690889797634,0.5888773988919314,708.4795972971665,569.2893783436839,1.079278352911
30,241026_mACmChPOLR2A_TotalPolII,D13,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,30,Santa Cruz mouse anti-RPB1 (F12),Alexa647 goat anti-mouse,1864,0.5,359.77913087809463,118.15042180384916,0.18132698515551005,209.14274135463447,54.06235794131268,0.6032202602844267,583.205938357952,444.01571940446945,0.8417802483856325
33,241026_mACmChPOLR2A_TotalPolII,D16,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,30,Santa Cruz mouse anti-RPB1 (F12),Alexa647 goat anti-mouse,1947,0.0,502.66113707718034,261.03242800293486,0.400609853735223,203.62543510153043,48.545051688208645,0.5416589255442886,678.5979354656346,539.407716512152,1.022627672271901
36,241026_mACmChPOLR2A_TotalPolII,D19,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,30,Santa Cruz mouse anti-RPB1 (F12),Alexa647 goat anti-mouse,1762,0.5,358.16523651133923,116.53652743709375,0.17885012053314706,204.7206242497174,49.640240836395606,0.5538788935254702,573.6626207432618,434.47240178977916,0.8236876991333411
41,241026_mACmChPOLR2A_TotalPolII,E04,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,60,Santa Cruz mouse anti-RPB1 (F12),Alexa647 goat anti-mouse,1924,0.0,511.6250026561731,269.9962935819276,0.4143668145311518,208.70774023944946,53.62735682612768,0.5983665784266956,684.0610913203645,544.8708723668819,1.0329849107465479
44,241026_mACmChPOLR2A_TotalPolII,E07,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,60,Santa Cruz mouse anti-RPB1 (F12),Alexa647 goat anti-mouse,2039,1.0,307.31506556661,65.6863564923645,0.10080970348446514,208.1105017016731,53.030118288351304,0.5917026740035766,551.2748874668096,412.08466851332696,0.7812442655911241
47,241026_mACmChPOLR2A_TotalPolII,E10,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,60,Santa Cruz mouse anti-RPB1 (F12),Alexa647 goat anti-mouse,1759,0.0,523.0118632868391,281.38315421259364,0.43184237726737706,209.54861307427916,54.46822966095738,0.6077489204037639,704.2952770000618,565.1050580465792,1.071345574801824
50,241026_mACmChPOLR2A_TotalPolII,E13,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,60,Santa Cruz mouse anti-RPB1 (F12),Alexa647 goat anti-mouse,2222,1.0,306.28191370473627,64.65320463049079,0.09922411191855117,208.02998872664236,52.949605313320575,0.5908043214417621,522.366768226818,383.17654927333535,0.726439260428605
53,241026_mACmChPOLR2A_TotalPolII,E16,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,60,Santa Cruz mouse anti-RPB1 (F12),Alexa647 goat anti-mouse,1837,0.0,537.0289577773307,295.4002487030852,0.45335459403136275,211.41530011426664,56.33491670094486,0.6285771544100048,697.5209916036422,558.3307726501596,1.0585026519177387
56,241026_mACmChPOLR2A_TotalPolII,E19,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,60,Santa Cruz mouse anti-RPB1 (F12),Alexa647 goat anti-mouse,1920,1.0,305.4295375040102,63.80082842976475,0.0979159591050762,209.0182461925265,53.93786277920472,0.6018311606048966,526.4407552835503,387.2505363300677,0.73416286499183
61,241026_mACmChPOLR2A_TotalPolII,F04,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,120,Santa Cruz mouse anti-RPB1 (F12),Alexa647 goat anti-mouse,2082,0.0,531.5893976148003,289.9606885405548,0.4450064304803164,209.21559624275957,54.13521282943779,0.6040331649791411,667.3157691567957,528.1255502033131,1.0012385539530264
64,241026_mACmChPOLR2A_TotalPolII,F07,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,120,Santa Cruz mouse anti-RPB1 (F12),Alexa647 goat anti-mouse,2385,2.0,283.9595123518471,42.3308032776016,0.06496563296474342,214.56885339180815,59.488469978486364,0.6637640626644399,551.7282563572842,412.5380374038016,0.7821037779024134
