,WELL,IF_647_Intensity,GFP_488_Intensity,DAPI_Intensity,NucleusArea,CELL,DRUG,DRUG TIME MINUTES,PRIMARY,SECONDARY,TotalNumberCells,EXPERIMENT,RFP_561_Intensity,GFP_Intensity_BGS,GFP_Intensity_FC,RFP_Intensity_BGS,RFP_Intensity_FC,IF_647_Intensity_BGS,IF_647_Intensity_FC,TIME_HOURS,TIME_IN_AUXIN
135,I18,249.38916322235016,201.85988234931398,933.3286439755367,1748.6726457399104,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,1440,Santa Cruz mouse anti-RPB1 (F12),Alexa647 goat anti-mouse,1338,241021_mACmChPOLR2A_TotalPolII,140.12008739792648,7.7268625741365895,0.04235010458787656,16.97651337025941,0.7839198695973089,115.13970775960343,0.7770397089240572,24.0,24.0
138,I21,275.9024234766489,271.59435860768156,962.6298857756457,1774.7584396099026,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,1440,Santa Cruz mouse anti-RPB1 (F12),Alexa647 goat anti-mouse,1333,241021_mACmChPOLR2A_TotalPolII,136.17102980830586,77.46133883250417,0.42455728565096973,13.027455780638789,0.6015653046068914,141.65296801390215,0.9559689109474114,24.0,0.0
146,J09,263.4237226260535,261.04387456252533,911.0571157310674,1827.948859166011,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,120,Santa Cruz mouse anti-RPB1 (F12),Alexa647 goat anti-mouse,1271,241021_mACmChPOLR2A_TotalPolII,137.04700771202113,66.91085478734794,0.3667312147873998,13.903433684354056,0.6420150995131645,129.17426716330678,0.8717542966725349,2.0,0.0
163,K06,238.30742841225873,227.56176432947208,888.6393362143631,1890.3986074847694,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,30,Santa Cruz mouse anti-RPB1 (F12),Alexa647 goat anti-mouse,1149,241021_mACmChPOLR2A_TotalPolII,136.09749033997218,33.428744554294695,0.18321936161443675,12.953916312305111,0.5981694924534143,104.05797294951199,0.7022527552417918,0.5,0.5
166,K09,269.70859346999896,272.51319553338817,919.5760940807581,1690.2806067172264,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,30,Santa Cruz mouse anti-RPB1 (F12),Alexa647 goat anti-mouse,923,241021_mACmChPOLR2A_TotalPolII,136.83086485165146,78.38017575821078,0.42959333223902835,13.687290823984384,0.6320343290675549,135.45913800725222,0.9141688060214813,0.5,0.0
169,K12,249.09079406642772,204.2568181669248,911.2688890596164,1783.7650316455697,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,240,Santa Cruz mouse anti-RPB1 (F12),Alexa647 goat anti-mouse,1264,241021_mACmChPOLR2A_TotalPolII,140.22693166098628,10.123798391747414,0.05548745258550013,17.08335763331921,0.7888535882554516,114.84133860368098,0.7750261144258502,4.0,4.0
172,K15,273.77096121984005,273.50651805095407,945.5692063361689,1721.9586497890296,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,240,Santa Cruz mouse anti-RPB1 (F12),Alexa647 goat anti-mouse,1185,241021_mACmChPOLR2A_TotalPolII,135.79361928875448,79.37349827577668,0.43503762636290944,12.650045261087413,0.5841377210496179,139.5215057570933,0.9415843789398146,4.0,0.0
183,L06,227.4379119057164,211.38326534828644,849.5450752520607,1735.2205882352941,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,60,Santa Cruz mouse anti-RPB1 (F12),Alexa647 goat anti-mouse,1224,241021_mACmChPOLR2A_TotalPolII,137.42769604528894,17.250245573109055,0.09454674483703442,14.284122017621868,0.6595940417885159,93.18845644296965,0.6288979925215048,1.0,1.0
186,L09,262.1140913080179,268.41470166044354,899.7524477550571,1644.0018639328985,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,60,Santa Cruz mouse anti-RPB1 (F12),Alexa647 goat anti-mouse,1073,241021_mACmChPOLR2A_TotalPolII,138.14282736460459,74.28168188526615,0.407129927136813,14.999253336937514,0.692616467439532,127.86463584527118,0.8629160291628684,1.0,0.0
189,L12,253.4742839374795,205.96459890953403,943.2123467228461,1696.7561597281224,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,480,Santa Cruz mouse anti-RPB1 (F12),Alexa647 goat anti-mouse,1177,241021_mACmChPOLR2A_TotalPolII,141.63637960138087,11.831579134356645,0.06484761557128277,18.492805573713795,0.8539372848626682,119.22482847473276,0.8046088340605502,8.0,8.0
192,L15,277.3814541939429,274.50413376275526,990.3878948647484,1702.8245454545454,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,480,Santa Cruz mouse anti-RPB1 (F12),Alexa647 goat anti-mouse,1100,241021_mACmChPOLR2A_TotalPolII,136.5462986232212,80.37111398757787,0.4405054510236852,13.402724595554119,0.6188939912480322,143.13199873119615,0.9659503988321592,8.0,0.0
203,M06,239.02645375871532,206.43030971620502,885.6705176256868,1780.3162917518746,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,120,Santa Cruz mouse anti-RPB1 (F12),Alexa647 goat anti-mouse,1467,241021_mACmChPOLR2A_TotalPolII,138.3397067201131,12.297289941027628,0.06740012652653608,15.196132692446028,0.7017077122275822,104.77699829596858,0.7071052188860991,2.0,2.0
206,M09,261.4867091860347,206.6413457587854,939.1585191795647,1775.265,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,480,Santa Cruz mouse anti-RPB1 (F12),Alexa647 goat anti-mouse,1000,241021_mACmChPOLR2A_TotalPolII,142.1203603295229,12.508325983608017,0.06855679242933166,18.976786301855824,0.8762859321389324,127.23725372328798,0.8586820352528974,8.0,8.0
