,EXPERIMENT,WELL,CELL,DRUG,DRUG_CONCENTRATION,DRUG_CONCENTRATION_LOG,TIME_MINUTES,EU,PRIMARY,SECONDARY,CLICK,TotalNumberCells,IF_568_Intensity,IF_Intensity_BGS,IF_Intensity_FC
110,260515_mACPOLR2A_CRC_EU,H13,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,10,-8.0,240,"EU 1 mM, 30 mins",Total Pol II (F12),Goat anti-mouse Alexa568,AF647 azide click,3205,579.4322426034265,432.0966163965198,0.6660119580025196
111,260515_mACPOLR2A_CRC_EU,H14,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,3,-8.5,240,"EU 1 mM, 30 mins",Total Pol II (F12),Goat anti-mouse Alexa568,AF647 azide click,3652,660.0136007301268,512.67797452322,0.7902160041994851
112,260515_mACPOLR2A_CRC_EU,H15,HCT116 OsTIRF74G,Vehicle,0,-12.0,240,"EU 1 mM, 30 mins",Total Pol II (F12),Goat anti-mouse Alexa568,AF647 azide click,4185,747.1182967170091,599.7826705101024,0.9244747947663651
120,260515_mACPOLR2A_CRC_EU,I03,HCT116 OsTIRF74G,Vehicle,0,-12.0,240,"EU 1 mM, 30 mins",Total Pol II (F12),Goat anti-mouse Alexa568,AF647 azide click,3304,808.9024356881017,661.5668094811949,1.0197057542513062
121,260515_mACPOLR2A_CRC_EU,I04,HCT116 OsTIRF74G,Vehicle,0,-12.0,240,"EU 1 mM, 30 mins",Total Pol II (F12),Goat anti-mouse Alexa568,AF647 azide click,3527,810.8515159536194,663.5158897467127,1.0227099683892624
122,260515_mACPOLR2A_CRC_EU,I05,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,1000,-6.0,240,"EU 1 mM, 30 mins",Total Pol II (F12),Goat anti-mouse Alexa568,AF647 azide click,3807,383.0095693031781,235.6739430962714,0.36325594400786493
123,260515_mACPOLR2A_CRC_EU,I06,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,300,-6.5,240,"EU 1 mM, 30 mins",Total Pol II (F12),Goat anti-mouse Alexa568,AF647 azide click,3874,372.06014136643466,224.72451515952793,0.3463790473545804
124,260515_mACPOLR2A_CRC_EU,I07,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,100,-7.0,240,"EU 1 mM, 30 mins",Total Pol II (F12),Goat anti-mouse Alexa568,AF647 azide click,3596,391.94579251931583,244.6101663124091,0.37702978831833706
125,260515_mACPOLR2A_CRC_EU,I08,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,30,-7.5,240,"EU 1 mM, 30 mins",Total Pol II (F12),Goat anti-mouse Alexa568,AF647 azide click,3655,468.10546830515756,320.7698420982508,0.49441847609370854
126,260515_mACPOLR2A_CRC_EU,I09,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,10,-8.0,240,"EU 1 mM, 30 mins",Total Pol II (F12),Goat anti-mouse Alexa568,AF647 azide click,3703,541.5973700033329,394.2617437964262,0.607695191277273
127,260515_mACPOLR2A_CRC_EU,I10,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,1000,-6.0,240,"EU 1 mM, 30 mins",Total Pol II (F12),Goat anti-mouse Alexa568,AF647 azide click,3952,356.79092056888226,209.45529436197552,0.3228438395916515
128,260515_mACPOLR2A_CRC_EU,I11,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,300,-6.5,240,"EU 1 mM, 30 mins",Total Pol II (F12),Goat anti-mouse Alexa568,AF647 azide click,3974,370.5925295070966,223.25690330018983,0.34411694436433504
129,260515_mACPOLR2A_CRC_EU,I12,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,100,-7.0,240,"EU 1 mM, 30 mins",Total Pol II (F12),Goat anti-mouse Alexa568,AF647 azide click,3644,409.8292061521184,262.49357994521165,0.4045943812297101
130,260515_mACPOLR2A_CRC_EU,I13,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,30,-7.5,240,"EU 1 mM, 30 mins",Total Pol II (F12),Goat anti-mouse Alexa568,AF647 azide click,3833,490.75449366485117,343.41886745794443,0.5293285428571468
131,260515_mACPOLR2A_CRC_EU,I14,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,10,-8.0,240,"EU 1 mM, 30 mins",Total Pol II (F12),Goat anti-mouse Alexa568,AF647 azide click,3390,587.0765894039814,439.7409631970747,0.6777945690832224
132,260515_mACPOLR2A_CRC_EU,I15,HCT116 OsTIRF74G,5PhIAA,1000,-6.0,240,"EU 1 mM, 30 mins",Total Pol II (F12),Goat anti-mouse Alexa568,AF647 azide click,4632,766.9273722242511,619.5917460173443,0.9550075058873684
140,260515_mACPOLR2A_CRC_EU,J03,HCT116 OsTIRF74G,Vehicle,0,-12.0,240,"EU 1 mM, 30 mins",Total Pol II (F12),Goat anti-mouse Alexa568,AF647 azide click,3545,761.8131370738208,614.4775108669141,0.9471246814518777
141,260515_mACPOLR2A_CRC_EU,J04,HCT116 OsTIRF74G,5PhIAA,1000,-6.0,240,"EU 1 mM, 30 mins",Total Pol II (F12),Goat anti-mouse Alexa568,AF647 azide click,3449,804.0353536355572,656.6997274286505,1.0122038791507628
142,260515_mACPOLR2A_CRC_EU,J05,HCT116 OsTIRF74G mAC-POLR2A Clone 5,Vehicle,0,-12.0,240,"EU 1 mM, 30 mins",Total Pol II (F12),Goat anti-mouse Alexa568,AF647 azide click,4156,699.38488831078,552.0492621038732,0.8509009235801274
