,WELL,GFP_Intensity,DAPI_Intensity,NucleusArea,CELL,DRUG,DRUG_CONCENTRATION,TIME_MINUTES,EU,PRIMARY,SECONDARY,CLICK,TotalNumberCells,EU_647_Intensity,IF_568_Intensity,DAPI_Intensity_2,NucleusArea_2,EXPERIMENT,GFP_Intensity_BGS,GFP_Intensity_FC,IF_Intensity_BGS,IF_Intensity_FC,DRUG_CONCENTRATION_LOG
153,J16,133.01751310954464,5269.732119089811,1693.5591371788657,HCT116 OsTIRF74G,No addition,0,240,No addition,Total Pol II (F12),Goat anti-mouse Alexa568,No click,4126,180.43688877807247,435.864671224892,4998.491363396095,1705.655298416565,260508_mACPOLR2A_CRC_EU,-0.028845016355518283,-0.00026958483936496286,309.6849738241209,0.9117951652040691,-12.0
154,J17,244.93828686288634,5126.680428381485,1894.960250542038,HCT116 OsTIRF74G mAC-POLR2A Clone 5,Vehicle,0,240,No addition,Total Pol II (F12),Goat anti-mouse Alexa568,No click,4151,180.72005485128722,449.5814642305614,4998.428738146867,1882.4462151394423,260508_mACPOLR2A_CRC_EU,111.89192873698619,1.0457393146537637,323.4017668297903,0.9521810624926388,-12.0
155,J18,225.79020762928357,4994.708973991221,1983.617787855883,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,3,240,No addition,Total Pol II (F12),Goat anti-mouse Alexa568,No click,3969,180.21567913974994,414.53311249047624,4950.56321776872,1951.9557677808496,260508_mACPOLR2A_CRC_EU,92.74384950338342,0.8667818198575838,288.3534150897052,0.8489893665237848,-8.5
156,J19,204.49998591561746,5137.590814035232,2009.208070271754,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,10,240,No addition,Total Pol II (F12),Goat anti-mouse Alexa568,No click,3643,178.74707388036856,370.2075422171726,4792.132803054712,1979.1628638867035,260508_mACPOLR2A_CRC_EU,71.4536277897173,0.6678039122016186,244.02784481640154,0.7184830646808519,-8.0
157,J20,186.73379002709146,5174.727676739993,1907.7006289308176,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,30,240,No addition,Total Pol II (F12),Goat anti-mouse Alexa568,No click,3975,176.58150483899834,310.8742690295494,4585.316005254006,1926.9644444444446,260508_mACPOLR2A_CRC_EU,53.6874319011913,0.5017614664042712,184.69457162877833,0.5437900824539134,-7.5
158,J21,167.59346515436764,5481.567337516865,1944.3698959167334,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,100,240,No addition,Total Pol II (F12),Goat anti-mouse Alexa568,No click,3747,178.75136779986778,266.1746588098022,4773.617248443099,1919.6760416666666,260508_mACPOLR2A_CRC_EU,34.54710702846748,0.3228764436811235,139.99496140903116,0.41218250724098465,-7.0
159,J22,133.1746666087862,6667.607784095722,1672.489898989899,HCT116 OsTIRF74G,No addition,0,240,No addition,Total Pol II (F12),Goat anti-mouse Alexa568,No click,3168,183.2076699964656,425.3407827283348,5333.629348700786,1634.868406889128,260508_mACPOLR2A_CRC_EU,0.12830848288604102,0.0011991680407342916,299.1610853275637,0.880810030433671,-12.0
173,K16,133.20424520969155,5239.409585350938,1646.8958235570155,HCT116 OsTIRF74G,No addition,0,240,No addition,Total Pol II (F12),Goat anti-mouse Alexa568,No click,4262,180.84010525832178,428.1065396031756,5122.3202096110235,1622.7477856510186,260508_mACPOLR2A_CRC_EU,0.15788708379139393,0.001475608943919442,301.9268422024045,0.8889531563834692,-12.0
174,K17,253.4210431453393,5337.324092882643,1839.3660205245153,HCT116 OsTIRF74G mAC-POLR2A Clone 5,Vehicle,0,240,No addition,Total Pol II (F12),Goat anti-mouse Alexa568,No click,3508,181.47284290833127,442.57989175694445,5070.117367421434,1885.4001075557946,260508_mACPOLR2A_CRC_EU,120.37468501943914,1.1250189538674098,316.4001943561734,0.9315665656010479,-12.0
175,K18,246.68535954683782,5154.636040506194,1869.3489790506496,HCT116 OsTIRF74G mAC-POLR2A Clone 5,Vehicle,0,240,No addition,Total Pol II (F12),Goat anti-mouse Alexa568,No click,3771,179.1656019072202,433.7339293693601,4784.691010912407,1911.28280484661,260508_mACPOLR2A_CRC_EU,113.63900142093766,1.0620674145604176,307.5542319685891,0.9055216928486579,-12.0
