,EXPERIMENT,WELL,CELL,DRUG,DRUG_CONCENTRATION,DRUG_CONCENTRATION_LOG,TIME_MINUTES,EU,PRIMARY,SECONDARY,CLICK,TotalNumberCells,GFP_Intensity,GFP_Intensity_BGS,GFP_Intensity_FC
60,260508_mACPOLR2A_CRC_EU,F03,HCT116 OsTIRF74G,Vehicle,0,-12.0,240,"EU 1 mM, 30 mins",Nucleolin (D4C7O) ,Goat anti-rabbit Alexa568,AF647 azide click,3419,132.73389357604742,-0.3124645498527343,-0.002920286278956463
61,260508_mACPOLR2A_CRC_EU,F04,HCT116 OsTIRF74G,5PhIAA,1000,-6.0,240,"EU 1 mM, 30 mins",Nucleolin (D4C7O) ,Goat anti-rabbit Alexa568,AF647 azide click,3574,132.74858687983397,-0.29777124606619054,-0.0027829630099308863
62,260508_mACPOLR2A_CRC_EU,F05,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,100,-7.0,240,"EU 1 mM, 30 mins",Nucleolin (D4C7O) ,Goat anti-rabbit Alexa568,AF647 azide click,3569,166.92103386940846,33.874675743508305,0.3165919168254119
63,260508_mACPOLR2A_CRC_EU,F06,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,300,-6.5,240,"EU 1 mM, 30 mins",Nucleolin (D4C7O) ,Goat anti-rabbit Alexa568,AF647 azide click,3681,158.08247412300736,25.036115997107203,0.2339869468686058
64,260508_mACPOLR2A_CRC_EU,F07,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,1000,-6.0,240,"EU 1 mM, 30 mins",Nucleolin (D4C7O) ,Goat anti-rabbit Alexa568,AF647 azide click,3651,155.5018338760512,22.455475750151038,0.2098683442698126
65,260508_mACPOLR2A_CRC_EU,F08,HCT116 OsTIRF74G mAC-POLR2A Clone 5,Vehicle,0,-12.0,240,"EU 1 mM, 30 mins",Nucleolin (D4C7O) ,Goat anti-rabbit Alexa568,AF647 azide click,3960,239.00171712274516,105.955358996845,0.9902562745316981
66,260508_mACPOLR2A_CRC_EU,F09,HCT116 OsTIRF74G mAC-POLR2A Clone 5,Vehicle,0,-12.0,240,"EU 1 mM, 30 mins",Nucleolin (D4C7O) ,Goat anti-rabbit Alexa568,AF647 azide click,4016,236.91758884017787,103.87123071427771,0.9707780609870421
67,260508_mACPOLR2A_CRC_EU,F10,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,100,-7.0,240,"EU 1 mM, 30 mins",Nucleolin (D4C7O) ,Goat anti-rabbit Alexa568,AF647 azide click,3615,163.99794646777195,30.951588341871798,0.2892728112333927
68,260508_mACPOLR2A_CRC_EU,F11,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,300,-6.5,240,"EU 1 mM, 30 mins",Nucleolin (D4C7O) ,Goat anti-rabbit Alexa568,AF647 azide click,4000,156.30359371501189,23.25723558911173,0.21736157272673276
69,260508_mACPOLR2A_CRC_EU,F12,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,1000,-6.0,240,"EU 1 mM, 30 mins",Nucleolin (D4C7O) ,Goat anti-rabbit Alexa568,AF647 azide click,3819,153.55733684476152,20.510978718861367,0.1916951210909813
70,260508_mACPOLR2A_CRC_EU,F13,HCT116 OsTIRF74G mAC-POLR2A Clone 5,Vehicle,0,-12.0,240,"EU 1 mM, 30 mins",Nucleolin (D4C7O) ,Goat anti-rabbit Alexa568,AF647 azide click,3680,231.7400689156636,98.69371078976346,0.9223890824558496
71,260508_mACPOLR2A_CRC_EU,F14,HCT116 OsTIRF74G mAC-POLR2A Clone 5,Vehicle,0,-12.0,240,"EU 1 mM, 30 mins",Nucleolin (D4C7O) ,Goat anti-rabbit Alexa568,AF647 azide click,3335,235.27438079233457,102.22802266643441,0.9554206775083427
72,260508_mACPOLR2A_CRC_EU,F15,HCT116 OsTIRF74G,Vehicle,0,-12.0,240,"EU 1 mM, 30 mins",Nucleolin (D4C7O) ,Goat anti-rabbit Alexa568,AF647 azide click,4027,132.43211192175787,-0.6142462041422903,-0.005740730469114764
73,260508_mACPOLR2A_CRC_EU,F16,HCT116 OsTIRF74G,No addition,0,-12.0,240,No addition,Total Pol II (F12),Goat anti-mouse Alexa568,No click,4369,132.0859306392385,-0.9604274866616436,-0.008976132532642553
74,260508_mACPOLR2A_CRC_EU,F17,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,100,-7.0,240,No addition,Total Pol II (F12),Goat anti-mouse Alexa568,No click,3750,164.07478816495694,31.028430039056786,0.28999097191449014
75,260508_mACPOLR2A_CRC_EU,F18,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,300,-6.5,240,No addition,Total Pol II (F12),Goat anti-mouse Alexa568,No click,3779,156.10595451246755,23.059596386567392,0.21551444142288997
76,260508_mACPOLR2A_CRC_EU,F19,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,1000,-6.0,240,No addition,Total Pol II (F12),Goat anti-mouse Alexa568,No click,3989,154.07016676057424,21.023808634674083,0.19648801733246565
77,260508_mACPOLR2A_CRC_EU,F20,HCT116 OsTIRF74G mAC-POLR2A Clone 5,Vehicle,0,-12.0,240,No addition,Total Pol II (F12),Goat anti-mouse Alexa568,No click,4061,235.58253803152337,102.53617990562321,0.9583007077638974
78,260508_mACPOLR2A_CRC_EU,F21,HCT116 OsTIRF74G mAC-POLR2A Clone 5,Vehicle,0,-12.0,240,No addition,Total Pol II (F12),Goat anti-mouse Alexa568,No click,3492,242.2201320683285,109.17377394242834,1.020335504351545
79,260508_mACPOLR2A_CRC_EU,F22,HCT116 OsTIRF74G,No addition,0,-12.0,240,No addition,Total Pol II (F12),Goat anti-mouse Alexa568,No click,3265,132.64824041680052,-0.39811770909963684,-0.0037207986756935983
80,260508_mACPOLR2A_CRC_EU,G03,HCT116 OsTIRF74G,Vehicle,0,-12.0,240,"EU 1 mM, 30 mins",Nucleolin (D4C7O) ,Goat anti-rabbit Alexa568,AF647 azide click,3123,132.98878672277834,-0.057571403121812637,-0.0005380609694000124
