,EXPERIMENT,WELL,CELL,DRUG,DRUG_CONCENTRATION,DRUG_CONCENTRATION_LOG,TIME_MINUTES,EU,PRIMARY,SECONDARY,CLICK,TotalNumberCells,EU_647_Intensity,EU_647_Intensity_BGS,EU_647_Intensity_FC
65,260508_mACPOLR2A_CRC_EU,F08,HCT116 OsTIRF74G mAC-POLR2A Clone 5,Vehicle,0,-12.0,240,"EU 1 mM, 30 mins",Nucleolin (D4C7O) ,Goat anti-rabbit Alexa568,AF647 azide click,3960,422.1891656687633,239.919232048986,1.0425800908336857
66,260508_mACPOLR2A_CRC_EU,F09,HCT116 OsTIRF74G mAC-POLR2A Clone 5,Vehicle,0,-12.0,240,"EU 1 mM, 30 mins",Nucleolin (D4C7O) ,Goat anti-rabbit Alexa568,AF647 azide click,4016,411.5937638930046,229.32383027322734,0.9965372836295746
67,260508_mACPOLR2A_CRC_EU,F10,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,100,-7.0,240,"EU 1 mM, 30 mins",Nucleolin (D4C7O) ,Goat anti-rabbit Alexa568,AF647 azide click,3615,373.53754319396677,191.2676095741895,0.8311622209706185
68,260508_mACPOLR2A_CRC_EU,F11,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,300,-6.5,240,"EU 1 mM, 30 mins",Nucleolin (D4C7O) ,Goat anti-rabbit Alexa568,AF647 azide click,4000,351.57884926860476,169.30891564882748,0.7357397035185009
69,260508_mACPOLR2A_CRC_EU,F12,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,1000,-6.0,240,"EU 1 mM, 30 mins",Nucleolin (D4C7O) ,Goat anti-rabbit Alexa568,AF647 azide click,3819,340.73811105824245,158.46817743846518,0.6886307755199482
70,260508_mACPOLR2A_CRC_EU,F13,HCT116 OsTIRF74G mAC-POLR2A Clone 5,Vehicle,0,-12.0,240,"EU 1 mM, 30 mins",Nucleolin (D4C7O) ,Goat anti-rabbit Alexa568,AF647 azide click,3680,394.7106392321345,212.44070561235722,0.9231708865626963
71,260508_mACPOLR2A_CRC_EU,F14,HCT116 OsTIRF74G mAC-POLR2A Clone 5,Vehicle,0,-12.0,240,"EU 1 mM, 30 mins",Nucleolin (D4C7O) ,Goat anti-rabbit Alexa568,AF647 azide click,3335,406.7768740012635,224.5069403814862,0.975605266392032
72,260508_mACPOLR2A_CRC_EU,F15,HCT116 OsTIRF74G,Vehicle,0,-12.0,240,"EU 1 mM, 30 mins",Nucleolin (D4C7O) ,Goat anti-rabbit Alexa568,AF647 azide click,4027,597.9696459711905,415.69971235141327,1.8064422771009165
80,260508_mACPOLR2A_CRC_EU,G03,HCT116 OsTIRF74G,Vehicle,0,-12.0,240,"EU 1 mM, 30 mins",Nucleolin (D4C7O) ,Goat anti-rabbit Alexa568,AF647 azide click,3123,633.6200148122879,451.35008119251063,1.961362599524326
81,260508_mACPOLR2A_CRC_EU,G04,HCT116 OsTIRF74G,Vehicle,0,-12.0,240,"EU 1 mM, 30 mins",Nucleolin (D4C7O) ,Goat anti-rabbit Alexa568,AF647 azide click,4268,630.5038559437803,448.23392232400306,1.947821187406445
82,260508_mACPOLR2A_CRC_EU,G05,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,30,-7.5,240,"EU 1 mM, 30 mins",Nucleolin (D4C7O) ,Goat anti-rabbit Alexa568,AF647 azide click,3375,417.5860883789756,235.31615475919833,1.0225772061215446
83,260508_mACPOLR2A_CRC_EU,G06,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,100,-7.0,240,"EU 1 mM, 30 mins",Nucleolin (D4C7O) ,Goat anti-rabbit Alexa568,AF647 azide click,3597,398.2339627448905,215.96402912511323,0.9384816514254966
84,260508_mACPOLR2A_CRC_EU,G07,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,300,-6.5,240,"EU 1 mM, 30 mins",Nucleolin (D4C7O) ,Goat anti-rabbit Alexa568,AF647 azide click,3870,372.62284282469705,190.35290920491977,0.8271873483189583
85,260508_mACPOLR2A_CRC_EU,G08,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,1000,-6.0,240,"EU 1 mM, 30 mins",Nucleolin (D4C7O) ,Goat anti-rabbit Alexa568,AF647 azide click,3767,370.7501629975234,188.4802293777461,0.8190495317394251
86,260508_mACPOLR2A_CRC_EU,G09,HCT116 OsTIRF74G mAC-POLR2A Clone 5,Vehicle,0,-12.0,240,"EU 1 mM, 30 mins",Nucleolin (D4C7O) ,Goat anti-rabbit Alexa568,AF647 azide click,4101,422.0018706472589,239.73193702748162,1.0417661916774361
87,260508_mACPOLR2A_CRC_EU,G10,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,30,-7.5,240,"EU 1 mM, 30 mins",Nucleolin (D4C7O) ,Goat anti-rabbit Alexa568,AF647 azide click,3723,397.3700296248075,215.10009600503022,0.9347273901971742
88,260508_mACPOLR2A_CRC_EU,G11,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,100,-7.0,240,"EU 1 mM, 30 mins",Nucleolin (D4C7O) ,Goat anti-rabbit Alexa568,AF647 azide click,4001,365.8860038188596,183.61607019908232,0.7979121036349313
