,WELL,RFP_Intensity,GFP_Intensity,DAPI_Intensity,NucleusArea,CELL,DRUG_1,DRUG_TIME_MINUTES_1,DRUG_2,DRUG_TIME_MINUTES_2,EXPERIMENT
24,D07,175.95813976872796,175.57502134848292,214.97863816014927,1669.330658105939,HCT116 mChPOLR2A Clone 2,Vehicle,1440,Vehicle,30,250512_mACmChPOLR2A_Inhibitors_Chase
25,D08,177.17313623800067,175.90500904209102,217.97843324844803,1728.9233257845358,HCT116 mChPOLR2A Clone 2,Vehicle,1440,Leptomycin 10 ng/mL,30,250512_mACmChPOLR2A_Inhibitors_Chase
26,D09,176.11747232780593,175.82133327183436,219.19940233502297,1618.3582797155434,HCT116 mChPOLR2A Clone 2,Vehicle,1440,Cycloheximide 50 µg/mL,30,250512_mACmChPOLR2A_Inhibitors_Chase
27,D10,166.49976524863928,226.51860549418456,282.5752803264519,1411.976370510397,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,1440,Vehicle,30,250512_mACmChPOLR2A_Inhibitors_Chase
28,D11,160.5402191504617,221.3379220371546,269.87396207708696,1690.9904912836766,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,1440,Leptomycin 10 ng/mL,30,250512_mACmChPOLR2A_Inhibitors_Chase
29,D12,165.0721725825466,229.1594364427493,283.2421683605655,1451.8830734966593,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,1440,Cycloheximide 50 µg/mL,30,250512_mACmChPOLR2A_Inhibitors_Chase
30,D13,176.91602842320208,179.72202229981525,280.8148174354886,1429.1510791366907,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,1440,Vehicle,30,250512_mACmChPOLR2A_Inhibitors_Chase
31,D14,168.92362437032915,179.52433161796236,264.528625004206,1825.1884262526464,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,1440,Leptomycin 10 ng/mL,30,250512_mACmChPOLR2A_Inhibitors_Chase
32,D15,175.73322352375857,179.95500372313,292.4404980232924,1401.1212367778683,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,1440,Cycloheximide 50 µg/mL,30,250512_mACmChPOLR2A_Inhibitors_Chase
33,D16,163.78899738431184,225.66349276765945,283.91769610295563,1356.1089430894308,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,1440,Vehicle,30,250512_mACmChPOLR2A_Inhibitors_Chase
34,D17,160.52177336624925,217.1042218249288,264.242908858626,1733.2534081796312,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,1440,Leptomycin 10 ng/mL,30,250512_mACmChPOLR2A_Inhibitors_Chase
35,D18,163.4894678481136,226.86652316577087,279.0504558969216,1471.5370705244122,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,1440,Cycloheximide 50 µg/mL,30,250512_mACmChPOLR2A_Inhibitors_Chase
36,D19,180.545034303217,179.6430985756883,315.57932453346643,1310.5704697986578,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,1440,Vehicle,30,250512_mACmChPOLR2A_Inhibitors_Chase
37,D20,171.46909472073278,180.60570326939185,282.54183421872244,1733.2449567723343,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,1440,Leptomycin 10 ng/mL,30,250512_mACmChPOLR2A_Inhibitors_Chase
38,D21,177.06959074606957,179.59680891769594,292.5867419348693,1474.6230580539657,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,1440,Cycloheximide 50 µg/mL,30,250512_mACmChPOLR2A_Inhibitors_Chase
39,D22,134.44740955330147,176.00200178351383,230.66468413878872,1648.653311965812,HCT116 OsTIRF74G,No addition,No addition,No addition,No addition,250512_mACmChPOLR2A_Inhibitors_Chase
40,E03,133.3651419747143,175.92466683309735,210.01458200098412,1699.6365879450123,HCT116 OsTIRF74G,No addition,No addition,No addition,No addition,250512_mACmChPOLR2A_Inhibitors_Chase
41,E04,177.47704546460838,176.16086554899192,208.0926076332236,1619.84328817734,HCT116 mChPOLR2A Clone 2,Vehicle,1440,Vehicle,60,250512_mACmChPOLR2A_Inhibitors_Chase
42,E05,173.8048867741472,176.94936357347962,204.30105496509108,1647.5314853871648,HCT116 mChPOLR2A Clone 2,Vehicle,1440,Leptomycin 10 ng/mL,60,250512_mACmChPOLR2A_Inhibitors_Chase
43,E06,176.45425515658093,176.684733358483,211.52591710586523,1619.1803336883208,HCT116 mChPOLR2A Clone 2,Vehicle,1440,Cycloheximide 50 µg/mL,60,250512_mACmChPOLR2A_Inhibitors_Chase
44,E07,176.8635067006022,176.04610464995136,204.36855636961238,1641.5018393623543,HCT116 mChPOLR2A Clone 2,Vehicle,1440,Vehicle,60,250512_mACmChPOLR2A_Inhibitors_Chase
45,E08,172.10986465481596,175.17932114466677,210.5334959461763,1723.2658994548758,HCT116 mChPOLR2A Clone 2,Vehicle,1440,Leptomycin 10 ng/mL,60,250512_mACmChPOLR2A_Inhibitors_Chase
46,E09,175.1101731188942,176.57225880684297,213.2767153108643,1622.971183800623,HCT116 mChPOLR2A Clone 2,Vehicle,1440,Cycloheximide 50 µg/mL,60,250512_mACmChPOLR2A_Inhibitors_Chase
47,E10,164.23354768237436,228.3544858056552,277.46141947382847,1356.6025641025642,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,1440,Vehicle,60,250512_mACmChPOLR2A_Inhibitors_Chase
48,E11,158.77564390916362,220.04671958411666,255.92614984820224,1756.333984375,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,1440,Leptomycin 10 ng/mL,60,250512_mACmChPOLR2A_Inhibitors_Chase
49,E12,162.9914333481471,228.8436273317732,275.65860261974603,1438.518607442977,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,1440,Cycloheximide 50 µg/mL,60,250512_mACmChPOLR2A_Inhibitors_Chase
50,E13,179.92218882979043,180.71659866295056,295.5769412788932,1477.1925795053003,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,1440,Vehicle,60,250512_mACmChPOLR2A_Inhibitors_Chase
51,E14,166.503163120143,178.80011961087695,248.8851859604428,1742.4984690753215,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,1440,Leptomycin 10 ng/mL,60,250512_mACmChPOLR2A_Inhibitors_Chase
