,WELL,RFP_Intensity,GFP_Intensity,DAPI_Intensity,NucleusArea,CELL,EU,DRUG,DRUG TIME MINUTES,PRIMARY,SECONDARY,TotalNumberCells,Alexa647_Intensity,NucleusArea2,EXPERIMENT,GFP_Intensity_BGS,GFP_Intensity_FC,RFP_Intensity_BGS,RFP_Intensity_FC,TIME_IN_AUXIN,TIME_IN_AUXIN_HRS
121,I04,216.96757212876247,259.9290239632984,465.4783079878233,1725.431388660641,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,No addition,Vehicle,120,Total Pol II F12,Goat anti-mouse Alexa647,1217,355.58563633228675,1693.7114586658156,241026_mACmChPOLR2A_ActivePolII,72.85657374303034,0.37579735382478197,39.74711836811156,0.5471324027274926,0,0.0
122,I05,220.96331391111744,198.71422458657577,480.89799063758306,1731.0458874458875,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,No addition,10 µM 5PhIAA,120,Total Pol II F12,Goat anti-mouse Alexa647,1155,322.43837798064925,1727.7175820604484,241026_mACmChPOLR2A_ActivePolII,11.641774366307715,0.06004877495494546,43.74286015046653,0.6021351272473275,120,2.0
123,I06,224.7406801405963,278.6244824042615,505.9947992970105,1701.9589392643286,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,No addition,Vehicle,120,Total Pol II F12,Goat anti-mouse Alexa647,1169,341.0272759658041,1715.3456310679612,241026_mACmChPOLR2A_ActivePolII,91.55203218399348,0.472229335864388,47.5202263799454,0.6541318391089491,0,0.0
124,I07,221.19679876988397,199.4598304651455,462.6301374639214,1762.4411566913247,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,No addition,10 µM 5PhIAA,120,Total Pol II F12,Goat anti-mouse Alexa647,1487,280.94922425018353,1730.685472880894,241026_mACmChPOLR2A_ActivePolII,12.387380244877448,0.06389464227710336,43.97634500923306,0.6053491245639206,120,2.0
125,I08,223.43431937061885,260.3160988227682,504.76518205808514,1808.9167664670658,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,No addition,Vehicle,120,pSer2 3E10,Goat anti-rat Alexa647,1670,483.6950082902591,1763.558561236623,241026_mACmChPOLR2A_ActivePolII,73.24364860250014,0.3777939026665365,46.21386560996794,0.6361493453772743,0,0.0
126,I09,224.0960288956155,197.58760995329072,517.3237829361381,1820.765279583875,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,No addition,10 µM 5PhIAA,120,pSer2 3E10,Goat anti-rat Alexa647,1538,490.2037515100231,1781.1586975652683,241026_mACmChPOLR2A_ActivePolII,10.51515973302267,0.05423764802133368,46.87557513496458,0.645257998713249,120,2.0
127,I10,226.72907217813113,274.2823649339127,553.0990042965662,1649.360902255639,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,No addition,Vehicle,120,pSer2 3E10,Goat anti-rat Alexa647,1064,536.4940054326457,1695.8945225758698,241026_mACmChPOLR2A_ActivePolII,87.20991471364462,0.44983250642921907,49.50861841748022,0.6815027217723187,0,0.0
128,I11,225.47777734840733,196.50470810982407,547.0762727865186,1748.083894672382,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,No addition,10 µM 5PhIAA,120,pSer2 3E10,Goat anti-rat Alexa647,1633,519.6603750872363,1716.2035281727224,241026_mACmChPOLR2A_ActivePolII,9.432257889556013,0.04865199354543021,48.25732358775642,0.6642782291596282,120,2.0
131,I14,223.2989328242568,267.49183193375904,545.4999287583486,1785.669971671388,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,"EU 1 mM, 30 mins",Vehicle,120,No primary,No secondary,1412,237.93074211862864,1734.751214771623,241026_mACmChPOLR2A_ActivePolII,80.41938171349099,0.41480664395154926,46.0784790636059,0.6342857042015289,0,0.0
132,I15,229.3578791509939,196.09065983876079,594.6721168395044,1766.8953823953823,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,"EU 1 mM, 30 mins",10 µM 5PhIAA,120,No primary,No secondary,1386,268.8970836220857,1689.3163859111792,241026_mACmChPOLR2A_ActivePolII,9.018209618492733,0.046516314681775285,52.137425390343,0.717689130609522,120,2.0
