,EXPERIMENT,WELL,CELL,EU,DRUG,DRUG TIME MINUTES,PRIMARY,SECONDARY,TIME_IN_AUXIN_HRS,TotalNumberCells,Alexa647_Intensity,Alexa647_Intensity_BGS,Alexa647_Intensity_FC
194,241026_mACmChPOLR2A_ActivePolII,L17,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,"EU 1 mM, 30 mins",10 µM 5PhIAA,90,No primary,No secondary,1.5,825,256.12309416089477,122.59020618384201,1.2733791915299713
195,241026_mACmChPOLR2A_ActivePolII,L18,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,"EU 1 mM, 30 mins",Vehicle,90,No primary,No secondary,0.0,1128,217.89702986988456,84.36414189283181,0.8763142353844366
196,241026_mACmChPOLR2A_ActivePolII,L19,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,"EU 1 mM, 30 mins",10 µM 5PhIAA,90,No primary,No secondary,1.5,1179,220.72546300715288,87.19257503010013,0.9056939714477734
197,241026_mACmChPOLR2A_ActivePolII,L20,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,"EU 1 mM, 30 mins",Vehicle,90,No primary,No secondary,0.0,766,224.63674510502224,91.10385712796949,0.9463215663484744
198,241026_mACmChPOLR2A_ActivePolII,L21,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,"EU 1 mM, 30 mins",10 µM 5PhIAA,90,No primary,No secondary,1.5,819,227.8650274528874,94.33213947583465,0.9798546494072484
211,241026_mACmChPOLR2A_ActivePolII,M14,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,"EU 1 mM, 30 mins",Vehicle,120,No primary,No secondary,0.0,752,190.79708632944366,57.264198352390906,0.5948194466059274
212,241026_mACmChPOLR2A_ActivePolII,M15,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,"EU 1 mM, 30 mins",10 µM 5PhIAA,120,No primary,No secondary,2.0,1218,228.84461864421894,95.31173066716619,0.990029940550629
213,241026_mACmChPOLR2A_ActivePolII,M16,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,"EU 1 mM, 30 mins",Vehicle,120,No primary,No secondary,0.0,984,223.0510034808541,89.51811550380134,0.9298500189857878
214,241026_mACmChPOLR2A_ActivePolII,M17,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,"EU 1 mM, 30 mins",10 µM 5PhIAA,120,No primary,No secondary,2.0,768,229.49721201376437,95.96432403671162,0.9968086127070602
215,241026_mACmChPOLR2A_ActivePolII,M18,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,"EU 1 mM, 30 mins",Vehicle,120,No primary,No secondary,0.0,989,243.82355385601616,110.29066587896341,1.145620382917404
216,241026_mACmChPOLR2A_ActivePolII,M19,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,"EU 1 mM, 30 mins",10 µM 5PhIAA,120,No primary,No secondary,2.0,645,231.17988832574463,97.64700034869188,1.0142870481258146
217,241026_mACmChPOLR2A_ActivePolII,M20,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,"EU 1 mM, 30 mins",Vehicle,120,No primary,No secondary,0.0,1058,219.62672337412852,86.09383539707576,0.8942810516954048
218,241026_mACmChPOLR2A_ActivePolII,M21,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,"EU 1 mM, 30 mins",10 µM 5PhIAA,120,No primary,No secondary,2.0,780,233.0658530083217,99.53296503126896,1.0338770974251248
70,241029_mACmChPOLR2A_ActivePolII,F14,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,"EU 1 mM, 30 mins",10 µM 5PhIAA,120,No primary,No secondary,2.0,1367,518.8437198286388,371.4972795903416,1.29565067312428
71,241029_mACmChPOLR2A_ActivePolII,F15,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,"EU 1 mM, 30 mins",Vehicle,120,No primary,No secondary,0.0,1298,532.7373168534255,385.39087661512826,1.344106608944679
72,241029_mACmChPOLR2A_ActivePolII,F16,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,"EU 1 mM, 30 mins",10 µM 5PhIAA,120,No primary,No secondary,2.0,1494,514.2464593681669,366.90001912986975,1.2796170601279582
73,241029_mACmChPOLR2A_ActivePolII,F17,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,"EU 1 mM, 30 mins",Vehicle,120,No primary,No secondary,0.0,1227,487.4618590494644,340.1154188111672,1.186201879616919
74,241029_mACmChPOLR2A_ActivePolII,F18,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,"EU 1 mM, 30 mins",10 µM 5PhIAA,120,No primary,No secondary,2.0,1060,499.0724451183995,351.7260048801023,1.2266954834251937
75,241029_mACmChPOLR2A_ActivePolII,F19,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,"EU 1 mM, 30 mins",Vehicle,120,No primary,No secondary,0.0,713,485.861569248158,338.5151290098608,1.1806206367056842
76,241029_mACmChPOLR2A_ActivePolII,F20,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,"EU 1 mM, 30 mins",10 µM 5PhIAA,120,No primary,No secondary,2.0,829,416.03148974580307,268.6850495075059,0.9370781009129124
77,241029_mACmChPOLR2A_ActivePolII,F21,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,"EU 1 mM, 30 mins",Vehicle,120,No primary,No secondary,0.0,685,499.1035983269294,351.7571580886322,1.2268041347608003
89,241029_mACmChPOLR2A_ActivePolII,G14,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,"EU 1 mM, 30 mins",10 µM 5PhIAA,90,No primary,No secondary,1.5,1766,491.31832897078544,343.97188873248825,1.1996518781066874
90,241029_mACmChPOLR2A_ActivePolII,G15,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,"EU 1 mM, 30 mins",Vehicle,90,No primary,No secondary,0.0,1750,457.5364665991261,310.1900263608289,1.0818327307646183
91,241029_mACmChPOLR2A_ActivePolII,G16,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,"EU 1 mM, 30 mins",10 µM 5PhIAA,90,No primary,No secondary,1.5,1584,523.6156162902003,376.26917605190306,1.3122933545170465
92,241029_mACmChPOLR2A_ActivePolII,G17,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,"EU 1 mM, 30 mins",Vehicle,90,No primary,No secondary,0.0,1432,456.17863787104034,308.83219763274315,1.0770971060314527
93,241029_mACmChPOLR2A_ActivePolII,G18,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,"EU 1 mM, 30 mins",10 µM 5PhIAA,90,No primary,No secondary,1.5,1198,453.00797247021757,305.6615322319204,1.066038950328784
94,241029_mACmChPOLR2A_ActivePolII,G19,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,"EU 1 mM, 30 mins",Vehicle,90,No primary,No secondary,0.0,585,439.48973960191626,292.14329936361906,1.0188921514758302
95,241029_mACmChPOLR2A_ActivePolII,G20,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,"EU 1 mM, 30 mins",10 µM 5PhIAA,90,No primary,No secondary,1.5,794,442.2375245840684,294.8910843457712,1.0284754503512676
96,241029_mACmChPOLR2A_ActivePolII,G21,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,"EU 1 mM, 30 mins",Vehicle,90,No primary,No secondary,0.0,909,461.40291689049496,314.0564766521978,1.0953175372432495
109,241029_mACmChPOLR2A_ActivePolII,H14,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,"EU 1 mM, 30 mins",10 µM 5PhIAA,60,No primary,No secondary,1.0,1361,477.77667458740376,330.43023434910657,1.152423393321032
110,241029_mACmChPOLR2A_ActivePolII,H15,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,"EU 1 mM, 30 mins",Vehicle,60,No primary,No secondary,0.0,1579,552.915001441747,405.5685612034498,1.4144792120705403
111,241029_mACmChPOLR2A_ActivePolII,H16,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,"EU 1 mM, 30 mins",10 µM 5PhIAA,60,No primary,No secondary,1.0,1376,461.80521097963174,314.45877074133455,1.096720596258806
112,241029_mACmChPOLR2A_ActivePolII,H17,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,"EU 1 mM, 30 mins",Vehicle,60,No primary,No secondary,0.0,1394,487.35527383361807,340.0088335953209,1.1858301482093332
113,241029_mACmChPOLR2A_ActivePolII,H18,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,"EU 1 mM, 30 mins",10 µM 5PhIAA,60,No primary,No secondary,1.0,1044,483.2630807205731,335.9166404822759,1.1715580308809965
114,241029_mACmChPOLR2A_ActivePolII,H19,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,"EU 1 mM, 30 mins",Vehicle,60,No primary,No secondary,0.0,1164,408.7693317696,261.4228915313028,0.9117502711086722
115,241029_mACmChPOLR2A_ActivePolII,H20,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,"EU 1 mM, 30 mins",10 µM 5PhIAA,60,No primary,No secondary,1.0,961,477.5613371927577,330.2148969544605,1.1516723729080973
116,241029_mACmChPOLR2A_ActivePolII,H21,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,"EU 1 mM, 30 mins",Vehicle,60,No primary,No secondary,0.0,819,444.95774702737555,297.61130678907836,1.0379626208726915
129,241029_mACmChPOLR2A_ActivePolII,I14,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,"EU 1 mM, 30 mins",10 µM 5PhIAA,30,No primary,No secondary,0.5,1412,390.51494595832867,243.16850572003148,0.8480854515710303
130,241029_mACmChPOLR2A_ActivePolII,I16,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,"EU 1 mM, 30 mins",10 µM 5PhIAA,30,No primary,No secondary,0.5,1177,442.62951841732547,295.2830781790283,1.029842585729702
131,241029_mACmChPOLR2A_ActivePolII,I17,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,"EU 1 mM, 30 mins",Vehicle,30,No primary,No secondary,0.0,1196,423.2825329533035,275.9360927150063,0.9623671663483606
132,241029_mACmChPOLR2A_ActivePolII,I18,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,"EU 1 mM, 30 mins",10 µM 5PhIAA,30,No primary,No secondary,0.5,970,426.83502962696065,279.48858938866346,0.97475701402523
133,241029_mACmChPOLR2A_ActivePolII,I19,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,"EU 1 mM, 30 mins",Vehicle,30,No primary,No secondary,0.0,961,431.8832847572657,284.5368445189685,0.9923635363795672
134,241029_mACmChPOLR2A_ActivePolII,I20,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,"EU 1 mM, 30 mins",10 µM 5PhIAA,30,No primary,No secondary,0.5,841,390.37957966986653,243.03313943156934,0.8476133419960754
135,241029_mACmChPOLR2A_ActivePolII,I21,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,"EU 1 mM, 30 mins",Vehicle,30,No primary,No secondary,0.0,806,366.23045782689087,218.88401758859368,0.7633897751217377
148,241029_mACmChPOLR2A_ActivePolII,J14,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,"EU 1 mM, 30 mins",10 µM 5PhIAA,120,No primary,No secondary,2.0,1627,408.3005153465587,260.9540751082615,0.9101152058001053
149,241029_mACmChPOLR2A_ActivePolII,J15,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,"EU 1 mM, 30 mins",Vehicle,120,No primary,No secondary,0.0,1391,455.4678593793052,308.121419141008,1.074618162895518
150,241029_mACmChPOLR2A_ActivePolII,J16,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,"EU 1 mM, 30 mins",10 µM 5PhIAA,120,No primary,No secondary,2.0,1064,491.2715057155756,343.9250654772784,1.199488575209295
151,241029_mACmChPOLR2A_ActivePolII,J17,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,"EU 1 mM, 30 mins",Vehicle,120,No primary,No secondary,0.0,1290,415.0668451441491,267.7204049058519,0.9337137628783596
152,241029_mACmChPOLR2A_ActivePolII,J18,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,"EU 1 mM, 30 mins",10 µM 5PhIAA,120,No primary,No secondary,2.0,1060,456.5921253297832,309.245685091486,1.0785392035478583
153,241029_mACmChPOLR2A_ActivePolII,J19,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,"EU 1 mM, 30 mins",Vehicle,120,No primary,No secondary,0.0,1079,429.084056317323,281.7376160790258,0.9826008209797674
154,241029_mACmChPOLR2A_ActivePolII,J20,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,"EU 1 mM, 30 mins",10 µM 5PhIAA,120,No primary,No secondary,2.0,867,464.76582201928795,317.41938178099076,1.1070461568944578
155,241029_mACmChPOLR2A_ActivePolII,J21,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,"EU 1 mM, 30 mins",Vehicle,120,No primary,No secondary,0.0,592,454.80762225178347,307.4611820134863,1.0723154901016863
168,241029_mACmChPOLR2A_ActivePolII,K14,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,"EU 1 mM, 30 mins",10 µM 5PhIAA,90,No primary,No secondary,1.5,1357,431.9114514325085,284.5650111942113,0.9924617717469385
169,241029_mACmChPOLR2A_ActivePolII,K15,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,"EU 1 mM, 30 mins",Vehicle,90,No primary,No secondary,0.0,1454,447.97702625714334,300.63058601884615,1.0484927953351064
170,241029_mACmChPOLR2A_ActivePolII,K16,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,"EU 1 mM, 30 mins",10 µM 5PhIAA,90,No primary,No secondary,1.5,1143,476.29875572234266,328.95231548404547,1.14726893680805
171,241029_mACmChPOLR2A_ActivePolII,K17,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,"EU 1 mM, 30 mins",Vehicle,90,No primary,No secondary,0.0,1117,397.328678905235,249.9822386669378,0.8718493340115245
172,241029_mACmChPOLR2A_ActivePolII,K18,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,"EU 1 mM, 30 mins",10 µM 5PhIAA,90,No primary,No secondary,1.5,1489,459.031626038559,311.6851858002618,1.0870473162826215
