,WELL,RFP_Intensity,GFP_Intensity,DAPI_Intensity,NucleusArea,CELL,EU,DRUG,DRUG TIME MINUTES,PRIMARY,SECONDARY,TotalNumberCells,Alexa647_Intensity,NucleusArea2,EXPERIMENT,GFP_Intensity_BGS,GFP_Intensity_FC,RFP_Intensity_BGS,RFP_Intensity_FC,Alexa647_Intensity_BGS,Alexa647_Intensity_FC,TIME_IN_AUXIN,TIME_IN_AUXIN_HRS
153,J16,219.1628993152768,260.84079662442457,541.645260648723,1744.281015037594,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,"EU 1 mM, 30 mins",Vehicle,30,No primary,No secondary,1064,206.6365384432613,1673.3951847239518,241026_mACmChPOLR2A_ActivePolII,73.76834640415652,0.380500316587614,41.94244555462589,0.5773518170560097,73.10365046620853,0.7593483217488851,0,0.0
154,J17,220.48394755793052,217.82019502521996,549.5085457569779,1847.9837209302325,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,"EU 1 mM, 30 mins",10 µM 5PhIAA,30,No primary,No secondary,1290,257.802860698988,1691.0611730838432,241026_mACmChPOLR2A_ActivePolII,30.747744804951907,0.15859819560737975,43.26349379727961,0.5955364887705242,124.26997272193526,1.2908274023032573,30,0.5
155,J18,218.95218555477146,259.4355994488283,532.5614766244028,1763.5330188679245,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,"EU 1 mM, 30 mins",Vehicle,30,No primary,No secondary,1060,238.19945047280666,1625.5858156028369,241026_mACmChPOLR2A_ActivePolII,72.36314922856027,0.37325224886961156,41.73173179412055,0.574451271537079,104.66656249575391,1.0872012282220251,0,0.0
156,J19,223.28363787878072,219.04906857053106,568.3398582316147,1671.9620018535682,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,"EU 1 mM, 30 mins",10 µM 5PhIAA,30,No primary,No secondary,1079,228.6447534713682,1654.7703798548869,241026_mACmChPOLR2A_ActivePolII,31.97661835026301,0.16493677842547952,46.06318411812981,0.6340751641520487,95.11186549431545,0.9879538843945768,30,0.5
157,J20,221.31605609415516,264.70801083479546,561.817972269124,1714.2583621683968,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,"EU 1 mM, 30 mins",Vehicle,30,No primary,No secondary,867,234.57148291887833,1626.4908328968047,241026_mACmChPOLR2A_ActivePolII,77.6355606145274,0.4004475744981605,44.095602333504246,0.6069907415930358,101.03859494182558,1.0495165017293542,0,0.0
158,J21,223.26001256792665,216.40974415145763,558.6161776422396,1729.7601351351352,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,"EU 1 mM, 30 mins",10 µM 5PhIAA,30,No primary,No secondary,592,237.91361976134303,1637.1419185282523,241026_mACmChPOLR2A_ActivePolII,29.337293931189578,0.15132302908734505,46.03955880727574,0.6337499538318172,104.38073178429028,1.084232223669311,30,0.5
171,K14,223.24066020508215,272.76619957249954,561.8752448663441,1756.8563006632278,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,"EU 1 mM, 30 mins",Vehicle,60,No primary,No secondary,1357,231.6070912761007,1729.4244492708656,241026_mACmChPOLR2A_ActivePolII,85.69374935223149,0.44201206001638793,46.02020644443124,0.6334835620727088,98.07420329904795,1.018724526163235,0,0.0
172,K15,226.41678326458808,203.18231543246443,595.8481595256217,1909.5935350756533,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,"EU 1 mM, 30 mins",10 µM 5PhIAA,60,No primary,No secondary,1454,239.60425754917097,1753.5014586709888,241026_mACmChPOLR2A_ActivePolII,16.109865212196382,0.08309538050156327,49.196329503937164,0.6772039602362107,106.07136957211821,1.1017933571925378,60,1.0
173,K16,223.9414171072812,267.6985474677738,570.2350233491369,1834.1863517060367,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,"EU 1 mM, 30 mins",Vehicle,60,No primary,No secondary,1143,232.5732412461177,1666.802067381317,241026_mACmChPOLR2A_ActivePolII,80.62609724750573,0.4158728916034249,46.7209633466303,0.6431297156397974,99.04035326906495,1.0287601995340094,0,0.0
174,K17,221.1050958059817,200.6694549430223,563.3455757631799,1760.5559534467322,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,"EU 1 mM, 30 mins",10 µM 5PhIAA,60,No primary,No secondary,1117,235.08881385721128,1650.9967346938774,241026_mACmChPOLR2A_ActivePolII,13.597004722754235,0.07013393757406709,43.88464204533079,0.6040868025381475,101.55592588015853,1.0548901647038658,60,1.0
175,K18,216.09363869825088,260.2564831321681,525.2727392131378,1847.680993955675,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,"EU 1 mM, 30 mins",Vehicle,60,No primary,No secondary,1489,228.400810972032,1766.0547990700763,241026_mACmChPOLR2A_ActivePolII,73.18403291190006,0.37748640235979736,38.87318493759997,0.5351024162205136,94.86792299497924,0.9854199845647754,0,0.0
176,K19,229.1054899009521,199.79928418538788,644.2827993913083,1693.7903225806451,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,"EU 1 mM, 30 mins",10 µM 5PhIAA,60,No primary,No secondary,930,235.99977695822585,1672.7633228840125,241026_mACmChPOLR2A_ActivePolII,12.726833965119823,0.06564555922610778,51.885036140301196,0.7142149080125765,102.4668889811731,1.064352596436332,60,1.0
177,K20,225.61291929983338,267.32549851961517,575.5503970501823,1664.0632054176072,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,"EU 1 mM, 30 mins",Vehicle,60,No primary,No secondary,886,232.46338387145363,1650.5231431646932,241026_mACmChPOLR2A_ActivePolII,80.25304829934711,0.4139486890179508,48.39246553918247,0.6661385034041213,98.93049589440088,1.0276190798696576,0,0.0
178,K21,230.70927902700993,203.11343204870292,631.7638809790732,1730.6662857142858,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,"EU 1 mM, 30 mins",10 µM 5PhIAA,60,No primary,No secondary,875,237.67615681517958,1634.104077253219,241026_mACmChPOLR2A_ActivePolII,16.040981828434866,0.08274007703325338,53.488825266359015,0.7362916027274374,104.14326883812683,1.0817656287934487,60,1.0
191,L14,223.49746730545965,270.5700670404782,582.6458089995658,1838.099674267101,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,"EU 1 mM, 30 mins",Vehicle,90,No primary,No secondary,1535,224.58911973078392,1746.1393797932644,241026_mACmChPOLR2A_ActivePolII,83.49761682021014,0.43068431357180453,46.27701354480874,0.6370185978598504,91.05623175373117,0.9458268680978412,0,0.0
