WELL,CELL,EU,DRUG,DRUG TIME MINUTES,PRIMARY,SECONDARY
G11,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,No addition,10 µM 5PhIAA,60,pSer2 3E10,Goat anti-rat Alexa647
G12,HCT116 OsTIRF74G mAC-POLR2A-delHyg Clone 5,No addition,Vehicle,120,Total Pol II F12,Goat anti-mouse Alexa647
G13,HCT116 OsTIRF74G mAC-POLR2A-delHyg Clone 5,No addition,Vehicle,120,pSer2 3E10,Goat anti-rat Alexa647
G14,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,"EU 1 mM, 30 mins",Vehicle,60,No primary,No secondary
G15,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,"EU 1 mM, 30 mins",10 µM 5PhIAA,60,No primary,No secondary
G16,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,"EU 1 mM, 30 mins",Vehicle,60,No primary,No secondary
G17,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,"EU 1 mM, 30 mins",10 µM 5PhIAA,60,No primary,No secondary
G18,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,"EU 1 mM, 30 mins",Vehicle,60,No primary,No secondary
G19,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,"EU 1 mM, 30 mins",10 µM 5PhIAA,60,No primary,No secondary
G20,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,"EU 1 mM, 30 mins",Vehicle,60,No primary,No secondary
G21,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,"EU 1 mM, 30 mins",10 µM 5PhIAA,60,No primary,No secondary
G22,HCT116 OsTIRF74G mAC-POLR2A-delHyg Clone 5,"EU 1 mM, 30 mins",Vehicle,120,No primary,No secondary
H03,HCT116 OsTIRF74G,No addition,No addition,No addition,pSer2 3E10,Goat anti-rat Alexa647
H04,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,No addition,Vehicle,90,Total Pol II F12,Goat anti-mouse Alexa647
H05,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,No addition,10 µM 5PhIAA,90,Total Pol II F12,Goat anti-mouse Alexa647
H06,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,No addition,Vehicle,90,Total Pol II F12,Goat anti-mouse Alexa647
H07,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,No addition,10 µM 5PhIAA,90,Total Pol II F12,Goat anti-mouse Alexa647
H08,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,No addition,Vehicle,90,pSer2 3E10,Goat anti-rat Alexa647
H09,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,No addition,10 µM 5PhIAA,90,pSer2 3E10,Goat anti-rat Alexa647
H10,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,No addition,Vehicle,90,pSer2 3E10,Goat anti-rat Alexa647
H11,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,No addition,10 µM 5PhIAA,90,pSer2 3E10,Goat anti-rat Alexa647
H12,HCT116 mChPOLR2A Clone 2,No addition,Vehicle,120,Total Pol II F12,Goat anti-mouse Alexa647
H13,HCT116 mChPOLR2A Clone 2,No addition,Vehicle,120,pSer2 3E10,Goat anti-rat Alexa647
H14,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,"EU 1 mM, 30 mins",Vehicle,90,No primary,No secondary
H15,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,"EU 1 mM, 30 mins",10 µM 5PhIAA,90,No primary,No secondary
H16,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,"EU 1 mM, 30 mins",Vehicle,90,No primary,No secondary
H17,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,"EU 1 mM, 30 mins",10 µM 5PhIAA,90,No primary,No secondary
H18,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,"EU 1 mM, 30 mins",Vehicle,90,No primary,No secondary
H19,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,"EU 1 mM, 30 mins",10 µM 5PhIAA,90,No primary,No secondary
H20,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,"EU 1 mM, 30 mins",Vehicle,90,No primary,No secondary
H21,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,"EU 1 mM, 30 mins",10 µM 5PhIAA,90,No primary,No secondary
H22,HCT116 mChPOLR2A Clone 2,"EU 1 mM, 30 mins",Vehicle,120,No primary,No secondary
I03,HCT116 OsTIRF74G,No addition,No addition,No addition,Total Pol II F12,Goat anti-mouse Alexa647
I04,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,No addition,Vehicle,120,Total Pol II F12,Goat anti-mouse Alexa647
I05,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,No addition,10 µM 5PhIAA,120,Total Pol II F12,Goat anti-mouse Alexa647
I06,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,No addition,Vehicle,120,Total Pol II F12,Goat anti-mouse Alexa647
I07,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,No addition,10 µM 5PhIAA,120,Total Pol II F12,Goat anti-mouse Alexa647
I08,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,No addition,Vehicle,120,pSer2 3E10,Goat anti-rat Alexa647
I09,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,No addition,10 µM 5PhIAA,120,pSer2 3E10,Goat anti-rat Alexa647
I10,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,No addition,Vehicle,120,pSer2 3E10,Goat anti-rat Alexa647
I11,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,No addition,10 µM 5PhIAA,120,pSer2 3E10,Goat anti-rat Alexa647
I12,HCT116 OsTIRF74G mAC-POLR2A-delHyg Clone 5,No addition,Vehicle,120,Total Pol II F12,Goat anti-mouse Alexa647
I13,HCT116 OsTIRF74G mAC-POLR2A-delHyg Clone 5,No addition,Vehicle,120,pSer2 3E10,Goat anti-rat Alexa647
I14,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,"EU 1 mM, 30 mins",Vehicle,120,No primary,No secondary
I15,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,"EU 1 mM, 30 mins",10 µM 5PhIAA,120,No primary,No secondary
I16,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,"EU 1 mM, 30 mins",Vehicle,120,No primary,No secondary
I17,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,"EU 1 mM, 30 mins",10 µM 5PhIAA,120,No primary,No secondary
I18,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,"EU 1 mM, 30 mins",Vehicle,120,No primary,No secondary
I19,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,"EU 1 mM, 30 mins",10 µM 5PhIAA,120,No primary,No secondary
I20,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,"EU 1 mM, 30 mins",Vehicle,120,No primary,No secondary
I21,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,"EU 1 mM, 30 mins",10 µM 5PhIAA,120,No primary,No secondary
I22,HCT116 OsTIRF74G mAC-POLR2A-delHyg Clone 5,"EU 1 mM, 30 mins",10 µM 5PhIAA,120,No primary,No secondary
J03,HCT116 OsTIRF74G,No addition,No addition,No addition,pSer2 3E10,Goat anti-rat Alexa647
J04,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,No addition,Vehicle,30,Total Pol II F12,Goat anti-mouse Alexa647
J05,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,No addition,10 µM 5PhIAA,30,Total Pol II F12,Goat anti-mouse Alexa647
J06,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,No addition,Vehicle,30,Total Pol II F12,Goat anti-mouse Alexa647
J07,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,No addition,10 µM 5PhIAA,30,Total Pol II F12,Goat anti-mouse Alexa647
