,WELL,IF_647_Intensity,GFP_488_Intensity,DAPI_Intensity,NucleusArea,CELL,DRUG,DRUG TIME MINUTES,PRIMARY,SECONDARY,TotalNumberCells,EXPERIMENT,RFP_561_Intensity
66,F09,293.6209774297441,263.9710813764492,934.2185202543458,1774.4885892116183,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,120,Santa Cruz mouse anti-RPB1 (F12),Alexa647 goat anti-mouse,964,241021_mACmChPOLR2A_TotalPolII,136.41492470230543
67,F10,267.206476593306,192.45009413272618,888.7119545407855,1752.5974025974026,HCT116 mChPOLR2A Clone 2,10 µM 5PhIAA,120,Santa Cruz mouse anti-RPB1 (F12),Alexa647 goat anti-mouse,2695,241021_mACmChPOLR2A_TotalPolII,144.2431910810809
68,F11,186.62331654688313,251.2901499407871,944.5484907922206,1881.7575471698112,HCT116 OsTIRF74G mAC-POLR2A-delHyg Clone 5,10 µM 5PhIAA,120,Santa Cruz mouse anti-RPB1 (F12),Alexa647 goat anti-mouse,1060,241021_mACmChPOLR2A_TotalPolII,123.62796831461252
69,F12,252.83740810721883,203.77576874595715,924.1656866682661,1768.5257890685143,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,120,Santa Cruz mouse anti-RPB1 (F12),Alexa647 goat anti-mouse,1299,241021_mACmChPOLR2A_TotalPolII,137.15456797620305
70,F13,258.60545080042954,192.7136746412576,871.5734421166499,1698.4176896443184,HCT116 mChPOLR2A Clone 2,Vehicle,120,Santa Cruz mouse anti-RPB1 (F12),Alexa647 goat anti-mouse,3177,241021_mACmChPOLR2A_TotalPolII,145.29852651977922
71,F14,270.71457117565757,370.8135251106438,1017.9530220478448,1877.1119873817036,HCT116 OsTIRF74G mAC-POLR2A-delHyg Clone 5,Vehicle,120,Santa Cruz mouse anti-RPB1 (F12),Alexa647 goat anti-mouse,1268,241021_mACmChPOLR2A_TotalPolII,123.73656657823256
72,F15,281.7241664042248,262.87259079237015,927.7779138425539,1787.7667161961367,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,120,Santa Cruz mouse anti-RPB1 (F12),Alexa647 goat anti-mouse,1346,241021_mACmChPOLR2A_TotalPolII,136.34104362953653
73,F16,267.7790827370722,194.3655665355073,936.9684183894542,1831.2711505922166,HCT116 mChPOLR2A Clone 2,10 µM 5PhIAA,120,Santa Cruz mouse anti-RPB1 (F12),Alexa647 goat anti-mouse,2364,241021_mACmChPOLR2A_TotalPolII,144.5118866597502
74,F17,182.85012495590647,245.61336630109645,981.1484537347047,1814.826937547028,HCT116 OsTIRF74G mAC-POLR2A-delHyg Clone 5,10 µM 5PhIAA,120,Santa Cruz mouse anti-RPB1 (F12),Alexa647 goat anti-mouse,1329,241021_mACmChPOLR2A_TotalPolII,123.64203084824146
75,F18,250.89261205245876,204.8663461958501,899.3217808721885,1723.2615868028279,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,120,Santa Cruz mouse anti-RPB1 (F12),Alexa647 goat anti-mouse,1273,241021_mACmChPOLR2A_TotalPolII,138.0902480240217
76,F19,261.7199878763871,194.19350948608798,942.4897503176186,1710.516368545393,HCT116 mChPOLR2A Clone 2,Vehicle,120,Santa Cruz mouse anti-RPB1 (F12),Alexa647 goat anti-mouse,2963,241021_mACmChPOLR2A_TotalPolII,143.58073233459643
77,F20,286.36527675296736,377.75037395976176,959.9749432847569,1822.217356687898,HCT116 OsTIRF74G mAC-POLR2A-delHyg Clone 5,Vehicle,120,Santa Cruz mouse anti-RPB1 (F12),Alexa647 goat anti-mouse,1256,241021_mACmChPOLR2A_TotalPolII,123.61772316148803
