,index,WELL,IF_647_Intensity,IF_488_Intensity,DAPI_Intensity,NucleusArea,CELL,SIRNA,PRIMARY_1,PRIMARY_2,SECONDARY_1,SECONDARY_2,TotalNumberCells,EXPERIMENT,SIRNA_HUE,IF_647_Intensity_BGS,IF_647_FC
47,47,E10,2455.9797976927193,486.57951297293835,1435.9479003170723,1366.4440881763528,HCT116,INTS8 pool,Total Pol II F12,CDK9,Goat anti-mouse Alexa647,Goat anti-rabbit Alexa488+,2495,250822_PTEFB_SIRNA,INTS8 pool,2296.8743752825426,1.457462031323772
48,48,E11,1672.1002779512378,1805.709651062006,1694.219629639454,1164.1849206349207,HCT116,SPT5 pool,Total Pol II F12,CDK9,Goat anti-mouse Alexa647,Goat anti-rabbit Alexa488+,1260,250822_PTEFB_SIRNA,SPT5 pool,1512.994855541061,0.9600579723773681
49,49,E12,1056.9086139276696,2187.66655272625,1139.1754188571579,1214.4844720496894,HCT116,POLR2B,Total Pol II F12,CDK9,Goat anti-mouse Alexa647,Goat anti-rabbit Alexa488+,161,250822_PTEFB_SIRNA,POLR2B,897.8031915174929,0.5696933525487602
50,50,E13,1926.1836088637056,917.4135440437307,1379.5776516576077,1494.895416397676,HCT116,Scrambled,Total Pol II F12,CDK9,Goat anti-mouse Alexa647,Goat anti-rabbit Alexa488+,3098,250822_PTEFB_SIRNA,Control,1767.0781864535288,1.1212843814410516
51,51,E14,1736.8439178765393,1436.1932531215537,1227.8452260560773,1752.3023909985936,HCT116,HEXIM1 #1,Total Pol II F12,CDK9,Goat anti-mouse Alexa647,Goat anti-rabbit Alexa488+,3555,250822_PTEFB_SIRNA,HEXIM1,1577.7384954663626,1.0011404965137687
52,52,E15,1936.0233099575266,2319.0377738335737,1476.6877278692355,1443.709887507401,HCT116,HEXIM1 #2,Total Pol II F12,CDK9,Goat anti-mouse Alexa647,Goat anti-rabbit Alexa488+,1689,250822_PTEFB_SIRNA,HEXIM1,1776.91788754735,1.1275280797896192
53,53,E16,2309.6353109741353,1787.511770358364,1438.2522900356912,1259.6675335934115,HCT116,HEXIM1 #3,Total Pol II F12,CDK9,Goat anti-mouse Alexa647,Goat anti-rabbit Alexa488+,2307,250822_PTEFB_SIRNA,HEXIM1,2150.5298885639586,1.3646003863068719
54,54,E17,1865.8658610946216,1061.4416128570144,1135.1931486664625,1553.2306677223542,HCT116,HEXIM2 #1,Total Pol II F12,CDK9,Goat anti-mouse Alexa647,Goat anti-rabbit Alexa488+,3789,250822_PTEFB_SIRNA,HEXIM2,1706.7604386844448,1.0830102693979886
55,55,E18,1793.7120234071194,954.9629886366682,1192.8569602909613,1466.3953672018952,HCT116,HEXIM2 #2,Total Pol II F12,CDK9,Goat anti-mouse Alexa647,Goat anti-rabbit Alexa488+,3799,250822_PTEFB_SIRNA,HEXIM2,1634.6066009969427,1.0372256675166183
56,56,E19,1838.1950106264808,1015.2698104818511,1450.7435001401755,1395.8785391875256,HCT116,HEXIM2 #3,Total Pol II F12,CDK9,Goat anti-mouse Alexa647,Goat anti-rabbit Alexa488+,2437,250822_PTEFB_SIRNA,HEXIM2,1679.089588216304,1.0654519674003917
57,57,E20,1623.213848951154,947.472499485423,1188.4666979536246,1614.6936594633103,HCT116,LARP7 #1,Total Pol II F12,CDK9,Goat anti-mouse Alexa647,Goat anti-rabbit Alexa488+,4211,250822_PTEFB_SIRNA,LARP7,1464.1084265409772,0.9290375060944166
58,58,E21,2299.8505881245337,1487.2141613662614,1523.5758937689072,1578.094688221709,HCT116,LARP7 #2,Total Pol II F12,CDK9,Goat anti-mouse Alexa647,Goat anti-rabbit Alexa488+,1299,250822_PTEFB_SIRNA,LARP7,2140.745165714357,1.3583915739339416
59,59,E22,1722.3494323694035,952.5368830083958,1217.4896304076567,1608.1216494845362,HCT116,LARP7 #3,Total Pol II F12,CDK9,Goat anti-mouse Alexa647,Goat anti-rabbit Alexa488+,2910,250822_PTEFB_SIRNA,LARP7,1563.2440099592268,0.9919431444436867
60,60,F03,1805.4868628846568,1034.700657363093,1287.267210723839,1669.7887617065558,HCT116,LARP7 #3,Total Pol II F12,CDK9,Goat anti-mouse Alexa647,Goat anti-rabbit Alexa488+,2883,250822_PTEFB_SIRNA,LARP7,1646.38144047448,1.044697291410429
61,61,F04,1678.31556911069,1003.1528292081482,1115.537032832276,1653.7204803202135,HCT116,No transfection,Total Pol II F12,CDK9,Goat anti-mouse Alexa647,Goat anti-rabbit Alexa488+,2998,250822_PTEFB_SIRNA,Control,1519.2101467005132,0.9640018323359301
62,62,F05,1859.7694554344193,1712.6127392387555,1303.7962988192442,1592.836960051965,HCT116,HEXIM1 pool,Total Pol II F12,CDK9,Goat anti-mouse Alexa647,Goat anti-rabbit Alexa488+,3079,250822_PTEFB_SIRNA,HEXIM1,1700.6640330242426,1.079141847218304
63,63,F06,1773.8407890277042,945.8428531398939,1262.3478011180143,1543.5829471733086,HCT116,HEXIM2 pool,Total Pol II F12,CDK9,Goat anti-mouse Alexa647,Goat anti-rabbit Alexa488+,3237,250822_PTEFB_SIRNA,HEXIM2,1614.7353666175275,1.024616545339455
64,64,F07,1966.7673254938502,1135.5902563787179,1394.3343874582322,1537.7804305283757,HCT116,LARP7 pool,Total Pol II F12,CDK9,Goat anti-mouse Alexa647,Goat anti-rabbit Alexa488+,2555,250822_PTEFB_SIRNA,LARP7,1807.6619030836735,1.147036432452184
65,65,F08,1810.0059018805316,2352.2334768204846,1280.6424855183568,1462.474231912785,HCT116,HEXIM1 pool + HEXIM2 pool,Total Pol II F12,CDK9,Goat anti-mouse Alexa647,Goat anti-rabbit Alexa488+,2018,250822_PTEFB_SIRNA,HEXIM1 pool + HEXIM2 pool,1650.9004794703549,1.0475648090358756
66,66,F09,1920.0426155069367,1162.662086723594,1421.4105875224145,1496.69247219846,HCT116,HEXIM2 pool + LARP7 pool,Total Pol II F12,CDK9,Goat anti-mouse Alexa647,Goat anti-rabbit Alexa488+,2338,250822_PTEFB_SIRNA,HEXIM2 pool + LARP7 pool,1760.93719309676,1.1173876665190605
67,67,F10,1858.3303441709622,1648.4798737848323,1346.818937944417,1545.4166666666667,HCT116,HEXIM1 pool + LARP7 pool,Total Pol II F12,CDK9,Goat anti-mouse Alexa647,Goat anti-rabbit Alexa488+,2376,250822_PTEFB_SIRNA,HEXIM1 pool + LARP7 pool,1699.2249217607855,1.078228671448697
68,68,F11,2316.72128583665,502.4486752465479,1438.1263968337644,1424.2531026701768,HCT116,INTS8 pool,Total Pol II F12,CDK9,Goat anti-mouse Alexa647,Goat anti-rabbit Alexa488+,2659,250822_PTEFB_SIRNA,INTS8 pool,2157.6158634264734,1.3690967311780446
69,69,F12,1691.6052093870815,2049.8499795416824,1785.0634826588082,1015.7564102564103,HCT116,SPT5 pool,Total Pol II F12,CDK9,Goat anti-mouse Alexa647,Goat anti-rabbit Alexa488+,1014,250822_PTEFB_SIRNA,SPT5 pool,1532.4997869769047,0.9724346601480341
70,70,F13,1136.298372457349,2253.845908888216,1029.015435549629,1211.8947368421052,HCT116,POLR2B,Total Pol II F12,CDK9,Goat anti-mouse Alexa647,Goat anti-rabbit Alexa488+,152,250822_PTEFB_SIRNA,POLR2B,977.1929500471722,0.6200694462429296
71,71,F14,1953.2314938036732,989.4480405429548,1303.6234330502643,1519.9399421128799,HCT116,Scrambled,Total Pol II F12,CDK9,Goat anti-mouse Alexa647,Goat anti-rabbit Alexa488+,2764,250822_PTEFB_SIRNA,Control,1794.1260713934964,1.1384473859796727
72,72,F15,1801.0496013797285,1413.7238786629734,1184.6017762822378,1690.2663360560093,HCT116,HEXIM1 #1,Total Pol II F12,CDK9,Goat anti-mouse Alexa647,Goat anti-rabbit Alexa488+,3428,250822_PTEFB_SIRNA,HEXIM1,1641.9441789695518,1.041881664993903
73,73,F16,1879.3039825224437,2271.471662319876,1332.22056976357,1483.3461300309598,HCT116,HEXIM1 #2,Total Pol II F12,CDK9,Goat anti-mouse Alexa647,Goat anti-rabbit Alexa488+,1615,250822_PTEFB_SIRNA,HEXIM1,1720.198560112267,1.0915373146574665
74,74,F17,2362.4717284099806,1909.3403080340163,1335.7242401699646,1274.3546404425322,HCT116,HEXIM1 #3,Total Pol II F12,CDK9,Goat anti-mouse Alexa647,Goat anti-rabbit Alexa488+,1627,250822_PTEFB_SIRNA,HEXIM1,2203.366305999804,1.3981272840391195
75,75,F18,1853.2084764455321,1094.987782255291,1137.5759219538359,1596.409389197375,HCT116,HEXIM2 #1,Total Pol II F12,CDK9,Goat anti-mouse Alexa647,Goat anti-rabbit Alexa488+,3962,250822_PTEFB_SIRNA,HEXIM2,1694.1030540353554,1.074978633997973
