,index,WELL,IF_647_Intensity,IF_488_Intensity,DAPI_Intensity,NucleusArea,CELL,SIRNA,PRIMARY_1,PRIMARY_2,SECONDARY_1,SECONDARY_2,TotalNumberCells,EXPERIMENT,SIRNA_HUE,IF_488_Intensity_BGS,IF_488_FC
44,164,K07,1623.3350049176559,763.740493653841,1432.8548489127772,1375.297756628144,HCT116,HEXIM1 pool + HEXIM2 pool,pSer2 3E10,HEXIM1,Goat anti-rat Alexa647,Goat anti-rabbit Alexa488+,1471,250822_PTEFB_SIRNA,HEXIM1 pool + HEXIM2 pool,523.9845654797368,0.31385456095990877
45,165,K08,1639.5087993697214,2716.385375432212,1446.0375798459443,1476.9272349272348,HCT116,HEXIM2 pool + LARP7 pool,pSer2 3E10,HEXIM1,Goat anti-rat Alexa647,Goat anti-rabbit Alexa488+,2405,250822_PTEFB_SIRNA,HEXIM2 pool + LARP7 pool,2476.629447258108,1.4834434047077563
46,166,K09,1632.4549773533327,990.1550739276624,1436.3045028546026,1534.0377358490566,HCT116,HEXIM1 pool + LARP7 pool,pSer2 3E10,HEXIM1,Goat anti-rat Alexa647,Goat anti-rabbit Alexa488+,1802,250822_PTEFB_SIRNA,HEXIM1 pool + LARP7 pool,750.3991457535583,0.449471625599402
47,167,K10,2184.0692703853765,5723.6932459756945,1395.412616265424,1452.3370206489676,HCT116,INTS8 pool,pSer2 3E10,HEXIM1,Goat anti-rat Alexa647,Goat anti-rabbit Alexa488+,2712,250822_PTEFB_SIRNA,INTS8 pool,5483.93731780159,3.2847508354267303
48,168,K11,1793.9199057299174,2817.803282033752,1713.254961581191,1087.0303370786517,HCT116,SPT5 pool,pSer2 3E10,HEXIM1,Goat anti-rat Alexa647,Goat anti-rabbit Alexa488+,890,250822_PTEFB_SIRNA,SPT5 pool,2578.047353859648,1.5441903706432067
49,169,K12,1298.8633858533058,3296.772686255635,1094.7242263986202,1194.0873015873017,HCT116,POLR2B,pSer2 3E10,HEXIM1,Goat anti-rat Alexa647,Goat anti-rabbit Alexa488+,126,250822_PTEFB_SIRNA,POLR2B,3057.016758081531,1.8310818975675842
50,170,K13,1504.2756790403766,2156.776612712594,1240.7148021577405,1548.7516206073012,HCT116,Scrambled,pSer2 3E10,HEXIM1,Goat anti-rat Alexa647,Goat anti-rabbit Alexa488+,2931,250822_PTEFB_SIRNA,Control,1917.02068453849,1.14825077861985
51,171,K14,1446.080669834853,948.5520739044908,1186.8176492701948,1732.9564371839751,HCT116,HEXIM1 #1,pSer2 3E10,HEXIM1,Goat anti-rat Alexa647,Goat anti-rabbit Alexa488+,2571,250822_PTEFB_SIRNA,HEXIM1,708.7961457303867,0.42455239673827533
52,172,K15,1560.5540668927429,727.1367298095333,1355.6679731135114,1371.525641025641,HCT116,HEXIM1 #2,pSer2 3E10,HEXIM1,Goat anti-rat Alexa647,Goat anti-rabbit Alexa488+,1170,250822_PTEFB_SIRNA,HEXIM1,487.3808016354292,0.2919297582315742
53,173,K16,2357.1009397654034,642.1732322504115,1385.5754833777796,1146.084274543875,HCT116,HEXIM1 #3,pSer2 3E10,HEXIM1,Goat anti-rat Alexa647,Goat anti-rabbit Alexa488+,1151,250822_PTEFB_SIRNA,HEXIM1,402.41730407630735,0.2410386003982855
54,174,K17,1382.2216547061928,1952.3478177329234,1061.2348412044935,1626.4239316239316,HCT116,HEXIM2 #1,pSer2 3E10,HEXIM1,Goat anti-rat Alexa647,Goat anti-rabbit Alexa488+,3510,250822_PTEFB_SIRNA,HEXIM2,1712.5918895588193,1.0258026877354078
