,EXPERIMENT,WELL,CELL,SIRNA,PRIMARY_1,PRIMARY_2,SECONDARY_1,SECONDARY_2,TotalNumberCells,IF_488_Intensity_BGS,IF_488_FC
58,250822_PTEFB_SIRNA,E21,HCT116,LARP7 #2,Total Pol II F12,CDK9,Goat anti-mouse Alexa647,Goat anti-rabbit Alexa488+,1299,1247.4582331921572,1.699407715970394
59,250822_PTEFB_SIRNA,E22,HCT116,LARP7 #3,Total Pol II F12,CDK9,Goat anti-mouse Alexa647,Goat anti-rabbit Alexa488+,2910,712.7809548342916,0.9710188463324301
60,250822_PTEFB_SIRNA,F03,HCT116,LARP7 #3,Total Pol II F12,CDK9,Goat anti-mouse Alexa647,Goat anti-rabbit Alexa488+,2883,794.9447291889887,1.0829502508447237
61,250822_PTEFB_SIRNA,F04,HCT116,No transfection,Total Pol II F12,CDK9,Goat anti-mouse Alexa647,Goat anti-rabbit Alexa488+,2998,763.396901034044,1.0399727617696546
62,250822_PTEFB_SIRNA,F05,HCT116,HEXIM1 pool,Total Pol II F12,CDK9,Goat anti-mouse Alexa647,Goat anti-rabbit Alexa488+,3079,1472.8568110646513,2.0064673611058366
63,250822_PTEFB_SIRNA,F06,HCT116,HEXIM2 pool,Total Pol II F12,CDK9,Goat anti-mouse Alexa647,Goat anti-rabbit Alexa488+,3237,706.0869249657898,0.9618995943151836
64,250822_PTEFB_SIRNA,F07,HCT116,LARP7 pool,Total Pol II F12,CDK9,Goat anti-mouse Alexa647,Goat anti-rabbit Alexa488+,2555,895.8343282046137,1.220391776714153
65,250822_PTEFB_SIRNA,F08,HCT116,HEXIM1 pool + HEXIM2 pool,Total Pol II F12,CDK9,Goat anti-mouse Alexa647,Goat anti-rabbit Alexa488+,2018,2112.4775486463805,2.877820315312223
66,250822_PTEFB_SIRNA,F09,HCT116,HEXIM2 pool + LARP7 pool,Total Pol II F12,CDK9,Goat anti-mouse Alexa647,Goat anti-rabbit Alexa488+,2338,922.9061585494899,1.257271630603768
67,250822_PTEFB_SIRNA,F10,HCT116,HEXIM1 pool + LARP7 pool,Total Pol II F12,CDK9,Goat anti-mouse Alexa647,Goat anti-rabbit Alexa488+,2376,1408.7239456107282,1.9190993967926782
68,250822_PTEFB_SIRNA,F11,HCT116,INTS8 pool,Total Pol II F12,CDK9,Goat anti-mouse Alexa647,Goat anti-rabbit Alexa488+,2659,262.69274707244375,0.3578653532647803
69,250822_PTEFB_SIRNA,F12,HCT116,SPT5 pool,Total Pol II F12,CDK9,Goat anti-mouse Alexa647,Goat anti-rabbit Alexa488+,1014,1810.0940513675782,2.4658844005179095
70,250822_PTEFB_SIRNA,F13,HCT116,POLR2B,Total Pol II F12,CDK9,Goat anti-mouse Alexa647,Goat anti-rabbit Alexa488+,152,2014.0899807141118,2.743787297091
71,250822_PTEFB_SIRNA,F14,HCT116,Scrambled,Total Pol II F12,CDK9,Goat anti-mouse Alexa647,Goat anti-rabbit Alexa488+,2764,749.6921123688506,1.02130277909314
72,250822_PTEFB_SIRNA,F15,HCT116,HEXIM1 #1,Total Pol II F12,CDK9,Goat anti-mouse Alexa647,Goat anti-rabbit Alexa488+,3428,1173.9679504888693,1.5992921769072315
73,250822_PTEFB_SIRNA,F16,HCT116,HEXIM1 #2,Total Pol II F12,CDK9,Goat anti-mouse Alexa647,Goat anti-rabbit Alexa488+,1615,2031.7157341457719,2.767798795499974
74,250822_PTEFB_SIRNA,F17,HCT116,HEXIM1 #3,Total Pol II F12,CDK9,Goat anti-mouse Alexa647,Goat anti-rabbit Alexa488+,1627,1669.5843798599121,2.274468597106549
75,250822_PTEFB_SIRNA,F18,HCT116,HEXIM2 #1,Total Pol II F12,CDK9,Goat anti-mouse Alexa647,Goat anti-rabbit Alexa488+,3962,855.2318540811868,1.1650791770800366
76,250822_PTEFB_SIRNA,F19,HCT116,HEXIM2 #2,Total Pol II F12,CDK9,Goat anti-mouse Alexa647,Goat anti-rabbit Alexa488+,3296,716.3888629494144,0.9759338861519695
77,250822_PTEFB_SIRNA,F20,HCT116,HEXIM2 #3,Total Pol II F12,CDK9,Goat anti-mouse Alexa647,Goat anti-rabbit Alexa488+,2212,718.5418268386982,0.9788668608586995
78,250822_PTEFB_SIRNA,F21,HCT116,LARP7 #1,Total Pol II F12,CDK9,Goat anti-mouse Alexa647,Goat anti-rabbit Alexa488+,3289,686.3834454420792,0.9350576173710942
79,250822_PTEFB_SIRNA,F22,HCT116,LARP7 #2,Total Pol II F12,CDK9,Goat anti-mouse Alexa647,Goat anti-rabbit Alexa488+,820,1335.454723337479,1.8192850075319762
80,250822_PTEFB_SIRNA,G03,HCT116,LARP7 #2,Total Pol II F12,CDK9,Goat anti-mouse Alexa647,Goat anti-rabbit Alexa488+,1029,1399.0008779436255,1.9058536978372156
81,250822_PTEFB_SIRNA,G04,HCT116,LARP7 #3,Total Pol II F12,CDK9,Goat anti-mouse Alexa647,Goat anti-rabbit Alexa488+,3634,804.4854781305858,1.095947577677861
82,250822_PTEFB_SIRNA,G05,HCT116,No transfection,Total Pol II F12,CDK9,Goat anti-mouse Alexa647,Goat anti-rabbit Alexa488+,3027,731.4864903343245,0.9965013278410653
83,250822_PTEFB_SIRNA,G06,HCT116,HEXIM1 pool,Total Pol II F12,CDK9,Goat anti-mouse Alexa647,Goat anti-rabbit Alexa488+,2939,1479.2782346619617,2.0152152426127463
84,250822_PTEFB_SIRNA,G07,HCT116,HEXIM2 pool,Total Pol II F12,CDK9,Goat anti-mouse Alexa647,Goat anti-rabbit Alexa488+,3183,737.485909711112,1.0046743145663728
85,250822_PTEFB_SIRNA,G08,HCT116,LARP7 pool,Total Pol II F12,CDK9,Goat anti-mouse Alexa647,Goat anti-rabbit Alexa488+,2744,865.0531887862721,1.1784587448562178
86,250822_PTEFB_SIRNA,G09,HCT116,HEXIM1 pool + HEXIM2 pool,Total Pol II F12,CDK9,Goat anti-mouse Alexa647,Goat anti-rabbit Alexa488+,2161,1846.9501102720901,2.516093272619633
87,250822_PTEFB_SIRNA,G10,HCT116,HEXIM2 pool + LARP7 pool,Total Pol II F12,CDK9,Goat anti-mouse Alexa647,Goat anti-rabbit Alexa488+,2353,908.9564852805295,1.2382680425414447
88,250822_PTEFB_SIRNA,G11,HCT116,HEXIM1 pool + LARP7 pool,Total Pol II F12,CDK9,Goat anti-mouse Alexa647,Goat anti-rabbit Alexa488+,2548,1211.2875446121602,1.650132521315167
89,250822_PTEFB_SIRNA,G12,HCT116,INTS8 pool,Total Pol II F12,CDK9,Goat anti-mouse Alexa647,Goat anti-rabbit Alexa488+,2903,248.31217659611156,0.338274755537914
90,250822_PTEFB_SIRNA,G13,HCT116,SPT5 pool,Total Pol II F12,CDK9,Goat anti-mouse Alexa647,Goat anti-rabbit Alexa488+,981,1717.3556508933068,2.3395472221344367
91,250822_PTEFB_SIRNA,G14,HCT116,POLR2B,Total Pol II F12,CDK9,Goat anti-mouse Alexa647,Goat anti-rabbit Alexa488+,181,1944.4738896902595,2.648949554957626
92,250822_PTEFB_SIRNA,G15,HCT116,Scrambled,Total Pol II F12,CDK9,Goat anti-mouse Alexa647,Goat anti-rabbit Alexa488+,3560,734.6729613994487,1.0008422455333006
93,250822_PTEFB_SIRNA,G16,HCT116,HEXIM1 #1,Total Pol II F12,CDK9,Goat anti-mouse Alexa647,Goat anti-rabbit Alexa488+,3681,1096.3221156546003,1.4935155446165744
94,250822_PTEFB_SIRNA,G17,HCT116,HEXIM1 #2,Total Pol II F12,CDK9,Goat anti-mouse Alexa647,Goat anti-rabbit Alexa488+,1589,1961.4180884420489,2.672032573958625
95,250822_PTEFB_SIRNA,G18,HCT116,HEXIM1 #3,Total Pol II F12,CDK9,Goat anti-mouse Alexa647,Goat anti-rabbit Alexa488+,1152,1858.7444943580213,2.5321607182361965
96,250822_PTEFB_SIRNA,G19,HCT116,HEXIM2 #1,Total Pol II F12,CDK9,Goat anti-mouse Alexa647,Goat anti-rabbit Alexa488+,3852,755.1253382643287,1.0287044425426313
97,250822_PTEFB_SIRNA,G20,HCT116,HEXIM2 #2,Total Pol II F12,CDK9,Goat anti-mouse Alexa647,Goat anti-rabbit Alexa488+,3413,702.5653948066832,0.9571022268641755
98,250822_PTEFB_SIRNA,G21,HCT116,HEXIM2 #3,Total Pol II F12,CDK9,Goat anti-mouse Alexa647,Goat anti-rabbit Alexa488+,3108,644.7685977998699,0.8783658650539574
99,250822_PTEFB_SIRNA,G22,HCT116,LARP7 #1,Total Pol II F12,CDK9,Goat anti-mouse Alexa647,Goat anti-rabbit Alexa488+,3222,644.0034231739698,0.8773234705042081
100,250822_PTEFB_SIRNA,H03,HCT116,No transfection,Total Pol II F12,CDK9,Goat anti-mouse Alexa647,Goat anti-rabbit Alexa488+,2118,721.9339256294694,0.9834879044375449
101,250822_PTEFB_SIRNA,H04,HCT116,No transfection,Total Pol II F12,CDK9,Goat anti-mouse Alexa647,Goat anti-rabbit Alexa488+,2506,785.8286339735498,1.070531428204871
102,250822_PTEFB_SIRNA,H05,HCT116,No transfection,Total Pol II F12,CDK9,Goat anti-mouse Alexa647,Goat anti-rabbit Alexa488+,3206,660.630247254135,0.8999741311693036
103,250822_PTEFB_SIRNA,H07,HCT116,No transfection,Total Pol II F12,CDK9,Goat anti-mouse Alexa647,Goat anti-rabbit Alexa488+,3025,679.8632874775698,0.926175230402611
104,250822_PTEFB_SIRNA,H08,HCT116,No transfection,Total Pol II F12,CDK9,Goat anti-mouse Alexa647,Goat anti-rabbit Alexa488+,3855,660.5444121471035,0.8998571983219269
105,250822_PTEFB_SIRNA,H09,HCT116,No transfection,Total Pol II F12,CDK9,Goat anti-mouse Alexa647,Goat anti-rabbit Alexa488+,3176,664.2137936158069,0.9048559830626365
106,250822_PTEFB_SIRNA,H10,HCT116,No transfection,Total Pol II F12,CDK9,Goat anti-mouse Alexa647,Goat anti-rabbit Alexa488+,3797,666.5847203121906,0.9080858876916069
107,250822_PTEFB_SIRNA,H11,HCT116,No transfection,Total Pol II F12,CDK9,Goat anti-mouse Alexa647,Goat anti-rabbit Alexa488+,3686,671.8722718639198,0.9152890995238828
108,250822_PTEFB_SIRNA,H12,HCT116,No transfection,Total Pol II F12,CDK9,Goat anti-mouse Alexa647,Goat anti-rabbit Alexa488+,3669,708.0606211044436,0.9645883532313249
109,250822_PTEFB_SIRNA,H13,HCT116,No transfection,Total Pol II F12,CDK9,Goat anti-mouse Alexa647,Goat anti-rabbit Alexa488+,3099,623.8442879699826,0.8498607555199308
110,250822_PTEFB_SIRNA,H14,HCT116,No transfection,Total Pol II F12,CDK9,Goat anti-mouse Alexa647,Goat anti-rabbit Alexa488+,3375,704.5357177974221,0.9597863905534456
111,250822_PTEFB_SIRNA,H15,HCT116,No transfection,Total Pol II F12,CDK9,Goat anti-mouse Alexa647,Goat anti-rabbit Alexa488+,3241,690.0169260922879,0.9400074945601629
