,EXPERIMENT,WELL,CELL,CELL_STAIN,DRUG,DRUG_TIME_MINUTES,PRIMARY_1,SECONDARY_1,PRIMARY_2,SECONDARY_2,TotalNumberCells,CellArea,NucleusArea,NucleusArea,CELL_IF_647_Intensity,NUCLEUS_IF_647_Intensity,CYTOPLASM_IF_647_Intensity,CELL_IF_647_Intensity_BGS,NUCLEUS_IF_647_Intensity_BGS,CYTOPLASM_IF_647_Intensity_BGS,NUCLEUS_IF_647_Intensity_NORMED,CYTOPLASM_IF_647_Intensity_NORMED
50,260306_CytoplasmicPOLR2A,G06,HCT116,Concanavalin A 488,Mg132 plus leptomycin B,480,Total Pol II (F12),Goat anti-mouse Alexa647,Total Pol II (D8L4Y),Goat anti-rabbit Alexa568,219592,10381.38990036067,5610.3922046340485,5610.3922046340485,329.1021774185205,387.6349195868811,250.63164209440188,181.5779616974177,240.11070386577828,103.10742637329906,0.9068674876855158,1.8753497470853921
51,260306_CytoplasmicPOLR2A,G07,HCT116,Concanavalin A 488,Vehicle,480,Total Pol II (F12),Goat anti-mouse Alexa647,Total Pol II (D8L4Y),Goat anti-rabbit Alexa568,293785,9326.7259696717,5427.638705175554,5427.638705175554,311.59826927818557,384.6341545418762,194.7961767561815,164.07405355708275,237.1099388207734,47.271961035078675,0.8955339810417667,0.8597970416835338
52,260306_CytoplasmicPOLR2A,G08,HCT116,Concanavalin A 488,Mg132,480,Total Pol II (F12),Goat anti-mouse Alexa647,Total Pol II (D8L4Y),Goat anti-rabbit Alexa568,275346,9894.478034908805,5902.053913984587,5902.053913984587,330.36585988098597,412.6571577716929,192.48510811693745,182.84164415988315,265.13294205059003,44.960892395834634,1.0013732881916588,0.8177626107938336
53,260306_CytoplasmicPOLR2A,G09,HCT116,Concanavalin A 488,CB6644,480,Total Pol II (F12),Goat anti-mouse Alexa647,Total Pol II (D8L4Y),Goat anti-rabbit Alexa568,277690,8930.781994310202,5459.313684324246,5459.313684324246,276.61772683799893,300.101654112373,231.64017093055733,129.0935111168961,152.5774383912702,84.11595520945451,0.5762655142135193,1.529926998243331
54,260306_CytoplasmicPOLR2A,G10,HCT116,Concanavalin A 488,Leptomycin B,480,Total Pol II (F12),Goat anti-mouse Alexa647,Total Pol II (D8L4Y),Goat anti-rabbit Alexa568,226297,9053.839825539004,5845.797695064451,5845.797695064451,298.52410168427775,326.7495602090317,240.67394085119767,150.99988596317493,179.22534448792888,93.14972513009485,0.676911254969272,1.6942359983978308
55,260306_CytoplasmicPOLR2A,G11,HCT116,Concanavalin A 488,Media only,480,Total Pol II (F12),Goat anti-mouse Alexa647,Total Pol II (D8L4Y),Goat anti-rabbit Alexa568,286212,8649.000457702681,5591.240426676729,5591.240426676729,348.9548497107432,414.2648825583843,205.50913625212362,201.43063398964037,266.7406668372814,57.984920531020805,1.0074454595472997,1.0546476609639877
65,260306_CytoplasmicPOLR2A,H05,HCT116,Concanavalin A 488,Media only,480,Total Pol II (F12),Goat anti-mouse Alexa647,No primary,Goat anti-rabbit Alexa568,235617,10155.440413892036,5656.528013683223,5656.528013683223,332.1584058920425,420.6215113344638,197.85863358541923,184.63419017093966,273.097295613361,50.33441786431641,1.0314536352575137,0.9154979532684842
68,260306_CytoplasmicPOLR2A,H08,HCT116,Concanavalin A 488,Media only,480,Total Pol II (F12),Goat anti-mouse Alexa647,mCherry,Goat anti-rabbit Alexa568,300002,8442.123989173406,5348.941787054753,5348.941787054753,309.3813664989115,367.06802358486294,194.7577568700329,161.8571507778087,219.54380786376012,47.23354114893007,0.8291889460522132,0.8590982489165514
69,260306_CytoplasmicPOLR2A,H09,HCT116,Concanavalin A 488,Media only,480,Total Pol II (F12),Goat anti-mouse Alexa647,mCherry,Goat anti-rabbit Alexa568,280080,9544.004452299343,5502.597182947729,5502.597182947729,309.1688901719186,382.921590885727,191.76871732758943,161.64467445081576,235.3973751646242,44.24450160648661,0.8890658466547978,0.8047326736411589
70,260306_CytoplasmicPOLR2A,H10,HCT116,Concanavalin A 488,Media only,480,Total Pol II (F12),Goat anti-mouse Alexa647,mCherry,Goat anti-rabbit Alexa568,334583,8114.174554594824,5321.10359163496,5321.10359163496,301.32007535498394,352.1342600589101,192.13429752073267,153.79585963388112,204.6100443378073,44.61008179962985,0.7727860269302029,0.8113819592151043
71,260306_CytoplasmicPOLR2A,H11,HCT116,Concanavalin A 488,Media only,480,Total Pol II (F12),Goat anti-mouse Alexa647,mCherry,Goat anti-rabbit Alexa568,306081,8251.5870374182,5247.750389602752,5247.750389602752,297.5438814801759,350.6917708555205,190.21568448112404,150.0196657590731,203.16755513441765,42.69146876002122,0.7673379292867814,0.7764856321013034
