,EXPERIMENT,WELL,CELL,CELL_STAIN,DRUG,DRUG_TIME_MINUTES,PRIMARY_1,SECONDARY_1,PRIMARY_2,SECONDARY_2,TotalNumberCells,CellArea,NucleusArea,NucleusArea,CELL_IF_561_Intensity,NUCLEUS_IF_561_Intensity,CYTOPLASM_IF_561_Intensity,CELL_IF_561_Intensity_BGS,NUCLEUS_IF_561_Intensity_BGS,CYTOPLASM_IF_561_Intensity_BGS,NUCLEUS_IF_561_Intensity_NORMED,CYTOPLASM_IF_561_Intensity_NORMED,CELL_IF_647_Intensity,NUCLEUS_IF_647_Intensity,CYTOPLASM_IF_647_Intensity,CELL_IF_647_Intensity_BGS,NUCLEUS_IF_647_Intensity_BGS,CYTOPLASM_IF_647_Intensity_BGS,NUCLEUS_IF_647_Intensity_NORMED,CYTOPLASM_IF_647_Intensity_NORMED
12,260306_CytoplasmicPOLR2A,D18,HCT116 mChPOLR2A clone 2,Concanavalin A 488,Media only,480,Total Pol II (F12),Goat anti-mouse Alexa647,mCherry,Goat anti-rabbit Alexa568,159393,13153.87197681203,6503.831096723194,6503.831096723194,654.7085940045324,882.1155980844256,378.9888032515801,533.3253536785058,760.7323577583991,257.60556292555356,1.0165544353158973,0.9466581042234254,308.4501448736869,402.337358152295,198.01434451738422,160.92592915258408,254.81314243119218,50.4901287962814,1.0793995007192458,1.008464535622605
13,260306_CytoplasmicPOLR2A,D19,HCT116 mChPOLR2A clone 2,Concanavalin A 488,Media only,480,Total Pol II (F12),Goat anti-mouse Alexa647,mCherry,Goat anti-rabbit Alexa568,169086,12393.536088144494,6345.45680896112,6345.45680896112,625.1890071132341,828.9317917216472,362.41343350868664,503.8057667872075,707.5485513956206,241.03019318266007,0.9454857687951621,0.8857463447124535,308.3309173203417,396.6665862668475,196.43051431219206,160.8067015992389,249.14237054574468,48.90629859108924,1.0553778655577173,0.9768299046469399
14,260306_CytoplasmicPOLR2A,D20,HCT116 mChPOLR2A clone 2,Concanavalin A 488,Media only,480,Total Pol II (F12),Goat anti-mouse Alexa647,mCherry,Goat anti-rabbit Alexa568,169012,11367.622074172248,6020.908544955388,6020.908544955388,605.5294562750241,775.1318563959906,359.1687516755907,484.14621594899756,653.748616069964,237.78551134956416,0.8735937790339301,0.873822672265153,293.99394237338396,363.71194629780524,196.34149924294115,146.46972665228114,216.18773057670242,48.817283521838334,0.9157805842339247,0.9750519622527398
15,260306_CytoplasmicPOLR2A,D21,HCT116 mChPOLR2A clone 2,Concanavalin A 488,Media only,480,Total Pol II (F12),Goat anti-mouse Alexa647,mCherry,Goat anti-rabbit Alexa568,159980,12228.024934366797,6244.306294536817,6244.306294536817,570.7715846227765,759.5501544254822,337.9286762312367,449.3883442967499,638.1669140994557,216.54543590521013,0.8527722008713232,0.7957688859828841,281.5447214329041,358.4280528363424,189.36675151043877,134.0205057118013,210.90383711523955,41.842535789335955,0.8933977828221145,0.8357418455857198
24,260306_CytoplasmicPOLR2A,E14,HCT116 mChPOLR2A clone 2,Concanavalin A 488,Media only,480,Total Pol II (F12),Goat anti-mouse Alexa647,mCherry,Goat anti-rabbit Alexa568,187801,10984.853925165467,5975.690683223199,5975.690683223199,666.3038239443222,856.5276188630421,381.9608721278405,544.9205836182956,735.1443785370155,260.57763180181394,0.9823616295242321,0.9575799688604683,307.37769895871094,383.67043735825325,196.32384622509048,159.85348323760812,236.14622163715043,48.79963050398766,1.0003256162531209,0.9746993697188417
25,260306_CytoplasmicPOLR2A,E15,HCT116 mChPOLR2A clone 2,Concanavalin A 488,Vehicle,480,Total Pol II (F12),Goat anti-mouse Alexa647,mCherry,Goat anti-rabbit Alexa568,222191,9639.839498449532,5726.189499124627,5726.189499124627,721.034163273157,887.9341988451655,401.76223604762936,599.6509229471304,766.5509585191389,280.3789957216028,1.0243297380887302,1.030346726753669,330.72358529706213,399.4157436743435,202.0165591279938,183.1993695759593,251.89152795324068,54.49234340689097,1.0670234153309244,1.0884027650344428
26,260306_CytoplasmicPOLR2A,E16,HCT116 mChPOLR2A clone 2,Concanavalin A 488,Mg132,480,Total Pol II (F12),Goat anti-mouse Alexa647,mCherry,Goat anti-rabbit Alexa568,164581,13684.893517477716,6679.6057685881115,6679.6057685881115,749.2850825184004,1062.1745769970817,408.17092252839365,627.9018421923738,940.7913366710551,286.7876822023671,1.25716435780094,1.0538975962517625,320.62726177145106,434.931719212264,196.93561766672013,173.10304605034824,287.40750349116115,49.411401945617314,1.2174706249898228,0.9869185859794994
27,260306_CytoplasmicPOLR2A,E17,HCT116 mChPOLR2A clone 2,Concanavalin A 488,CB6644,480,Total Pol II (F12),Goat anti-mouse Alexa647,mCherry,Goat anti-rabbit Alexa568,247151,11113.28821651541,6098.763626285146,6098.763626285146,556.54270160917,598.3903169776571,496.1399179445968,435.1594612831434,477.00707665163054,374.7566776185702,0.637416897680177,1.3771691960005943,255.15428429616952,282.40151885633054,218.20853070453984,107.6300685750667,134.87730313522772,70.68431498343702,0.5713460941357695,1.4118130926777062
28,260306_CytoplasmicPOLR2A,E18,HCT116 mChPOLR2A clone 2,Concanavalin A 488,Leptomycin B,480,Total Pol II (F12),Goat anti-mouse Alexa647,mCherry,Goat anti-rabbit Alexa568,186850,12070.394209258764,6713.221974846133,6713.221974846133,546.1682815071515,568.3344735259687,514.8132601601341,424.78504118112494,446.9512331999422,393.4300198341075,0.5972537566538062,1.4457906595300305,247.95311267860993,265.4372316412802,223.5933471168578,100.4288969575071,117.9130159201774,76.069131395755,0.49948463920736913,1.5193667177550338
29,260306_CytoplasmicPOLR2A,E19,HCT116 mChPOLR2A clone 2,Concanavalin A 488,Mg132 plus CB6644,480,Total Pol II (F12),Goat anti-mouse Alexa647,mCherry,Goat anti-rabbit Alexa568,128742,17009.292670612544,7209.111556446226,7209.111556446226,603.976209175402,748.1713008677805,481.04642807501455,482.59296884937544,626.7880605417539,359.663187748988,0.8375668215616063,1.32170310146527,260.05323755815743,311.61766362020455,216.7504767519967,112.52902183705461,164.09344789910173,69.22626103089388,0.695106947952729,1.382690653555063
