,WELL,RFP_Intensity,GFP_Intensity,DAPI_Intensity,NucleusArea,CELL,EU,DRUG,DRUG TIME MINUTES,PRIMARY,SECONDARY,TotalNumberCells,Alexa647_Intensity,NucleusArea2,EXPERIMENT
82,G05,220.34370645786566,206.89213085054172,487.764109366755,1709.7678122380553,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,No addition,10 µM 5PhIAA,60,Total Pol II F12,Goat anti-mouse Alexa647,1193,300.69118090628047,1709.6062378167642,241026_mACmChPOLR2A_ActivePolII
83,G06,225.35724164007107,273.0752680963358,506.24889896150444,1746.5225375626044,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,No addition,Vehicle,60,Total Pol II F12,Goat anti-mouse Alexa647,1198,354.65598116949826,1712.3844315466029,241026_mACmChPOLR2A_ActivePolII
84,G07,227.45063240107723,209.75680893957366,519.2405238284347,1740.9040404040404,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,No addition,10 µM 5PhIAA,60,Total Pol II F12,Goat anti-mouse Alexa647,1386,293.9257815157888,1738.664154356346,241026_mACmChPOLR2A_ActivePolII
85,G08,226.30841425707473,268.91640540517903,523.265475952485,1733.9608163265307,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,No addition,Vehicle,60,pSer2 3E10,Goat anti-rat Alexa647,1225,528.5502458639505,1700.5579761068166,241026_mACmChPOLR2A_ActivePolII
86,G09,225.4674953818989,207.94855928077445,511.49228112142015,1705.7936507936508,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,No addition,10 µM 5PhIAA,60,pSer2 3E10,Goat anti-rat Alexa647,1260,487.40933410441085,1703.3780418788908,241026_mACmChPOLR2A_ActivePolII
87,G10,221.3597565736338,264.1094343575961,525.2600827210002,1751.871385083714,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,No addition,Vehicle,60,pSer2 3E10,Goat anti-rat Alexa647,1314,511.7100670880604,1744.7887236679057,241026_mACmChPOLR2A_ActivePolII
88,G11,226.71157778816027,206.49907427005022,556.8701320214946,1767.8579545454545,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,No addition,10 µM 5PhIAA,60,pSer2 3E10,Goat anti-rat Alexa647,1584,495.1232917102034,1732.1876690102758,241026_mACmChPOLR2A_ActivePolII
89,G12,186.50773174327028,388.58778169187866,618.3534560011027,1749.0394144144145,HCT116 OsTIRF74G mAC-POLR2A-delHyg Clone 5,No addition,Vehicle,120,Total Pol II F12,Goat anti-mouse Alexa647,888,353.0025125706442,1787.1706718979892,241026_mACmChPOLR2A_ActivePolII
90,G13,187.94619167999141,387.9076041831923,648.8879645425003,1814.025392986699,HCT116 OsTIRF74G mAC-POLR2A-delHyg Clone 5,No addition,Vehicle,120,pSer2 3E10,Goat anti-rat Alexa647,827,505.64324177797124,1778.39837398374,241026_mACmChPOLR2A_ActivePolII
91,G14,225.5523629035218,267.1112650715485,555.323685328826,1711.661381653454,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,"EU 1 mM, 30 mins",Vehicle,60,No primary,No secondary,1766,227.2884350893836,1700.8830865159782,241026_mACmChPOLR2A_ActivePolII
