WELL,CELL,DRUG,DRUG TIME MINUTES,PRIMARY,SECONDARY
K18,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,No addition,No addition,No primary,No secondary
K19,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,No addition,No addition,No primary,No secondary
K20,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,No addition,No addition,No primary,No secondary
K21,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,No addition,No addition,No primary,No secondary
K22,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,No addition,No addition,No primary,No secondary
L03,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,No addition,No addition,No primary,DAPI only
L04,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,90,No primary,DAPI only
L05,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,90,No primary,DAPI only
L06,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,90,No primary,DAPI only
L07,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,90,No primary,DAPI only
L08,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,90,No primary,DAPI only
L09,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,90,No primary,DAPI only
L10,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,90,No primary,DAPI only
L11,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,90,No primary,DAPI only
L12,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,90,No primary,DAPI only
L13,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,90,No primary,DAPI only
L14,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,90,No primary,DAPI only
L15,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,90,No primary,DAPI only
L16,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,No addition,No addition,No primary,DAPI only
L17,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,No addition,No addition,No primary,DAPI only
L18,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,No addition,No addition,No primary,No secondary
L19,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,No addition,No addition,No primary,No secondary
L20,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,No addition,No addition,No primary,No secondary
L21,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,No addition,No addition,No primary,No secondary
L22,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,No addition,No addition,No primary,No secondary
M03,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,No addition,No addition,No primary,No secondary
M04,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,90,No primary,No secondary
M05,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,90,No primary,No secondary
M06,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,90,No primary,No secondary
M07,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,90,No primary,No secondary
M08,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,90,No primary,No secondary
M09,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,90,No primary,No secondary
M10,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,90,No primary,No secondary
M11,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,90,No primary,No secondary
M12,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,90,No primary,No secondary
M13,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,90,No primary,No secondary
M14,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,90,No primary,No secondary
M15,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,90,No primary,No secondary
M16,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,No addition,No addition,No primary,No secondary
M17,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,No addition,No addition,No primary,No secondary
M18,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,No addition,No addition,No primary,No secondary
M19,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,No addition,No addition,No primary,No secondary
M20,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,No addition,No addition,No primary,No secondary
M21,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,No addition,No addition,No primary,No secondary
M22,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,No addition,No addition,No primary,No secondary
N03,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,No addition,No addition,No primary,No secondary
N04,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,No addition,No addition,No primary,No secondary
N05,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,No addition,No addition,No primary,No secondary
N06,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,No addition,No addition,No primary,No secondary
N07,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,No addition,No addition,No primary,No secondary
N08,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,No addition,No addition,No primary,No secondary
N09,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,No addition,No addition,No primary,No secondary
N10,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,No addition,No addition,No primary,No secondary
N11,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,No addition,No addition,No primary,No secondary
N12,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,No addition,No addition,No primary,No secondary
