,WELL,IF_561_Intensity,GFP_Intensity,DAPI_Intensity_x,NucleusArea,CELL,EU,DRUG,DRUG TIME HOURS,PRIMARY,SECONDARY,TotalNumberCells,Alexa647_Intensity,DAPI_Intensity_y,NucleusArea2,EXPERIMENT
41,E04,2723.0208862612744,178.07885718248272,459.1004857195271,1501.621156211562,HCT116 OsTIRF74G,"EU 1 mM, 30 mins",10 µM 5PhIAA,8,pSer5 Pol II 3E8,Goat anti-rat Alexa568,1626,861.5716294678176,1978.2227263407372,1445.1822316555488,260127_ARMC5mAC_PhosphoEU
42,E05,4404.205717368463,177.79297905686988,475.21405568457374,1394.7185289957567,HCT116 OsTIRF74G ARMC5mAC Clone 5A1,"EU 1 mM, 30 mins",10 µM 5PhIAA,8,pSer5 Pol II 3E8,Goat anti-rat Alexa568,707,651.8950326499694,2120.5433838927984,1455.4488372093024,260127_ARMC5mAC_PhosphoEU
43,E06,4210.176073062742,178.84714531430117,509.32652860663114,1300.484295845998,HCT116 OsTIRF74G ARMC5mAC Clone 5F9,"EU 1 mM, 30 mins",10 µM 5PhIAA,8,pSer5 Pol II 3E8,Goat anti-rat Alexa568,987,897.2600606361116,2340.494236943307,1298.7261326860842,260127_ARMC5mAC_PhosphoEU
44,E07,2750.2917139990973,176.71452671716327,455.8869898548395,1471.5033112582782,HCT116 OsTIRF74G,"EU 1 mM, 30 mins",Vehicle,8,pSer5 Pol II 3E8,Goat anti-rat Alexa568,1359,979.3494856940097,2027.6661447070358,1436.5078500480615,260127_ARMC5mAC_PhosphoEU
45,E08,3314.271317477565,206.8634102416623,489.585089975718,1357.106936416185,HCT116 OsTIRF74G ARMC5mAC Clone 5A1,"EU 1 mM, 30 mins",Vehicle,8,pSer5 Pol II 3E8,Goat anti-rat Alexa568,692,731.6412587762901,2217.284656894987,1369.0337837837837,260127_ARMC5mAC_PhosphoEU
46,E09,3023.3184196336374,206.35074961539428,498.22226652269126,1298.6453287197232,HCT116 OsTIRF74G ARMC5mAC Clone 5F9,"EU 1 mM, 30 mins",Vehicle,8,pSer5 Pol II 3E8,Goat anti-rat Alexa568,1156,881.7242423881414,2396.7710993311302,1296.1359438492796,260127_ARMC5mAC_PhosphoEU
47,E10,2802.1669351022765,177.1952899042124,459.08517549994,1501.008797653959,HCT116 OsTIRF74G,"EU 1 mM, 30 mins",10 µM 5PhIAA,8,pSer5 Pol II 3E8,Goat anti-rat Alexa568,1364,808.2615874262715,2084.9547272474138,1407.9330284220844,260127_ARMC5mAC_PhosphoEU
48,E11,4794.930454323331,178.64376630545877,489.36041214921147,1445.2509702457955,HCT116 OsTIRF74G ARMC5mAC Clone 5A1,"EU 1 mM, 30 mins",10 µM 5PhIAA,8,pSer5 Pol II 3E8,Goat anti-rat Alexa568,773,630.7223493865631,2154.1722293061603,1432.7967061245497,260127_ARMC5mAC_PhosphoEU
49,E12,3842.273634472098,179.84116199406253,491.472307136099,1385.3335820895522,HCT116 OsTIRF74G ARMC5mAC Clone 5F9,"EU 1 mM, 30 mins",10 µM 5PhIAA,8,pSer5 Pol II 3E8,Goat anti-rat Alexa568,1340,785.2624399067225,2229.63547986388,1300.8445497630332,260127_ARMC5mAC_PhosphoEU
50,E13,2986.7458168138787,180.3337737055121,490.0081896915173,1433.4926829268293,HCT116 OsTIRF74G,"EU 1 mM, 30 mins",Vehicle,8,pSer5 Pol II 3E8,Goat anti-rat Alexa568,1025,856.1269029999555,2181.8170592747856,1378.4808153477218,260127_ARMC5mAC_PhosphoEU
51,E14,3226.3188479455816,206.5636540511292,480.47781717189423,1440.103217158177,HCT116 OsTIRF74G ARMC5mAC Clone 5A1,"EU 1 mM, 30 mins",Vehicle,8,pSer5 Pol II 3E8,Goat anti-rat Alexa568,746,702.5263727267111,2178.2488158083556,1394.7534759358289,260127_ARMC5mAC_PhosphoEU
52,E15,2898.082632491549,206.23091410181493,485.86449528596285,1411.0600255427842,HCT116 OsTIRF74G ARMC5mAC Clone 5F9,"EU 1 mM, 30 mins",Vehicle,8,pSer5 Pol II 3E8,Goat anti-rat Alexa568,1566,880.4824181375764,2406.393883672048,1309.3573995426332,260127_ARMC5mAC_PhosphoEU
53,E16,2887.404129993048,179.1520522913058,472.73477537888124,1482.7771787960467,HCT116 OsTIRF74G,"EU 1 mM, 30 mins",10 µM 5PhIAA,8,pSer5 Pol II 3E8,Goat anti-rat Alexa568,1113,785.1701714089963,2093.5542631986063,1448.5597439544808,260127_ARMC5mAC_PhosphoEU
