,WELL,CELL_IF_647_Intensity,CELL_IF_561_Intensity,CellArea,NUCLEUS_IF_647_Intensity,NUCLEUS_IF_561_Intensity,Nucleus_DAPI_Intensity,NucleusArea,CYTOPLASM_IF_647_Intensity,CYTOPLASM_IF_561_Intensity,CytoplasmArea,CELL,CELL_STAIN,DRUG,DRUG_TIME_MINUTES,PRIMARY_1,SECONDARY_1,PRIMARY_2,SECONDARY_2,TotalNumberCells,EXPERIMENT
41,F15,312.6428956639482,801.2576477374255,12931.428609294928,381.21548459461,985.4953632150815,726.8221503123146,6280.893015890277,244.76218678275126,619.4778160228328,5945.856960321884,HCT116 mChPOLR2A clone 2,Concanavalin A 488,Mg132 plus leptomycin B,480,Total Pol II (F12),Goat anti-mouse Alexa647,mCherry,Goat anti-rabbit Alexa568,147134,260306_CytoplasmicPOLR2A
42,F16,312.8671346009562,705.7349860683556,11195.069925798678,395.9291726445183,919.279178507915,645.9395032597358,5997.664199651659,199.70420860957196,407.3347668557644,4403.7635435306465,HCT116 mChPOLR2A clone 2,Concanavalin A 488,Vehicle,480,Total Pol II (F12),Goat anti-mouse Alexa647,mCherry,Goat anti-rabbit Alexa568,209565,260306_CytoplasmicPOLR2A
43,F17,331.55169552057765,759.637586402763,13144.806488279357,427.9026815118459,1050.2621626434618,679.2101901912288,6656.261549832917,214.50989852035474,415.2253689347805,5699.951229207816,HCT116 mChPOLR2A clone 2,Concanavalin A 488,Mg132,480,Total Pol II (F12),Goat anti-mouse Alexa647,mCherry,Goat anti-rabbit Alexa568,160998,260306_CytoplasmicPOLR2A
44,F18,246.86301557793135,549.9387926802023,12246.210604249103,275.5875406382075,597.7453103549448,643.7319675685892,6244.997913967414,211.49191131254295,487.5657372178105,5233.369567936128,HCT116 mChPOLR2A clone 2,Concanavalin A 488,CB6644,480,Total Pol II (F12),Goat anti-mouse Alexa647,mCherry,Goat anti-rabbit Alexa568,199901,260306_CytoplasmicPOLR2A
45,F19,248.80130967847774,554.652029415877,10889.383983532154,266.47876997495035,573.8442013643875,617.7622397687575,6402.81288162496,221.16391515865047,522.8672083625061,3896.212296322016,HCT116 mChPOLR2A clone 2,Concanavalin A 488,Leptomycin B,480,Total Pol II (F12),Goat anti-mouse Alexa647,mCherry,Goat anti-rabbit Alexa568,201605,260306_CytoplasmicPOLR2A
46,F20,254.24958801496834,625.2192912791808,15860.678211696713,311.7036011670092,781.0284617845824,623.8190301446313,6774.40385461732,207.82284194896468,497.502657678608,8145.460926536408,HCT116 mChPOLR2A clone 2,Concanavalin A 488,Mg132 plus CB6644,480,Total Pol II (F12),Goat anti-mouse Alexa647,mCherry,Goat anti-rabbit Alexa568,120427,260306_CytoplasmicPOLR2A
47,F21,267.2611966384495,566.2379756427812,10442.931465031425,321.7574616091742,711.7612626515253,557.8243342348013,5939.107761667336,182.98187529897294,334.4838767000272,3833.443246031291,HCT116 mChPOLR2A clone 2,Concanavalin A 488,Media only,480,Total Pol II (F12),Goat anti-mouse Alexa647,mCherry,Goat anti-rabbit Alexa568,261735,260306_CytoplasmicPOLR2A
48,G04,297.4225577354513,356.9438936263153,11747.709474007997,384.1149774866652,481.80072888085533,582.1160850971988,6027.236191748692,187.12159928215652,191.22873198349697,5155.76759074131,HCT116,Concanavalin A 488,Media only,480,Total Pol II (F12),Goat anti-mouse Alexa647,Total Pol II (D8L4Y),Goat anti-rabbit Alexa568,208064,260306_CytoplasmicPOLR2A
49,G05,298.5550022857944,400.020067968729,12497.496607676614,345.3504352595698,464.49835805719295,623.3812807760345,6273.964574338536,244.05641429238293,320.3867289612014,5524.166653487478,HCT116,Concanavalin A 488,Mg132 plus CB6644,480,Total Pol II (F12),Goat anti-mouse Alexa647,Total Pol II (D8L4Y),Goat anti-rabbit Alexa568,189693,260306_CytoplasmicPOLR2A
50,G06,329.1021774185205,479.06194995536043,10381.38990036067,387.6349195868811,580.5568110541604,601.2054455751958,5610.3922046340485,250.63164209440188,337.39749184581194,4134.934788152574,HCT116,Concanavalin A 488,Mg132 plus leptomycin B,480,Total Pol II (F12),Goat anti-mouse Alexa647,Total Pol II (D8L4Y),Goat anti-rabbit Alexa568,219592,260306_CytoplasmicPOLR2A
