,EXPERIMENT,WELL,FOV,CELL,TREATMENT,LABEL,CellVolume,Spots_565,Spots_633,NucleiVolume,Nuclei561Mean,Nuclei405Mean
1838,250131,Well10,0008,mChPOLR2A,Vehicle,23,2.7815305121512166,5,137,1.0536976017362016,122.1882327874718,209.25180049889343
1839,250131,Well02,0001,OsTIRF74G,Vehicle,5,1.5914444731805095,0,86,0.6919274069929571,106.26045786245147,203.84972083797584
1840,250131,Well02,0001,OsTIRF74G,Vehicle,6,1.7970665281451377,1,120,0.6824865072565967,106.881842260838,211.96418446814357
1841,250131,Well02,0001,OsTIRF74G,Vehicle,12,2.9090255477047395,4,217,1.174121758148987,106.61691431004095,205.4466987998752
1842,250131,Well02,0001,OsTIRF74G,Vehicle,13,3.216665446315166,5,207,1.2914398956131743,107.20587764995685,200.11799744321647
1843,250131,Well02,0001,OsTIRF74G,Vehicle,14,2.975954802246268,1,159,1.270216668286601,109.56775715738748,206.83319243659648
1844,250131,Well02,0001,OsTIRF74G,Vehicle,15,1.5916456813633373,0,117,0.5582457493127019,112.00164279928444,207.03882773181772
1845,250131,Well02,0001,OsTIRF74G,Vehicle,17,2.161378299934626,1,96,1.055990316030001,105.10486207425636,223.0268099525957
1846,250131,Well02,0001,OsTIRF74G,Vehicle,18,1.4015071255625149,0,53,0.6031215280258836,102.19160177340768,218.0662692594706
1847,250131,Well02,0001,OsTIRF74G,Vehicle,21,1.3013573410457056,0,24,0.5861565012422049,100.72891301794924,206.7147288642379
1848,250131,Well02,0011,OsTIRF74G,Vehicle,8,1.7825668310963156,0,101,0.736460072804896,103.01452757694452,203.2124940325206
1849,250131,Well02,0011,OsTIRF74G,Vehicle,9,1.492733856666136,0,72,0.5950509619136229,106.83315833309604,207.0158995130841
1850,250131,Well02,0011,OsTIRF74G,Vehicle,10,1.5395221721066163,0,116,0.606488058621721,109.16627612169636,204.68342634240372
1851,250131,Well02,0011,OsTIRF74G,Vehicle,11,2.9773992652008827,1,145,1.134602353060764,109.22212245659884,210.9795743886504
1852,250131,Well02,0011,OsTIRF74G,Vehicle,12,1.50984078816823,0,105,0.5537175062086437,113.66870731516066,214.01032946815
1853,250131,Well02,0011,OsTIRF74G,Vehicle,14,2.2893371732990886,0,146,0.6516021101829881,109.35527583881164,212.5906761687293
1854,250131,Well02,0011,OsTIRF74G,Vehicle,15,1.472431951018826,0,79,0.6099848450411783,112.39872848546716,219.50816831769117
1855,250131,Well02,0011,OsTIRF74G,Vehicle,16,1.695830219441059,0,90,0.6860764848344163,106.01335784483967,202.7616811682789
1856,250131,Well02,0011,OsTIRF74G,Vehicle,17,1.7494056045854467,0,73,0.7347466262795532,106.15031751842702,199.7411021334125
1857,250131,Well02,0011,OsTIRF74G,Vehicle,18,2.872442723095365,2,148,1.2264485935694072,104.24677281479627,201.47694732024905
1858,250131,Well02,0011,OsTIRF74G,Vehicle,19,1.5369467073664222,0,113,0.6227933343638122,104.5925478786807,204.08473544510213
1859,250131,Well02,0011,OsTIRF74G,Vehicle,20,2.763711939076174,1,136,1.13326696612105,108.0071635553886,214.09822836098863
1860,250131,Well02,0011,OsTIRF74G,Vehicle,21,2.34024390254492,0,119,1.1569661130868396,99.07636487453752,183.8784111566125
1861,250131,Well02,0011,OsTIRF74G,Vehicle,22,1.4610319189759855,0,87,0.6253984508362123,101.73486227502325,206.13730165046456
1862,250131,Well02,0011,OsTIRF74G,Vehicle,29,1.2440331297581078,1,75,0.5496774576955518,99.51946217956376,202.27433928385653
1863,250131,Well02,0011,OsTIRF74G,Vehicle,32,1.7678860466829485,0,108,0.8460253412876034,106.50152585186092,191.77286211756692
1864,250131,Well02,0011,OsTIRF74G,Vehicle,33,1.320400107064689,0,76,0.6451973360264531,108.14364709802268,201.88714450552067
1865,250131,Well02,0011,OsTIRF74G,Vehicle,34,2.187043992139947,0,109,0.6727120255329165,110.57122279960772,203.05743035298525
1866,250131,Well02,0011,OsTIRF74G,Vehicle,36,1.794905128665394,0,97,0.6199351191772237,113.3989480732898,209.2171499243255
1867,250131,Well02,0011,OsTIRF74G,Vehicle,39,1.9074906378713885,0,88,0.8575736319914747,113.07156061412466,219.2935899224873
1868,250131,Well02,0011,OsTIRF74G,Vehicle,40,1.63220183808834,0,117,0.5953019426469396,107.57529160833316,209.63278785927372
1869,250131,Well02,0011,OsTIRF74G,Vehicle,41,1.5305959417221202,2,74,0.6398981478850344,112.2850312700144,213.07101330072007
1870,250131,Well02,0011,OsTIRF74G,Vehicle,42,1.6514489892614588,0,112,0.6154153479966531,107.49631238234213,206.2693888156604
1871,250131,Well02,0011,OsTIRF74G,Vehicle,43,1.4598384367546868,0,87,0.645249226557814,103.76120373014544,210.01092390358863
1872,250131,Well02,0011,OsTIRF74G,Vehicle,44,1.3645960139180005,0,77,0.6699152317916122,101.33681895927587,206.98846660912616
1873,250131,Well02,0011,OsTIRF74G,Vehicle,45,1.5734268099035114,1,96,0.6466947485028653,102.36288279613736,202.67865184362773
1874,250131,Well02,0011,OsTIRF74G,Vehicle,52,1.047124448100353,0,24,0.5138984068270517,102.6113066486424,210.49736848612736
1875,250131,Well12,0009,OsTIRF74G,No treatment,7,2.2570771476492006,102,147,0.830211437107786,106.7821369576448,183.03955278615757
1876,250131,Well12,0009,OsTIRF74G,No treatment,13,2.8319935244043912,136,151,1.052730743468193,113.81341308474391,208.1119416873137
1877,250131,Well12,0009,OsTIRF74G,No treatment,14,1.9835812186741903,59,79,1.0889323315206312,107.65417486000813,195.46679387011636
1878,250131,Well12,0009,OsTIRF74G,No treatment,15,2.572318479608769,135,155,0.7374332850155203,109.60524445146513,201.23241306517508
1879,250131,Well12,0009,OsTIRF74G,No treatment,16,2.402489242388308,96,116,0.8985639747952109,113.41154494348918,203.2667087011349
1880,250131,Well12,0009,OsTIRF74G,No treatment,17,2.3739812198529378,97,153,0.8692024059684769,114.87118169944831,210.9137093315659
1881,250131,Well12,0009,OsTIRF74G,No treatment,23,2.670856480682085,104,179,1.0926070283333256,109.20385483220645,201.2516641725079
1882,250131,Well12,0009,OsTIRF74G,No treatment,24,2.595271038317224,99,105,0.9848303946969124,105.4019974816419,178.8364185549872
1883,250131,Well12,0009,OsTIRF74G,No treatment,25,2.549846702558228,129,160,1.0370968676624843,109.46901440378385,202.7552326804353
1884,250131,Well12,0009,OsTIRF74G,No treatment,27,2.5069014634097555,136,116,1.1297511178737458,100.45221260588724,189.2946291732712
1885,250131,Well12,0019,OsTIRF74G,No treatment,3,2.388557164213147,96,87,0.9685547706870272,106.53098943584205,178.14843943048453
1886,250131,Well12,0019,OsTIRF74G,No treatment,7,2.5480750115589084,94,96,1.0600028307917586,106.00079623879571,200.818593424686
1887,250131,Well12,0019,OsTIRF74G,No treatment,9,2.6761027193017077,73,149,1.0171041872224675,112.83773597085523,217.85645746199427
1888,250131,Well12,0019,OsTIRF74G,No treatment,10,1.4940544177397468,72,98,0.5696870819825437,115.81421982961336,212.5854842337528
1889,250131,Well12,0019,OsTIRF74G,No treatment,15,2.996203758371781,44,64,1.1540888360724042,111.44310107992192,201.17516225439323
1890,250131,Well12,0019,OsTIRF74G,No treatment,17,1.9716315705951,88,64,0.8166489465947665,113.0071775174478,193.8226459428548
1891,250131,Well12,0019,OsTIRF74G,No treatment,19,1.3646701432485158,60,93,0.5902918588945311,113.76447857053157,210.2087350424284
1892,250131,Well12,0019,OsTIRF74G,No treatment,20,3.293572508744074,121,186,0.7216797432905511,113.37398364439696,198.35310259010183
1893,250131,Well12,0019,OsTIRF74G,No treatment,21,2.755792808596252,93,176,0.9205464982643496,108.0678133786128,202.29172246073708
1894,250131,Well12,0019,OsTIRF74G,No treatment,23,3.016622152967044,111,216,1.1878028555908309,105.25816819523608,195.5111662685878
1895,250131,Well12,0019,OsTIRF74G,No treatment,24,2.9697194665594826,97,153,1.1014856041482046,107.87475868354664,187.1107161810854
1896,250131,Well12,0019,OsTIRF74G,No treatment,32,1.579607078087628,57,77,0.5484236130194047,100.12910476293462,190.8926051510599
1897,250131,Well12,0019,OsTIRF74G,No treatment,33,3.0469834087653003,119,149,1.1974290786534802,101.4730390271038,170.4852391426047
1898,250131,Well17,0033,mAC/mChPOLR2A,5PhIAA,10,2.4008763999543787,3,119,0.921160712717192,114.18722581416525,173.61499020518528
1899,250131,Well17,0033,mAC/mChPOLR2A,5PhIAA,15,2.14527740934667,6,105,0.9326920595740884,116.36753764177048,174.26168424853276
1900,250131,Well17,0033,mAC/mChPOLR2A,5PhIAA,17,2.6042216254817467,7,170,1.0389119772696769,117.36397700399576,179.85380106825409
1901,250131,Well17,0033,mAC/mChPOLR2A,5PhIAA,18,2.7420672335560985,5,158,1.0922353226903123,115.26147743876486,182.06186584551185
1902,250131,Well17,0033,mAC/mChPOLR2A,5PhIAA,19,2.8668290147944733,0,224,1.0585223621623217,119.49778201965267,193.224074040726
1903,250131,Well17,0033,mAC/mChPOLR2A,5PhIAA,21,2.729284160003927,2,202,1.0477746682280171,116.33359207365204,187.45927316205936
1904,250131,Well17,0033,mAC/mChPOLR2A,5PhIAA,24,1.6678612230375796,0,71,0.6524916621491735,105.14153973496498,154.60858726436146
1905,250131,Well17,0023,mAC/mChPOLR2A,5PhIAA,4,1.0390983595864016,4,56,0.503122120150977,119.64286586289928,188.48154057285265
1906,250131,Well17,0023,mAC/mChPOLR2A,5PhIAA,5,1.4040868262644526,3,73,0.6435304850802915,118.04461207570394,186.4535999855188
1907,250131,Well17,0023,mAC/mChPOLR2A,5PhIAA,10,2.437911413479898,2,167,1.0493695078245353,117.92240504987814,184.9801294762921
1908,250131,Well17,0023,mAC/mChPOLR2A,5PhIAA,11,1.488640858631247,3,78,0.7064715816400885,115.13152695625062,176.769111311642
1909,250131,Well17,0023,mAC/mChPOLR2A,5PhIAA,17,2.243640676998057,5,112,0.9686003072757724,115.99702398198208,171.75493661475218
1910,250131,Well17,0023,mAC/mChPOLR2A,5PhIAA,19,2.660185034059168,8,142,1.0637918985715342,113.20088120461826,162.28404016190592
1911,250131,Well17,0023,mAC/mChPOLR2A,5PhIAA,21,2.036784898175565,0,102,0.9225808188917808,110.74565909349177,175.5429131910527
1912,250131,Well17,0023,mAC/mChPOLR2A,5PhIAA,22,1.507821293406902,3,73,0.6961591327749534,115.05689403389212,174.43265386838664
1913,250131,Well17,0023,mAC/mChPOLR2A,5PhIAA,23,1.4341272079606209,3,64,0.7186595025672644,113.9693469313776,172.2967270680359
1914,250131,Well09,0030,OsTIRF74G,No treatment,6,2.311226505609865,5,86,1.09035243769522,108.74581761143727,203.7202614569524
1915,250131,Well09,0030,OsTIRF74G,No treatment,7,2.006022285002089,21,75,0.7674641357977652,112.76990201638442,207.8290757858628
1916,250131,Well09,0030,OsTIRF74G,No treatment,8,2.0143692476181285,12,78,0.788516865664153,113.83122188900514,204.4100656331714
1917,250131,Well09,0030,OsTIRF74G,No treatment,9,2.069211185323895,2,88,0.8453518233703489,105.69178916195436,200.2945674477803
1918,250131,Well09,0030,OsTIRF74G,No treatment,10,2.1590389900616453,4,77,0.8325274491911758,106.61209282683248,191.12464510679868
1919,250131,Well09,0030,OsTIRF74G,No treatment,13,1.2756111655672535,9,55,0.569144878879345,104.35020402239502,194.61337151426852
1920,250131,Well09,0030,OsTIRF74G,No treatment,15,1.2845765785978795,3,76,0.5008230519145621,111.32788285668975,205.8397187714754
1921,250131,Well09,0030,OsTIRF74G,No treatment,16,1.386355090405157,9,51,0.584459998563837,108.11476473220836,193.5788390351203
1922,250131,Well09,0030,OsTIRF74G,No treatment,17,1.477952468161355,3,77,0.5852658902855835,104.31412033351188,192.6259517536876
1923,250131,Well09,0030,OsTIRF74G,No treatment,18,1.379266208427008,7,72,0.5954999738584594,109.51821356930476,197.72249470060177
1924,250131,Well09,0030,OsTIRF74G,No treatment,19,1.437431258120738,8,68,0.6111772682720411,112.2148624578086,202.0204164731812
